"","date","SMLP"
"1","2012-09-28",316.649994
"2","2012-10-01",319.5
"3","2012-10-02",316.799988
"4","2012-10-03",314.399994
"5","2012-10-04",313.350006
"6","2012-10-05",313.5
"7","2012-10-08",310.350006
"8","2012-10-09",310.049988
"9","2012-10-10",310.649994
"10","2012-10-11",313.799988
"11","2012-10-12",314.399994
"12","2012-10-15",314.850006
"13","2012-10-16",312.299988
"14","2012-10-17",312.899994
"15","2012-10-18",312.299988
"16","2012-10-19",309.899994
"17","2012-10-22",307.950012
"18","2012-10-23",308.399994
"19","2012-10-24",308.700012
"20","2012-10-25",307.5
"21","2012-10-26",306.75
"22","2012-10-31",303
"23","2012-11-01",305.700012
"24","2012-11-02",304.049988
"25","2012-11-05",305.25
"26","2012-11-06",313.799988
"27","2012-11-07",309
"28","2012-11-08",302.700012
"29","2012-11-09",304.950012
"30","2012-11-12",303.149994
"31","2012-11-13",297
"32","2012-11-14",287.549988
"33","2012-11-15",279.75
"34","2012-11-16",284.399994
"35","2012-11-19",284.549988
"36","2012-11-20",283.649994
"37","2012-11-21",281.399994
"38","2012-11-23",285
"39","2012-11-26",286.799988
"40","2012-11-27",293.25
"41","2012-11-28",292.950012
"42","2012-11-29",295.049988
"43","2012-11-30",296.399994
"44","2012-12-03",298.950012
"45","2012-12-04",294.450012
"46","2012-12-05",294
"47","2012-12-06",297.299988
"48","2012-12-07",297.149994
"49","2012-12-10",291
"50","2012-12-11",292.200012
"51","2012-12-12",287.850006
"52","2012-12-13",289.350006
"53","2012-12-14",288.899994
"54","2012-12-17",292.049988
"55","2012-12-18",297.299988
"56","2012-12-19",296.100006
"57","2012-12-20",296.850006
"58","2012-12-21",290.399994
"59","2012-12-24",290.100006
"60","2012-12-26",287.100006
"61","2012-12-27",290.700012
"62","2012-12-28",288.75
"63","2012-12-31",297.450012
"64","2013-01-02",302.700012
"65","2013-01-03",300.75
"66","2013-01-04",300.75
"67","2013-01-07",300
"68","2013-01-08",298.350006
"69","2013-01-09",294.299988
"70","2013-01-10",298.350006
"71","2013-01-11",296.25
"72","2013-01-14",295.049988
"73","2013-01-15",294.450012
"74","2013-01-16",294.899994
"75","2013-01-17",295.200012
"76","2013-01-18",294.75
"77","2013-01-22",300.299988
"78","2013-01-23",301.649994
"79","2013-01-24",311.850006
"80","2013-01-25",319.950012
"81","2013-01-28",329.399994
"82","2013-01-29",328.200012
"83","2013-01-30",329.25
"84","2013-01-31",328.049988
"85","2013-02-01",328.049988
"86","2013-02-04",327.899994
"87","2013-02-05",318.450012
"88","2013-02-06",320.25
"89","2013-02-07",322.5
"90","2013-02-08",326.25
"91","2013-02-11",339.600006
"92","2013-02-12",340.649994
"93","2013-02-13",341.100006
"94","2013-02-14",343.950012
"95","2013-02-15",335.25
"96","2013-02-19",336
"97","2013-02-20",333
"98","2013-02-21",327.299988
"99","2013-02-22",325.049988
"100","2013-02-25",322.5
"101","2013-02-26",324.899994
"102","2013-02-27",330.450012
"103","2013-02-28",337.799988
"104","2013-03-01",343.950012
"105","2013-03-04",344.399994
"106","2013-03-05",348
"107","2013-03-06",360
"108","2013-03-07",362.399994
"109","2013-03-08",371.100006
"110","2013-03-11",373.5
"111","2013-03-12",392.399994
"112","2013-03-13",385.950012
"113","2013-03-14",383.700012
"114","2013-03-15",389.850006
"115","2013-03-18",393
"116","2013-03-19",395.850006
"117","2013-03-20",395.549988
"118","2013-03-21",403.649994
"119","2013-03-22",408
"120","2013-03-25",406.799988
"121","2013-03-26",416.100006
"122","2013-03-27",416.100006
"123","2013-03-28",415.950012
"124","2013-04-01",416.850006
"125","2013-04-02",415.200012
"126","2013-04-03",400.350006
"127","2013-04-04",400.799988
"128","2013-04-05",399
"129","2013-04-08",404.549988
"130","2013-04-09",418.200012
"131","2013-04-10",418.649994
"132","2013-04-11",418.799988
"133","2013-04-12",420.149994
"134","2013-04-15",410.549988
"135","2013-04-16",414
"136","2013-04-17",414.600006
"137","2013-04-18",406.649994
"138","2013-04-19",403.799988
"139","2013-04-22",410.100006
"140","2013-04-23",409.049988
"141","2013-04-24",405
"142","2013-04-25",406.950012
"143","2013-04-26",412.799988
"144","2013-04-29",411.75
"145","2013-04-30",412.5
"146","2013-05-01",409.049988
"147","2013-05-02",413.700012
"148","2013-05-03",411.899994
"149","2013-05-06",413.100006
"150","2013-05-07",413.25
"151","2013-05-08",419.100006
"152","2013-05-09",416.25
"153","2013-05-10",426
"154","2013-05-13",423.75
"155","2013-05-14",431.399994
"156","2013-05-15",431.25
"157","2013-05-16",437.100006
"158","2013-05-17",462.299988
"159","2013-05-20",460.200012
"160","2013-05-21",462.149994
"161","2013-05-22",462.149994
"162","2013-05-23",463.950012
"163","2013-05-24",481.350006
"164","2013-05-28",478.200012
"165","2013-05-29",471.149994
"166","2013-05-30",467.549988
"167","2013-05-31",467.549988
"168","2013-06-03",464.700012
"169","2013-06-04",462.75
"170","2013-06-05",477.149994
"171","2013-06-06",484.950012
"172","2013-06-07",488.25
