"","date","TRVN"
"1","2014-01-31",6.5
"2","2014-02-03",6.59
"3","2014-02-04",6.58
"4","2014-02-05",6.7
"5","2014-02-06",6.89
"6","2014-02-07",7.02
"7","2014-02-10",7.21
"8","2014-02-11",7.55
"9","2014-02-12",7.15
"10","2014-02-13",7.17
"11","2014-02-14",6.89
"12","2014-02-18",6.95
"13","2014-02-19",7.1
"14","2014-02-20",7.4
"15","2014-02-21",7.4
"16","2014-02-24",8.23
"17","2014-02-25",7.77
"18","2014-02-26",7.97
"19","2014-02-27",8
"20","2014-02-28",7.98
"21","2014-03-03",8.18
"22","2014-03-04",9.27
"23","2014-03-05",9.64
"24","2014-03-06",9.25
"25","2014-03-07",9.14
"26","2014-03-10",9.16
"27","2014-03-11",9.29
"28","2014-03-12",9.29
"29","2014-03-13",9.28
"30","2014-03-14",9.07
"31","2014-03-17",8.45
"32","2014-03-18",8.71
"33","2014-03-19",8.42
"34","2014-03-20",8.38
"35","2014-03-21",7.83
"36","2014-03-24",7.25
"37","2014-03-25",6.98
"38","2014-03-26",7.12
"39","2014-03-27",6.69
"40","2014-03-28",7.45
"41","2014-03-31",7.86
"42","2014-04-01",7.57
"43","2014-04-02",7.63
"44","2014-04-03",7.25
"45","2014-04-04",6.94
"46","2014-04-07",6.41
"47","2014-04-08",6.18
"48","2014-04-09",6.04
"49","2014-04-10",5.8
"50","2014-04-11",5.71
"51","2014-04-14",5.36
"52","2014-04-15",4.97
"53","2014-04-16",5.1
"54","2014-04-17",5.39
"55","2014-04-21",5.76
"56","2014-04-22",5.85
"57","2014-04-23",5.56
"58","2014-04-24",5.49
"59","2014-04-25",5.16
"60","2014-04-28",4.94
"61","2014-04-29",4.94
"62","2014-04-30",5.01
"63","2014-05-01",4.92
"64","2014-05-02",4.94
"65","2014-05-05",4.94
"66","2014-05-06",4.96
"67","2014-05-07",4.88
"68","2014-05-08",4.75
"69","2014-05-09",4.72
"70","2014-05-12",4.67
"71","2014-05-13",4.79
"72","2014-05-14",4.78
"73","2014-05-15",4.8
"74","2014-05-16",4.46
"75","2014-05-19",4.36
"76","2014-05-20",4.41
"77","2014-05-21",4.37
"78","2014-05-22",4.46
"79","2014-05-23",4.46
"80","2014-05-27",4.58
"81","2014-05-28",4.55
"82","2014-05-29",4.53
"83","2014-05-30",4.39
"84","2014-06-02",4.34
"85","2014-06-03",4.48
"86","2014-06-04",4.4
"87","2014-06-05",4.39
"88","2014-06-06",4.44
"89","2014-06-09",4.46
"90","2014-06-10",4.39
"91","2014-06-11",4.78
"92","2014-06-12",4.65
"93","2014-06-13",4.52
"94","2014-06-16",4.335
"95","2014-06-17",4.2
"96","2014-06-18",4.15
"97","2014-06-19",4.11
"98","2014-06-20",4.34
"99","2014-06-23",4.3
"100","2014-06-24",4.31
"101","2014-06-25",4.34
"102","2014-06-26",4.48
"103","2014-06-27",4.97
"104","2014-06-30",5.65
"105","2014-07-01",5.83
"106","2014-07-02",5.6
"107","2014-07-03",5.61
"108","2014-07-07",5.55
"109","2014-07-08",5.52
"110","2014-07-09",5.97
"111","2014-07-10",6.02
"112","2014-07-11",6.3
"113","2014-07-14",6.71
"114","2014-07-15",6.47
"115","2014-07-16",6.5
"116","2014-07-17",6.32
"117","2014-07-18",6.29
"118","2014-07-21",6.57
"119","2014-07-22",6.09
"120","2014-07-23",5.75
"121","2014-07-24",5.86
"122","2014-07-25",5.64
"123","2014-07-28",5.44
"124","2014-07-29",5.71
"125","2014-07-30",6.42
"126","2014-07-31",6.85
"127","2014-08-01",6.39
"128","2014-08-04",6.22
"129","2014-08-05",6.06
"130","2014-08-06",5.97
"131","2014-08-07",5.99
"132","2014-08-08",5.96
"133","2014-08-11",6.01
"134","2014-08-12",6.42
"135","2014-08-13",6.04
"136","2014-08-14",5.98
"137","2014-08-15",6.52
"138","2014-08-18",6.49
"139","2014-08-19",6.11
"140","2014-08-20",6.14
"141","2014-08-21",6.08
"142","2014-08-22",6
"143","2014-08-25",6.03
"144","2014-08-26",6.09
"145","2014-08-27",6.17
"146","2014-08-28",6.14
"147","2014-08-29",5.91
"148","2014-09-02",6.07
"149","2014-09-03",5.91
"150","2014-09-04",5.71
"151","2014-09-05",5.85
"152","2014-09-08",5.95
"153","2014-09-09",5.9
"154","2014-09-10",5.99
"155","2014-09-11",5.97
"156","2014-09-12",5.92
"157","2014-09-15",5.74
"158","2014-09-16",5.67
"159","2014-09-17",5.655
"160","2014-09-18",5.96
"161","2014-09-19",5.94
"162","2014-09-22",5.77
"163","2014-09-23",5.91
"164","2014-09-24",5.91
"165","2014-09-25",5.91
"166","2014-09-26",5.79
"167","2014-09-29",6.57
"168","2014-09-30",6.42
"169","2014-10-01",5.91
"170","2014-10-02",5.94
"171","2014-10-03",6.03
"172","2014-10-06",5.87
"173","2014-10-07",5.89
"174","2014-10-08",5.68
"175","2014-10-09",5.53
"176","2014-10-10",5.01
"177","2014-10-13",4.96
"178","2014-10-14",4.91
"179","2014-10-15",4.57
"180","2014-10-16",4.82
"181","2014-10-17",5.37
"182","2014-10-20",5.16
"183","2014-10-21",5.04
"184","2014-10-22",5.25
"185","2014-10-23",5.61
"186","2014-10-24",5.67
"187","2014-10-27",5.32
"188","2014-10-28",5.32
"189","2014-10-29",5.4
"190","2014-10-30",5.41
"191","2014-10-31",5.81
"192","2014-11-03",6.09
"193","2014-11-04",6.32
"194","2014-11-05",6.08
"195","2014-11-06",5.89
"196","2014-11-07",5.91
"197","2014-11-10",5.85
"198","2014-11-11",5.68
"199","2014-11-12",5.68
"200","2014-11-13",5.63
"201","2014-11-14",5.56
"202","2014-11-17",5.66
"203","2014-11-18",5.87
"204","2014-11-19",5.59
"205","2014-11-20",5.23
"206","2014-11-21",5.46
"207","2014-11-24",5.6
"208","2014-11-25",5.64
"209","2014-11-26",5.36
"210","2014-11-28",5.22
"211","2014-12-01",4.72
"212","2014-12-02",4.44
"213","2014-12-03",4.22
"214","2014-12-04",4.07
"215","2014-12-05",4.01
"216","2014-12-08",3.98
"217","2014-12-09",4.03
"218","2014-12-10",4.09
"219","2014-12-11",4.24
"220","2014-12-12",4.01
"221","2014-12-15",4.31
"222","2014-12-16",4.5
"223","2014-12-17",4.75
"224","2014-12-18",4.97
"225","2014-12-19",5.3
"226","2014-12-22",5.75
"227","2014-12-23",5.75
"228","2014-12-24",5.38
"229","2014-12-26",5.81
"230","2014-12-29",6.09
"231","2014-12-30",5.97
"232","2014-12-31",5.98
"233","2015-01-02",5.65
"234","2015-01-05",5.73
"235","2015-01-06",5.36
"236","2015-01-07",5.48
"237","2015-01-08",5.82
"238","2015-01-09",5.88
"239","2015-01-12",5.92
"240","2015-01-13",5.99
"241","2015-01-14",6
"242","2015-01-15",5.85
"243","2015-01-16",5.94
"244","2015-01-20",5.9
"245","2015-01-21",5.66
"246","2015-01-22",5.8
"247","2015-01-23",5.7
"248","2015-01-26",5.88
"249","2015-01-27",5.73
"250","2015-01-28",5.63
"251","2015-01-29",5.71
"252","2015-01-30",5.45
"253","2015-02-02",5.27
"254","2015-02-03",5.15
"255","2015-02-04",5.02
"256","2015-02-05",4.83
"257","2015-02-06",5.07
"258","2015-02-09",5.35
"259","2015-02-10",5.33
"260","2015-02-11",5.29
"261","2015-02-12",5.27
"262","2015-02-13",5.42
"263","2015-02-17",5.27
"264","2015-02-18",5.55
"265","2015-02-19",5.47
"266","2015-02-20",5.44
"267","2015-02-23",5.18
"268","2015-02-24",5.28
"269","2015-02-25",5.51
"270","2015-02-26",5.6
"271","2015-02-27",5.39
"272","2015-03-02",5.31
"273","2015-03-03",5.26
"274","2015-03-04",5.26
"275","2015-03-05",5.54
"276","2015-03-06",5.57
"277","2015-03-09",5.53
"278","2015-03-10",5.65
"279","2015-03-11",5.74
"280","2015-03-12",6.25
"281","2015-03-13",6.52
"282","2015-03-16",7.1
"283","2015-03-17",6.79
"284","2015-03-18",7.44
"285","2015-03-19",7.37
"286","2015-03-20",7.5
"287","2015-03-23",7.57
"288","2015-03-24",7.75
"289","2015-03-25",7.32
"290","2015-03-26",6.69
"291","2015-03-27",6.97
"292","2015-03-30",6.64
"293","2015-03-31",6.52
"294","2015-04-01",7.3
"295","2015-04-02",7.09
"296","2015-04-06",7.12
"297","2015-04-07",6.87
"298","2015-04-08",6.76
"299","2015-04-09",6.85
"300","2015-04-10",6.8
"301","2015-04-13",7.08
"302","2015-04-14",6.95
"303","2015-04-15",6.97
"304","2015-04-16",6.76
"305","2015-04-17",6.93
"306","2015-04-20",6.95
"307","2015-04-21",7.44
"308","2015-04-22",6.91
"309","2015-04-23",6.99
"310","2015-04-24",6.69
"311","2015-04-27",6.2
"312","2015-04-28",6.33
"313","2015-04-29",6.27
"314","2015-04-30",6.17
"315","2015-05-01",6.29
"316","2015-05-04",6.94
"317","2015-05-05",6.49
"318","2015-05-06",6.6
"319","2015-05-07",6.24
"320","2015-05-08",6.6
"321","2015-05-11",6.92
