"","date","UXIN"
"1","2018-06-27",9.67
"2","2018-06-28",9.77
"3","2018-06-29",9.04
"4","2018-07-02",8.15
"5","2018-07-03",8.5
"6","2018-07-05",7.8
"7","2018-07-06",7.34
"8","2018-07-09",7.66
"9","2018-07-10",7.47
"10","2018-07-11",7.73
"11","2018-07-12",8.45
"12","2018-07-13",8.64
"13","2018-07-16",8.39
"14","2018-07-17",8.35
"15","2018-07-18",8
"16","2018-07-19",7.54
"17","2018-07-20",7.56
"18","2018-07-23",7.65
"19","2018-07-24",7.66
"20","2018-07-25",7.61
"21","2018-07-26",6.98
"22","2018-07-27",6.51
"23","2018-07-30",5.75
"24","2018-07-31",6.16
"25","2018-08-01",6.16
"26","2018-08-02",6.75
"27","2018-08-03",6.88
"28","2018-08-06",6.51
"29","2018-08-07",6.73
"30","2018-08-08",6.62
"31","2018-08-09",6.71
"32","2018-08-10",6.57
"33","2018-08-13",6.14
"34","2018-08-14",5.67
"35","2018-08-15",5.26
"36","2018-08-16",5.57
"37","2018-08-17",5.26
"38","2018-08-20",5.2
"39","2018-08-21",6.24
"40","2018-08-22",6.63
"41","2018-08-23",6.64
"42","2018-08-24",6.19
"43","2018-08-27",6.21
"44","2018-08-28",6.27
"45","2018-08-29",6.17
"46","2018-08-30",5.93
"47","2018-08-31",5.93
"48","2018-09-04",5.92
"49","2018-09-05",5.44
"50","2018-09-06",5.34
"51","2018-09-07",5.38
"52","2018-09-10",5.33
"53","2018-09-11",5.2
"54","2018-09-12",5.04
"55","2018-09-13",5.14
"56","2018-09-14",5.22
"57","2018-09-17",5.06
"58","2018-09-18",5.03
"59","2018-09-19",5.15
"60","2018-09-20",5.3
"61","2018-09-21",5.45
"62","2018-09-24",5.86
"63","2018-09-25",6.4
"64","2018-09-26",6.71
"65","2018-09-27",6.5
"66","2018-09-28",6.79
"67","2018-10-01",6.51
"68","2018-10-02",6.14
"69","2018-10-03",6.35
"70","2018-10-04",6.53
"71","2018-10-05",6.5
"72","2018-10-08",6.3
"73","2018-10-09",5.82
"74","2018-10-10",5.87
"75","2018-10-11",6.2
"76","2018-10-12",6.16
"77","2018-10-15",6.31
"78","2018-10-16",6.5
"79","2018-10-17",6.32
"80","2018-10-18",5.94
"81","2018-10-19",5.6
"82","2018-10-22",5.61
"83","2018-10-23",5.4
"84","2018-10-24",5.06
"85","2018-10-25",5.15
"86","2018-10-26",5.13
"87","2018-10-29",5.13
"88","2018-10-30",5.14
"89","2018-10-31",5.44
"90","2018-11-01",6.03
"91","2018-11-02",5.98
"92","2018-11-05",5.9
"93","2018-11-06",5.86
"94","2018-11-07",5.91
"95","2018-11-08",5.72
"96","2018-11-09",5.48
"97","2018-11-12",5.28
"98","2018-11-13",5.33
"99","2018-11-14",5.31
"100","2018-11-15",5.33
"101","2018-11-16",5.29
"102","2018-11-19",5.1
