"","date","NTUS"
"1","2007-01-03",16.620001
"2","2007-01-04",16.51
"3","2007-01-05",16.309999
"4","2007-01-08",16.18
"5","2007-01-09",15.69
"6","2007-01-10",15.21
"7","2007-01-11",15.19
"8","2007-01-12",15.17
"9","2007-01-16",14.9
"10","2007-01-17",15.22
"11","2007-01-18",15.1
"12","2007-01-19",15.02
"13","2007-01-22",15.12
"14","2007-01-23",15.08
"15","2007-01-24",15.1
"16","2007-01-25",14.55
"17","2007-01-26",14.73
"18","2007-01-29",14.9
"19","2007-01-30",14.86
"20","2007-01-31",15.2
"21","2007-02-01",15.28
"22","2007-02-02",15.18
"23","2007-02-05",15.07
"24","2007-02-06",15
"25","2007-02-07",14.93
"26","2007-02-08",15.19
"27","2007-02-09",14.92
"28","2007-02-12",14.87
"29","2007-02-13",15.09
"30","2007-02-14",14.74
"31","2007-02-15",14.6
"32","2007-02-16",14.61
"33","2007-02-20",16.65
"34","2007-02-21",16.620001
"35","2007-02-22",16.790001
"36","2007-02-23",16.68
"37","2007-02-26",16.190001
"38","2007-02-27",15.26
"39","2007-02-28",16.110001
"40","2007-03-01",15.72
"41","2007-03-02",15.49
"42","2007-03-05",15.55
"43","2007-03-06",15.9
"44","2007-03-07",16.24
"45","2007-03-08",16.41
"46","2007-03-09",16.66
"47","2007-03-12",16.799999
"48","2007-03-13",17.040001
"49","2007-03-14",17.16
"50","2007-03-15",17
"51","2007-03-16",16.65
"52","2007-03-19",17.049999
"53","2007-03-20",17.02
"54","2007-03-21",17.34
"55","2007-03-22",17.610001
"56","2007-03-23",17.9
"57","2007-03-26",17.74
"58","2007-03-27",17.860001
"59","2007-03-28",17.82
"60","2007-03-29",17.68
"61","2007-03-30",17.77
"62","2007-04-02",17.77
"63","2007-04-03",17.809999
"64","2007-04-04",17.52
"65","2007-04-05",17.6
"66","2007-04-09",17.41
"67","2007-04-10",17.040001
"68","2007-04-11",16.9
"69","2007-04-12",17
"70","2007-04-13",16.99
"71","2007-04-16",17.15
"72","2007-04-17",17.4
"73","2007-04-18",17.360001
"74","2007-04-19",17.32
"75","2007-04-20",18.1
"76","2007-04-23",18.02
"77","2007-04-24",18.25
"78","2007-04-25",18.58
"79","2007-04-26",18.75
"80","2007-04-27",18.75
"81","2007-04-30",17.780001
"82","2007-05-01",17.940001
"83","2007-05-02",18.129999
"84","2007-05-03",16.629999
"85","2007-05-04",16.32
"86","2007-05-07",15.87
"87","2007-05-08",15.37
"88","2007-05-09",14.93
"89","2007-05-10",15.68
"90","2007-05-11",16.059999
"91","2007-05-14",16.030001
"92","2007-05-15",16.01
"93","2007-05-16",15.76
"94","2007-05-17",15.56
"95","2007-05-18",15.93
"96","2007-05-21",16.01
"97","2007-05-22",16.219999
"98","2007-05-23",15.73
"99","2007-05-24",15.68
"100","2007-05-25",15.63
"101","2007-05-29",15.54
"102","2007-05-30",15.45
"103","2007-05-31",15.67
"104","2007-06-01",16.01
"105","2007-06-04",16.09
"106","2007-06-05",16.049999
"107","2007-06-06",15.86
"108","2007-06-07",15.8
"109","2007-06-08",15.83
"110","2007-06-11",15.74
"111","2007-06-12",15.53
"112","2007-06-13",15.92
"113","2007-06-14",16.049999
"114","2007-06-15",16.5
"115","2007-06-18",16.379999
"116","2007-06-19",16.030001
"117","2007-06-20",16.120001
"118","2007-06-21",15.85
"119","2007-06-22",15.86
"120","2007-06-25",15.68
"121","2007-06-26",15.62
"122","2007-06-27",16.120001
"123","2007-06-28",15.94
"124","2007-06-29",15.92
"125","2007-07-02",16.129999
"126","2007-07-03",16.219999
"127","2007-07-05",16
"128","2007-07-06",15.98
"129","2007-07-09",16.059999
"130","2007-07-10",15.74
"131","2007-07-11",16.02
"132","2007-07-12",16
"133","2007-07-13",16.16
"134","2007-07-16",15.81
"135","2007-07-17",15.87
"136","2007-07-18",15.7
"137","2007-07-19",15.69
"138","2007-07-20",15.39
"139","2007-07-23",15.25
"140","2007-07-24",14.91
"141","2007-07-25",15.31
"142","2007-07-26",15.3
"143","2007-07-27",15
"144","2007-07-30",14.94
"145","2007-07-31",15.26
"146","2007-08-01",15.88
"147","2007-08-02",15.05
"148","2007-08-03",14.53
"149","2007-08-06",14.69
"150","2007-08-07",14.2
"151","2007-08-08",15.45
"152","2007-08-09",15.7
"153","2007-08-10",16.030001
"154","2007-08-13",15.34
"155","2007-08-14",14.94
"156","2007-08-15",14.93
"157","2007-08-16",15.77
"158","2007-08-17",16.02
"159","2007-08-20",15.91
"160","2007-08-21",15.97
"161","2007-08-22",16.32
"162","2007-08-23",16.52
"163","2007-08-24",16.83
"164","2007-08-27",16.469999
"165","2007-08-28",16.09
"166","2007-08-29",16.219999
"167","2007-08-30",16.129999
"168","2007-08-31",16.09
"169","2007-09-04",16.25
"170","2007-09-05",16.18
"171","2007-09-06",15.64
"172","2007-09-07",15.34
"173","2007-09-10",15.25
"174","2007-09-11",15.35
"175","2007-09-12",15.36
"176","2007-09-13",14.86
"177","2007-09-14",14.9
"178","2007-09-17",14.75
"179","2007-09-18",14.89
"180","2007-09-19",14.97
"181","2007-09-20",14.77
"182","2007-09-21",14.76
"183","2007-09-24",14.23
"184","2007-09-25",14.36
"185","2007-09-26",14.52
"186","2007-09-27",15.97
"187","2007-09-28",15.94
"188","2007-10-01",16.620001
"189","2007-10-02",16.65
"190","2007-10-03",16.200001
"191","2007-10-04",16.5
"192","2007-10-05",16.98
"193","2007-10-08",16.98
"194","2007-10-09",16.950001
"195","2007-10-10",17.52
"196","2007-10-11",17.67
"197","2007-10-12",17.690001
"198","2007-10-15",17.4
"199","2007-10-16",17.15
"200","2007-10-17",17.129999
"201","2007-10-18",16.91
"202","2007-10-19",16.540001
"203","2007-10-22",16.74
"204","2007-10-23",16.68
"205","2007-10-24",16.5
"206","2007-10-25",16.49
"207","2007-10-26",17.440001
"208","2007-10-29",17.700001
"209","2007-10-30",17.690001
"210","2007-10-31",18.1
"211","2007-11-01",16.219999
"212","2007-11-02",16.24
"213","2007-11-05",16.110001
"214","2007-11-06",16.49
"215","2007-11-07",15.87
"216","2007-11-08",16.1
"217","2007-11-09",16.15
"218","2007-11-12",16.01
"219","2007-11-13",16.09
"220","2007-11-14",15.93
"221","2007-11-15",15.79
"222","2007-11-16",15.6
"223","2007-11-19",15.26
"224","2007-11-20",15.79
"225","2007-11-21",15.69
"226","2007-11-23",15.94
"227","2007-11-26",15.68
"228","2007-11-27",16.6
"229","2007-11-28",16.83
"230","2007-11-29",17.02
"231","2007-11-30",16.870001
"232","2007-12-03",17.85
"233","2007-12-04",17.530001
"234","2007-12-05",17.780001
"235","2007-12-06",18.09
"236","2007-12-07",18.84
"237","2007-12-10",17.690001
"238","2007-12-11",17.809999
"239","2007-12-12",18.620001
"240","2007-12-13",18.459999
"241","2007-12-14",18.01
