"","date","BWEN"
"1","2007-01-03",19.5
"2","2007-01-04",19.299999
"3","2007-01-05",19.299999
"4","2007-01-08",19.4
"5","2007-01-09",19
"6","2007-01-10",19
"7","2007-01-11",17.9
"8","2007-01-12",17.9
"9","2007-01-16",18.6
"10","2007-01-17",20
"11","2007-01-18",20
"12","2007-01-19",20.200001
"13","2007-01-22",20
"14","2007-01-23",19.9
"15","2007-01-24",20
"16","2007-01-25",19
"17","2007-01-26",19
"18","2007-01-29",20.299999
"19","2007-01-30",19.799999
"20","2007-01-31",21.5
"21","2007-02-01",20.200001
"22","2007-02-02",20.1
"23","2007-02-05",20.200001
"24","2007-02-06",20.5
"25","2007-02-07",20.200001
"26","2007-02-08",19.9
"27","2007-02-09",19.700001
"28","2007-02-12",20.299999
"29","2007-02-13",19.5
"30","2007-02-14",19.700001
"31","2007-02-15",19.4
"32","2007-02-16",19
"33","2007-02-20",20.299999
"34","2007-02-21",20.1
"35","2007-02-22",20.9
"36","2007-02-23",21.200001
"37","2007-02-26",23
"38","2007-02-27",24
"39","2007-02-28",23.799999
"40","2007-03-01",23.200001
"41","2007-03-02",27
"42","2007-03-05",29
"43","2007-03-06",35.299999
"44","2007-03-07",32
"45","2007-03-08",31
"46","2007-03-09",32
"47","2007-03-12",34.799999
"48","2007-03-13",34.200001
"49","2007-03-14",33.900002
"50","2007-03-15",33.200001
"51","2007-03-16",33.099998
"52","2007-03-19",34.5
"53","2007-03-20",34.200001
"54","2007-03-21",33
"55","2007-03-22",35.5
"56","2007-03-23",41
"57","2007-03-26",40.5
"58","2007-03-27",40
"59","2007-03-28",40
"60","2007-03-29",40.299999
"61","2007-03-30",40.5
"62","2007-04-02",40.200001
"63","2007-04-03",40.5
"64","2007-04-04",40.5
"65","2007-04-05",40
"66","2007-04-09",39
"67","2007-04-10",38.700001
"68","2007-04-11",39.5
"69","2007-04-12",40
"70","2007-04-13",40
"71","2007-04-16",40
"72","2007-04-17",39.5
"73","2007-04-18",39.299999
"74","2007-04-19",38.700001
"75","2007-04-20",40
"76","2007-04-23",39.799999
"77","2007-04-24",38.599998
"78","2007-04-25",38.200001
"79","2007-04-26",40
"80","2007-04-27",39.700001
"81","2007-04-30",39.5
"82","2007-05-01",38.799999
"83","2007-05-02",39.5
"84","2007-05-03",39.5
"85","2007-05-04",37.5
"86","2007-05-07",37.5
"87","2007-05-08",35.799999
"88","2007-05-09",37.099998
"89","2007-05-10",37
"90","2007-05-11",36
"91","2007-05-14",37.200001
"92","2007-05-15",36
"93","2007-05-16",35.799999
"94","2007-05-17",34.5
"95","2007-05-18",34.700001
"96","2007-05-21",32.799999
"97","2007-05-22",37.299999
"98","2007-05-23",40.099998
"99","2007-05-24",39.5
"100","2007-05-25",40.5
"101","2007-05-29",39
"102","2007-05-30",44
"103","2007-05-31",46
"104","2007-06-01",45
"105","2007-06-04",45
"106","2007-06-05",43.200001
"107","2007-06-06",43.5
"108","2007-06-07",42.5
"109","2007-06-08",42.200001
"110","2007-06-11",42
"111","2007-06-12",40
"112","2007-06-13",40
"113","2007-06-14",40.5
"114","2007-06-15",40.5
"115","2007-06-18",40.5
"116","2007-06-19",40.5
"117","2007-06-20",40
"118","2007-06-21",44
"119","2007-06-22",42.5
"120","2007-06-25",41.5
"121","2007-06-26",41.799999
"122","2007-06-27",43.5
"123","2007-06-28",43
"124","2007-06-29",43.299999
"125","2007-07-02",42.5
"126","2007-07-03",42.5
"127","2007-07-05",42.5
"128","2007-07-06",43
"129","2007-07-09",44
"130","2007-07-10",42
"131","2007-07-11",42.5
"132","2007-07-12",43.5
"133","2007-07-13",47
"134","2007-07-16",54
"135","2007-07-17",53
"136","2007-07-18",52
"137","2007-07-19",53.900002
"138","2007-07-20",53.5
"139","2007-07-23",53.099998
"140","2007-07-24",51
"141","2007-07-25",50.5
"142","2007-07-26",51.5
"143","2007-07-27",52.099998
"144","2007-07-30",53
"145","2007-07-31",51.5
"146","2007-08-01",51.5
"147","2007-08-02",52
"148","2007-08-03",51.5
"149","2007-08-06",51.5
"150","2007-08-07",51
"151","2007-08-08",52
"152","2007-08-09",51.299999
"153","2007-08-10",52.5
"154","2007-08-13",50
"155","2007-08-14",47.5
"156","2007-08-15",47.5
"157","2007-08-16",46
"158","2007-08-17",45.5
"159","2007-08-20",46
"160","2007-08-21",46
"161","2007-08-22",48
"162","2007-08-23",52.5
"163","2007-08-24",49
"164","2007-08-27",48.5
"165","2007-08-28",47.400002
"166","2007-08-29",49
"167","2007-08-30",52
"168","2007-08-31",52.5
"169","2007-09-04",52.900002
"170","2007-09-05",52
"171","2007-09-06",52.400002
"172","2007-09-07",51.5
"173","2007-09-10",53
"174","2007-09-11",52
"175","2007-09-12",52
"176","2007-09-13",53.400002
"177","2007-09-14",53
"178","2007-09-17",54.799999
"179","2007-09-18",54
"180","2007-09-19",53
"181","2007-09-20",53.5
"182","2007-09-21",52.5
"183","2007-09-24",52.5
"184","2007-09-25",52.5
"185","2007-09-26",53.5
"186","2007-09-27",53.5
"187","2007-09-28",54
"188","2007-10-01",54
"189","2007-10-02",53.5
"190","2007-10-03",53.400002
"191","2007-10-04",52.5
"192","2007-10-05",52.5
"193","2007-10-08",53.5
"194","2007-10-09",52.900002
"195","2007-10-10",55
"196","2007-10-11",54.900002
"197","2007-10-12",56.700001
