"","date","BNSO"
"1","2007-01-03",5.09
"2","2007-01-04",5.27
"3","2007-01-05",5.18
"4","2007-01-08",5.3
"5","2007-01-09",5.22
"6","2007-01-10",5.23
"7","2007-01-11",5.19
"8","2007-01-12",5.24
"9","2007-01-16",5.4
"10","2007-01-17",5.29
"11","2007-01-18",5.31
"12","2007-01-19",5.32
"13","2007-01-22",5.33
"14","2007-01-23",5.33
"15","2007-01-24",5.22
"16","2007-01-25",5.15
"17","2007-01-26",5.11
"18","2007-01-29",5.27
"19","2007-01-30",5.14
"20","2007-01-31",5.22
"21","2007-02-01",5.1
"22","2007-02-02",5.2
"23","2007-02-05",5.24
"24","2007-02-06",5.21
"25","2007-02-07",5.26
"26","2007-02-08",5.27
"27","2007-02-09",5.25
"28","2007-02-12",5.27
"29","2007-02-13",5.21
"30","2007-02-14",5.24
"31","2007-02-15",4.61
"32","2007-02-16",4.73
"33","2007-02-20",4.85
"34","2007-02-21",4.6
"35","2007-02-22",4.89
"36","2007-02-23",4.89
"37","2007-02-26",4.88
"38","2007-02-27",4.85
"39","2007-02-28",4.85
"40","2007-03-01",4.83
"41","2007-03-02",4.8
"42","2007-03-05",4.82
"43","2007-03-06",4.85
"44","2007-03-07",4.85
"45","2007-03-08",4.8
"46","2007-03-09",4.43
"47","2007-03-12",4.17
"48","2007-03-13",4.02
"49","2007-03-14",4.1
"50","2007-03-15",3.98
"51","2007-03-16",3.86
"52","2007-03-19",3.83
"53","2007-03-20",3.82
"54","2007-03-21",3.93
"55","2007-03-22",4.3
"56","2007-03-23",4.37
"57","2007-03-26",4.25
"58","2007-03-27",4
"59","2007-03-28",3.96
"60","2007-03-29",4.01
"61","2007-03-30",4.09
"62","2007-04-02",4.12
"63","2007-04-03",4.13
"64","2007-04-04",4.09
"65","2007-04-05",3.92
"66","2007-04-09",4.05
"67","2007-04-10",4.05
"68","2007-04-11",4.12
"69","2007-04-12",4.02
"70","2007-04-13",4.04
"71","2007-04-16",4.06
"72","2007-04-17",4.1
"73","2007-04-18",4.1
"74","2007-04-19",4.06
