"","date","MGRC"
"1","2007-01-03",29.610001
"2","2007-01-04",30.26
"3","2007-01-05",29.209999
"4","2007-01-08",29.34
"5","2007-01-09",29.33
"6","2007-01-10",29.030001
"7","2007-01-11",29.299999
"8","2007-01-12",28.99
"9","2007-01-16",29.41
"10","2007-01-17",28.67
"11","2007-01-18",29.059999
"12","2007-01-19",29.41
"13","2007-01-22",29.139999
"14","2007-01-23",29.48
"15","2007-01-24",29.629999
"16","2007-01-25",29.18
"17","2007-01-26",29.42
"18","2007-01-29",30.33
"19","2007-01-30",30.48
"20","2007-01-31",30.629999
"21","2007-02-01",30.99
"22","2007-02-02",31.309999
"23","2007-02-05",29.99
"24","2007-02-06",31.23
"25","2007-02-07",31.48
"26","2007-02-08",31.67
"27","2007-02-09",31.309999
"28","2007-02-12",31.65
"29","2007-02-13",31.07
"30","2007-02-14",30.719999
"31","2007-02-15",31.309999
"32","2007-02-16",31.549999
"33","2007-02-20",31.92
"34","2007-02-21",31.67
"35","2007-02-22",31.860001
"36","2007-02-23",30.4
"37","2007-02-26",31.139999
"38","2007-02-27",29.75
"39","2007-02-28",29.77
"40","2007-03-01",29.360001
"41","2007-03-02",29.01
"42","2007-03-05",28.49
"43","2007-03-06",29.299999
"44","2007-03-07",28.889999
"45","2007-03-08",28.889999
"46","2007-03-09",29.059999
"47","2007-03-12",29.43
"48","2007-03-13",28.889999
"49","2007-03-14",28.83
"50","2007-03-15",29.360001
"51","2007-03-16",28.93
"52","2007-03-19",29.469999
"53","2007-03-20",30.209999
"54","2007-03-21",31.24
"55","2007-03-22",30.73
"56","2007-03-23",30.959999
"57","2007-03-26",31.33
"58","2007-03-27",31.25
"59","2007-03-28",31.549999
"60","2007-03-29",31.700001
"61","2007-03-30",31.67
"62","2007-04-02",31.690001
"63","2007-04-03",31.49
"64","2007-04-04",31.4
"65","2007-04-05",31.35
"66","2007-04-09",30.9
"67","2007-04-10",31
"68","2007-04-11",30.530001
"69","2007-04-12",31.09
"70","2007-04-13",30.75
"71","2007-04-16",31.74
"72","2007-04-17",31.719999
"73","2007-04-18",30.6
"74","2007-04-19",30.059999
"75","2007-04-20",30.68
"76","2007-04-23",30.32
"77","2007-04-24",30.360001
"78","2007-04-25",30.809999
"79","2007-04-26",31.049999
"80","2007-04-27",30.5
"81","2007-04-30",30.15
"82","2007-05-01",30.74
