"","date","BTAQ"
"1","2020-10-08",9.73
"2","2020-10-09",9.74
"3","2020-10-12",9.73
"4","2020-10-13",9.73
"5","2020-10-14",9.735
"6","2020-10-15",9.73
"7","2020-10-16",9.71
"8","2020-10-19",9.72
"9","2020-10-20",9.74
"10","2020-10-21",9.7
"11","2020-10-22",9.7
"12","2020-10-23",9.7
"13","2020-10-26",9.7
"14","2020-10-27",9.7
"15","2020-10-28",9.74
"16","2020-10-29",9.64
"17","2020-10-30",9.64
"18","2020-11-02",9.64
"19","2020-11-03",9.7
"20","2020-11-04",9.74
"21","2020-11-05",9.75
"22","2020-11-06",9.75
"23","2020-11-09",9.76
"24","2020-11-10",9.75
"25","2020-11-11",9.77
"26","2020-11-12",9.77
"27","2020-11-13",9.77
"28","2020-11-16",9.76
"29","2020-11-17",9.77
"30","2020-11-18",9.76
"31","2020-11-19",9.76
"32","2020-11-20",9.74
"33","2020-11-23",9.79
"34","2020-11-24",9.8
"35","2020-11-25",9.83
"36","2020-11-27",9.85
