"","date","UIS"
"1","2007-01-03",79
"2","2007-01-04",79.800003
"3","2007-01-05",79.599998
"4","2007-01-08",80.099998
"5","2007-01-09",81.5
"6","2007-01-10",81.900002
"7","2007-01-11",82
"8","2007-01-12",82.099998
"9","2007-01-16",83.300003
"10","2007-01-17",83.400002
"11","2007-01-18",82.699997
"12","2007-01-19",82.800003
"13","2007-01-22",82.099998
"14","2007-01-23",81.300003
"15","2007-01-24",80.400002
"16","2007-01-25",81.800003
"17","2007-01-26",82.400002
"18","2007-01-29",84.900002
"19","2007-01-30",84.5
"20","2007-01-31",86.199997
"21","2007-02-01",87.900002
"22","2007-02-02",88
"23","2007-02-05",88.5
"24","2007-02-06",89.199997
"25","2007-02-07",90.599998
"26","2007-02-08",92.199997
"27","2007-02-09",89.400002
"28","2007-02-12",90.300003
"29","2007-02-13",91.400002
"30","2007-02-14",92.099998
"31","2007-02-15",92.300003
"32","2007-02-16",92.800003
"33","2007-02-20",93.800003
"34","2007-02-21",93.5
"35","2007-02-22",91.900002
"36","2007-02-23",93
"37","2007-02-26",92.599998
"38","2007-02-27",87.300003
"39","2007-02-28",84.900002
"40","2007-03-01",83.699997
"41","2007-03-02",82.800003
"42","2007-03-05",81
"43","2007-03-06",83.300003
"44","2007-03-07",82.099998
"45","2007-03-08",83.5
"46","2007-03-09",83.400002
"47","2007-03-12",84.5
"48","2007-03-13",82.900002
"49","2007-03-14",82.5
"50","2007-03-15",83
"51","2007-03-16",82.699997
"52","2007-03-19",82
"53","2007-03-20",83.800003
"54","2007-03-21",84.199997
"55","2007-03-22",85.800003
"56","2007-03-23",84.400002
"57","2007-03-26",84.900002
"58","2007-03-27",84.900002
"59","2007-03-28",84.800003
"60","2007-03-29",84.800003
"61","2007-03-30",84.300003
"62","2007-04-02",85.099998
"63","2007-04-03",86.599998
"64","2007-04-04",87.900002
"65","2007-04-05",88.900002
"66","2007-04-09",90
"67","2007-04-10",90.900002
"68","2007-04-11",92
"69","2007-04-12",92.800003
"70","2007-04-13",90.800003
"71","2007-04-16",90.199997
"72","2007-04-17",90.800003
"73","2007-04-18",89.900002
"74","2007-04-19",89.099998
"75","2007-04-20",89.5
"76","2007-04-23",89.400002
"77","2007-04-24",89.199997
"78","2007-04-25",88.300003
"79","2007-04-26",82.900002
"80","2007-04-27",79
"81","2007-04-30",78.400002
"82","2007-05-01",78
"83","2007-05-02",78.699997
"84","2007-05-03",80.099998
"85","2007-05-04",80.099998
"86","2007-05-07",80.199997
"87","2007-05-08",81.199997
"88","2007-05-09",81.199997
"89","2007-05-10",81
"90","2007-05-11",82.5
"91","2007-05-14",82.099998
"92","2007-05-15",83
"93","2007-05-16",82.300003
"94","2007-05-17",82.199997
"95","2007-05-18",83.400002
"96","2007-05-21",83.800003
"97","2007-05-22",84.199997
"98","2007-05-23",84
"99","2007-05-24",84
"100","2007-05-25",85.199997
"101","2007-05-29",85.5
"102","2007-05-30",84.900002
"103","2007-05-31",83.199997
"104","2007-06-01",83.099998
"105","2007-06-04",84.099998
"106","2007-06-05",84.099998
"107","2007-06-06",82.900002
"108","2007-06-07",81.900002
"109","2007-06-08",83.400002
"110","2007-06-11",82.599998
"111","2007-06-12",81.099998
"112","2007-06-13",80.5
"113","2007-06-14",82.400002
"114","2007-06-15",83.599998
"115","2007-06-18",82.400002
"116","2007-06-19",82.900002
"117","2007-06-20",83.099998
"118","2007-06-21",84.699997
"119","2007-06-22",87.300003
"120","2007-06-25",88.400002
"121","2007-06-26",87.800003
"122","2007-06-27",89.599998
"123","2007-06-28",94.199997
"124","2007-06-29",91.400002
"125","2007-07-02",92.199997
"126","2007-07-03",91.699997
"127","2007-07-05",96
