"","date","WTTR"
"1","2017-06-26",11.96
"2","2017-06-27",12.16
"3","2017-06-28",12.06
"4","2017-06-29",12.23
"5","2017-06-30",12.15
"6","2017-07-03",12.13
"7","2017-07-05",11.92
"8","2017-07-06",11.96
"9","2017-07-07",11.48
"10","2017-07-10",11.5
"11","2017-07-11",11.36
"12","2017-07-12",11.37
"13","2017-07-13",11.65
"14","2017-07-14",11.9
"15","2017-07-17",12.01
"16","2017-07-18",12.47
"17","2017-07-19",14.92
"18","2017-07-20",14.71
"19","2017-07-21",14.7
"20","2017-07-24",14.18
"21","2017-07-25",14.98
"22","2017-07-26",15.26
"23","2017-07-27",15.22
"24","2017-07-28",15.81
"25","2017-07-31",15.53
"26","2017-08-01",15.25
"27","2017-08-02",15.39
"28","2017-08-03",15.3
"29","2017-08-04",15.28
"30","2017-08-07",15.02
"31","2017-08-08",15.19
"32","2017-08-09",15.35
"33","2017-08-10",15.16
"34","2017-08-11",14.91
"35","2017-08-14",14.69
"36","2017-08-15",14.34
"37","2017-08-16",14.24
"38","2017-08-17",14.1
"39","2017-08-18",14.01
"40","2017-08-21",14
"41","2017-08-22",14.04
"42","2017-08-23",14.1
"43","2017-08-24",13.97
"44","2017-08-25",14.15
"45","2017-08-28",13.85
"46","2017-08-29",14
"47","2017-08-30",13.98
"48","2017-08-31",14.1
"49","2017-09-01",14.54
"50","2017-09-05",14.48
"51","2017-09-06",15.17
"52","2017-09-07",15.33
"53","2017-09-08",15
"54","2017-09-11",15.16
"55","2017-09-12",15
"56","2017-09-13",15.24
"57","2017-09-14",15.79
"58","2017-09-15",15.34
"59","2017-09-18",15.68
"60","2017-09-19",15.83
"61","2017-09-20",16.4
"62","2017-09-21",16.280001
"63","2017-09-22",16.879999
"64","2017-09-25",16.75
"65","2017-09-26",16.690001
"66","2017-09-27",15.84
"67","2017-09-28",15.99
"68","2017-09-29",15.92
"69","2017-10-02",15.74
"70","2017-10-03",15.51
"71","2017-10-04",15.05
"72","2017-10-05",15.31
"73","2017-10-06",14.98
"74","2017-10-09",15.13
"75","2017-10-10",15.27
"76","2017-10-11",15.64
"77","2017-10-12",15.57
"78","2017-10-13",15.8
"79","2017-10-16",15.94
"80","2017-10-17",16.040001
"81","2017-10-18",16.1
"82","2017-10-19",16.16
"83","2017-10-20",15.9
"84","2017-10-23",15.49
"85","2017-10-24",15.24
"86","2017-10-25",15.29
"87","2017-10-26",15.89
"88","2017-10-27",16
"89","2017-10-30",16.040001
"90","2017-10-31",16.280001
"91","2017-11-01",16.360001
"92","2017-11-02",15.94
"93","2017-11-03",15.93
"94","2017-11-06",16.34
"95","2017-11-07",16.299999
"96","2017-11-08",15.97
"97","2017-11-09",15.65
"98","2017-11-10",15.52
"99","2017-11-13",15.43
"100","2017-11-14",14.94
"101","2017-11-15",14.72
"102","2017-11-16",14.64
"103","2017-11-17",15.16
"104","2017-11-20",15.35
"105","2017-11-21",15.13
"106","2017-11-22",15.28
"107","2017-11-24",15.54
"108","2017-11-27",15.45
"109","2017-11-28",15.93
"110","2017-11-29",15.79
"111","2017-11-30",16.48
"112","2017-12-01",16.549999
"113","2017-12-04",16.91
"114","2017-12-05",16.799999
"115","2017-12-06",16.01
"116","2017-12-07",15.98
"117","2017-12-08",15.67
"118","2017-12-11",15.95
"119","2017-12-12",16.200001
"120","2017-12-13",16.129999
"121","2017-12-14",16.209999
"122","2017-12-15",16.43
"123","2017-12-18",17.040001
"124","2017-12-19",16.91
"125","2017-12-20",17.27
"126","2017-12-21",17.9
"127","2017-12-22",17.559999
"128","2017-12-26",18.15
"129","2017-12-27",18.110001
"130","2017-12-28",18.16
"131","2017-12-29",18.24
"132","2018-01-02",18.24
"133","2018-01-03",17.879999
"134","2018-01-04",18.34
"135","2018-01-05",18.49
"136","2018-01-08",18.620001
"137","2018-01-09",18.59
"138","2018-01-10",19.09
"139","2018-01-11",19.76
"140","2018-01-12",20.9
"141","2018-01-16",20.5
"142","2018-01-17",20.48
"143","2018-01-18",20.870001
"144","2018-01-19",21.66
"145","2018-01-22",21.700001
"146","2018-01-23",21.32
"147","2018-01-24",20.280001
"148","2018-01-25",19.559999
"149","2018-01-26",19.549999
"150","2018-01-29",18.77
"151","2018-01-30",18.209999
"152","2018-01-31",17.92
"153","2018-02-01",18.530001
"154","2018-02-02",17.360001
"155","2018-02-05",16.809999
"156","2018-02-06",17.24
"157","2018-02-07",16.959999
"158","2018-02-08",16.209999
"159","2018-02-09",15.95
"160","2018-02-12",16.15
"161","2018-02-13",16.01
"162","2018-02-14",16.370001
"163","2018-02-15",16.209999
"164","2018-02-16",15.84
"165","2018-02-20",15.8
"166","2018-02-21",15.45
"167","2018-02-22",15.51
"168","2018-02-23",15.45
"169","2018-02-26",15.2
"170","2018-02-27",14.8
"171","2018-02-28",14.36
"172","2018-03-01",14.42
"173","2018-03-02",14.55
"174","2018-03-05",14.81
"175","2018-03-06",14.79
"176","2018-03-07",14.39
"177","2018-03-08",13.9
"178","2018-03-09",13.58
"179","2018-03-12",13.9
"180","2018-03-13",13.7
"181","2018-03-14",13.42
"182","2018-03-15",13.63
"183","2018-03-16",13.68
"184","2018-03-19",13.35
"185","2018-03-20",13.08
"186","2018-03-21",13.43
"187","2018-03-22",12.81
"188","2018-03-23",12.62
"189","2018-03-26",12.35
"190","2018-03-27",12.06
"191","2018-03-28",11.9
"192","2018-03-29",12.62
"193","2018-04-02",11.88
"194","2018-04-03",12.16
"195","2018-04-04",12.2
"196","2018-04-05",12.67
"197","2018-04-06",12.25
"198","2018-04-09",12.32
"199","2018-04-10",13.1
"200","2018-04-11",13.29
"201","2018-04-12",13.43
