"","date","FBIZ"
"1","2007-01-03",11.335
"2","2007-01-04",11.335
"3","2007-01-05",11.335
"4","2007-01-08",11.25
"5","2007-01-09",11.075
"6","2007-01-10",11.075
"7","2007-01-11",10.9
"8","2007-01-12",10.76
"9","2007-01-16",10.875
"10","2007-01-17",10.86
"11","2007-01-18",10.76
"12","2007-01-19",10.945
"13","2007-01-22",10.945
"14","2007-01-23",10.965
"15","2007-01-24",10.94
"16","2007-01-25",10.94
"17","2007-01-26",10.955
"18","2007-01-29",10.835
"19","2007-01-30",10.75
"20","2007-01-31",10.75
"21","2007-02-01",10.75
"22","2007-02-02",10.75
"23","2007-02-05",10.95
"24","2007-02-06",10.95
"25","2007-02-07",10.95
"26","2007-02-08",10.63
"27","2007-02-09",10.63
"28","2007-02-12",10.63
"29","2007-02-13",11
"30","2007-02-14",11
"31","2007-02-15",11
"32","2007-02-16",11
"33","2007-02-20",10.95
"34","2007-02-21",11.08
"35","2007-02-22",11.05
"36","2007-02-23",11.05
"37","2007-02-26",11.15
"38","2007-02-27",11.1
"39","2007-02-28",11.025
"40","2007-03-01",11.025
"41","2007-03-02",11.025
"42","2007-03-05",11.025
"43","2007-03-06",11.025
"44","2007-03-07",11.025
"45","2007-03-08",11.025
"46","2007-03-09",11.03
"47","2007-03-12",11
"48","2007-03-13",11.05
"49","2007-03-14",11
"50","2007-03-15",11
"51","2007-03-16",11.135
"52","2007-03-19",11.005
"53","2007-03-20",10.99
"54","2007-03-21",11
"55","2007-03-22",11.05
"56","2007-03-23",11.065
"57","2007-03-26",11.05
"58","2007-03-27",11
"59","2007-03-28",11
"60","2007-03-29",11.1
"61","2007-03-30",11.25
"62","2007-04-02",11.25
"63","2007-04-03",11.25
"64","2007-04-04",11.25
"65","2007-04-05",11
"66","2007-04-09",11
"67","2007-04-10",11
"68","2007-04-11",11
"69","2007-04-12",11
"70","2007-04-13",11
"71","2007-04-16",11
"72","2007-04-17",11
"73","2007-04-18",11
"74","2007-04-19",11
"75","2007-04-20",10.75
"76","2007-04-23",10.75
"77","2007-04-24",10.625
"78","2007-04-25",10.66
"79","2007-04-26",10.5
"80","2007-04-27",10.52
"81","2007-04-30",10.5
"82","2007-05-01",10.625
"83","2007-05-02",10.625
"84","2007-05-03",10.625
"85","2007-05-04",10.625
"86","2007-05-07",10.625
"87","2007-05-08",10.275
"88","2007-05-09",10.275
"89","2007-05-10",10.275
"90","2007-05-11",10.3
"91","2007-05-14",10.265
"92","2007-05-15",10.265
"93","2007-05-16",10.235
"94","2007-05-17",10.235
"95","2007-05-18",10.59
"96","2007-05-21",10.575
"97","2007-05-22",10.5
"98","2007-05-23",10.525
"99","2007-05-24",10.525
"100","2007-05-25",10.52
"101","2007-05-29",10.375
"102","2007-05-30",10.355
"103","2007-05-31",10.555
"104","2007-06-01",10.555
"105","2007-06-04",10.45
"106","2007-06-05",10.47
"107","2007-06-06",10.275
"108","2007-06-07",10.49
"109","2007-06-08",10.285
"110","2007-06-11",10.32
"111","2007-06-12",10.325
"112","2007-06-13",10.2
"113","2007-06-14",10.21
"114","2007-06-15",9.9
"115","2007-06-18",9.95
"116","2007-06-19",9.95
"117","2007-06-20",9.95
"118","2007-06-21",9.99
"119","2007-06-22",9.975
"120","2007-06-25",10
"121","2007-06-26",9.975
"122","2007-06-27",10
"123","2007-06-28",10.075
"124","2007-06-29",10.23
