"","date","UNAM"
"1","2007-01-03",13.5
"2","2007-01-04",13.45
"3","2007-01-05",13.4
"4","2007-01-08",13.49
"5","2007-01-09",13.3
"6","2007-01-10",13.05
"7","2007-01-11",13.06
"8","2007-01-12",13.2
"9","2007-01-16",13.38
"10","2007-01-17",13.2
"11","2007-01-18",13.39
"12","2007-01-19",13.05
"13","2007-01-22",13
"14","2007-01-23",13
"15","2007-01-24",12.92
"16","2007-01-25",13.03
"17","2007-01-26",12.96
"18","2007-01-29",12.99
"19","2007-01-30",13.09
"20","2007-01-31",13.08
"21","2007-02-01",12.95
"22","2007-02-02",13.05
"23","2007-02-05",13.06
"24","2007-02-06",12.73
"25","2007-02-07",12.48
"26","2007-02-08",12.56
"27","2007-02-09",12.5
"28","2007-02-12",12.45
"29","2007-02-13",12.41
"30","2007-02-14",12.45
"31","2007-02-15",12.37
"32","2007-02-16",12.24
"33","2007-02-20",12.09
"34","2007-02-21",12.23
"35","2007-02-22",12.55
"36","2007-02-23",12.9
"37","2007-02-26",13.02
"38","2007-02-27",12.72
"39","2007-02-28",12.66
"40","2007-03-01",12.47
"41","2007-03-02",13.35
"42","2007-03-05",13.21
"43","2007-03-06",13.43
"44","2007-03-07",13.33
"45","2007-03-08",13.15
"46","2007-03-09",12.9
"47","2007-03-12",12.83
"48","2007-03-13",12.85
"49","2007-03-14",13.14
"50","2007-03-15",12.97
"51","2007-03-16",13.12
"52","2007-03-19",13.25
"53","2007-03-20",13.25
"54","2007-03-21",13.25
"55","2007-03-22",13.29
"56","2007-03-23",13.3
"57","2007-03-26",12.95
"58","2007-03-27",12.81
"59","2007-03-28",12.95
"60","2007-03-29",12.61
"61","2007-03-30",12.67
"62","2007-04-02",12.6
"63","2007-04-03",11.82
"64","2007-04-04",11.81
"65","2007-04-05",11.45
"66","2007-04-09",11.33
"67","2007-04-10",11.2
"68","2007-04-11",11.14
"69","2007-04-12",11.12
"70","2007-04-13",11.09
"71","2007-04-16",11.6
"72","2007-04-17",11.7
"73","2007-04-18",11.3
"74","2007-04-19",11.29
"75","2007-04-20",11.3
"76","2007-04-23",11.53
"77","2007-04-24",11.6
"78","2007-04-25",11.71
"79","2007-04-26",11.9
"80","2007-04-27",11.46
"81","2007-04-30",11.2
"82","2007-05-01",11.17
"83","2007-05-02",11.51
"84","2007-05-03",11.55
"85","2007-05-04",11.5
"86","2007-05-07",11.57
"87","2007-05-08",11.53
"88","2007-05-09",11.96
"89","2007-05-10",11.22
"90","2007-05-11",11.58
"91","2007-05-14",11.1
"92","2007-05-15",11.2
"93","2007-05-16",11.42
"94","2007-05-17",11.5
"95","2007-05-18",11.4
"96","2007-05-21",11.4
"97","2007-05-22",11.47
"98","2007-05-23",11.45
"99","2007-05-24",11.46
"100","2007-05-25",11.43
"101","2007-05-29",11.51
"102","2007-05-30",11.66
"103","2007-05-31",11.76
"104","2007-06-01",11.8
"105","2007-06-04",12.01
"106","2007-06-05",12.09
"107","2007-06-06",12
"108","2007-06-07",12.06
"109","2007-06-08",12.17
"110","2007-06-11",12.16
"111","2007-06-12",12.05
"112","2007-06-13",12.3
"113","2007-06-14",12.41
"114","2007-06-15",12.83
"115","2007-06-18",13.05
"116","2007-06-19",13.03
"117","2007-06-20",13.05
"118","2007-06-21",13.15
"119","2007-06-22",13.25
"120","2007-06-25",12.9
"121","2007-06-26",13.04
"122","2007-06-27",13.04
"123","2007-06-28",13.43
"124","2007-06-29",13.34
"125","2007-07-02",13.37
"126","2007-07-03",13.4
"127","2007-07-05",13.48
"128","2007-07-06",13.72
"129","2007-07-09",13.79
"130","2007-07-10",13.95
"131","2007-07-11",13.72
"132","2007-07-12",13.23
"133","2007-07-13",13.2
"134","2007-07-16",13
"135","2007-07-17",13.1
"136","2007-07-18",13.1
"137","2007-07-19",12.91
"138","2007-07-20",13.08
"139","2007-07-23",13.07
"140","2007-07-24",13.11
"141","2007-07-25",12.75
"142","2007-07-26",12.51
"143","2007-07-27",12.51
"144","2007-07-30",12.79
"145","2007-07-31",12.47
"146","2007-08-01",12.47
"147","2007-08-02",12.43
"148","2007-08-03",12.2
"149","2007-08-06",12.19
"150","2007-08-07",11.95
"151","2007-08-08",11.95
"152","2007-08-09",12.1
"153","2007-08-10",12.2
"154","2007-08-13",12.2
"155","2007-08-14",12.14
"156","2007-08-15",12.14
"157","2007-08-16",12
"158","2007-08-17",11.8
"159","2007-08-20",12
"160","2007-08-21",11.79
"161","2007-08-22",11.4
"162","2007-08-23",11.34
"163","2007-08-24",10.99
"164","2007-08-27",11.24
"165","2007-08-28",11.2
"166","2007-08-29",11.78
"167","2007-08-30",11.91
"168","2007-08-31",11.91
"169","2007-09-04",11.91
"170","2007-09-05",11.91
"171","2007-09-06",11.91
"172","2007-09-07",11.91
"173","2007-09-10",11.45
"174","2007-09-11",11.01
"175","2007-09-12",11.4
"176","2007-09-13",11.35
"177","2007-09-14",11.35
"178","2007-09-17",11.4
"179","2007-09-18",11.4
"180","2007-09-19",11.4
"181","2007-09-20",11.41
"182","2007-09-21",11.4
"183","2007-09-24",11.41
"184","2007-09-25",11.41
"185","2007-09-26",11.36
"186","2007-09-27",11.36
"187","2007-09-28",11.36
