"","date","MFAC"
"1","2018-09-21",9.52
"2","2018-09-24",9.52
"3","2018-09-25",9.52
"4","2018-09-26",9.5
"5","2018-09-27",9.52
"6","2018-09-28",9.52
"7","2018-10-01",9.52
"8","2018-10-02",9.52
"9","2018-10-03",9.52
"10","2018-10-04",9.53
"11","2018-10-05",9.55
"12","2018-10-08",9.52
"13","2018-10-09",9.52
"14","2018-10-10",9.53
"15","2018-10-11",9.53
"16","2018-10-12",9.54
"17","2018-10-15",9.53
"18","2018-10-16",9.54
"19","2018-10-17",9.54
"20","2018-10-18",9.54
"21","2018-10-19",9.54
"22","2018-10-22",9.53
"23","2018-10-23",9.52
"24","2018-10-24",9.53
"25","2018-10-25",9.53
"26","2018-10-26",9.5
"27","2018-10-29",9.5
"28","2018-10-30",9.52
"29","2018-10-31",9.53
"30","2018-11-01",9.54
"31","2018-11-02",9.53
"32","2018-11-05",9.53
"33","2018-11-06",9.53
"34","2018-11-07",9.53
"35","2018-11-08",9.53
"36","2018-11-09",9.53
"37","2018-11-12",9.53
"38","2018-11-13",9.53
"39","2018-11-14",9.65
"40","2018-11-15",9.65
"41","2018-11-16",9.65
"42","2018-11-19",9.57
"43","2018-11-20",9.56
"44","2018-11-21",9.56
"45","2018-11-23",9.56
"46","2018-11-26",9.56
"47","2018-11-27",9.56
"48","2018-11-28",9.56
"49","2018-11-29",9.69
"50","2018-11-30",9.69
"51","2018-12-03",9.69
"52","2018-12-04",9.69
"53","2018-12-06",9.69
"54","2018-12-07",9.67
"55","2018-12-10",9.67
"56","2018-12-11",9.69
"57","2018-12-12",9.69
"58","2018-12-13",9.69
"59","2018-12-14",9.69
"60","2018-12-17",9.69
"61","2018-12-18",9.69
"62","2018-12-19",9.69
"63","2018-12-20",9.62
"64","2018-12-21",9.7
"65","2018-12-24",9.7
"66","2018-12-26",9.72
"67","2018-12-27",9.72
"68","2018-12-28",9.7
"69","2018-12-31",9.7
"70","2019-01-02",9.7
"71","2019-01-03",9.72
"72","2019-01-04",9.72
"73","2019-01-07",9.72
"74","2019-01-08",9.67
"75","2019-01-09",9.72
"76","2019-01-10",9.72
"77","2019-01-11",9.74
"78","2019-01-14",9.77
"79","2019-01-15",9.74
"80","2019-01-16",9.74
"81","2019-01-17",9.72
"82","2019-01-18",9.72
"83","2019-01-22",9.72
"84","2019-01-23",9.72
"85","2019-01-24",9.72
"86","2019-01-25",9.72
"87","2019-01-28",9.77
"88","2019-01-29",9.85
"89","2019-01-30",9.85
"90","2019-01-31",9.85
"91","2019-02-01",9.85
"92","2019-02-04",9.87
"93","2019-02-05",9.86
"94","2019-02-06",9.87
"95","2019-02-07",9.84
"96","2019-02-08",9.84
"97","2019-02-11",9.85
"98","2019-02-12",9.87
"99","2019-02-13",9.87
"100","2019-02-14",9.88
"101","2019-02-15",9.85
"102","2019-02-19",9.88
"103","2019-02-20",9.87
"104","2019-02-21",9.9
"105","2019-02-22",9.89
"106","2019-02-25",9.9
"107","2019-02-26",9.91
"108","2019-02-27",9.91
"109","2019-02-28",9.92
"110","2019-03-01",9.9
"111","2019-03-04",9.94
"112","2019-03-05",9.91
"113","2019-03-06",9.9
"114","2019-03-07",9.89
"115","2019-03-08",9.9
"116","2019-03-11",9.91
"117","2019-03-12",9.91
"118","2019-03-13",9.99
"119","2019-03-14",9.91
"120","2019-03-15",9.93
"121","2019-03-18",9.93
"122","2019-03-19",9.95
"123","2019-03-20",9.95
"124","2019-03-21",9.94
"125","2019-03-22",9.93
"126","2019-03-25",9.94
"127","2019-03-26",9.96
"128","2019-03-27",9.97
"129","2019-03-28",9.96
"130","2019-03-29",9.98
"131","2019-04-01",9.97
"132","2019-04-02",9.98
"133","2019-04-03",9.98
"134","2019-04-04",9.98
"135","2019-04-05",9.97
"136","2019-04-08",9.96
"137","2019-04-09",9.96
"138","2019-04-10",9.98
"139","2019-04-11",9.99
"140","2019-04-12",10
"141","2019-04-15",9.98
"142","2019-04-16",9.98
"143","2019-04-17",9.98
"144","2019-04-18",9.98
"145","2019-04-22",9.98
"146","2019-04-23",9.98
"147","2019-04-24",9.99
"148","2019-04-25",9.97
"149","2019-04-26",9.98
"150","2019-04-29",9.98
"151","2019-04-30",10.01
"152","2019-05-01",10.01
"153","2019-05-02",10
"154","2019-05-03",9.99
"155","2019-05-06",9.99
"156","2019-05-07",9.99
"157","2019-05-08",9.99
"158","2019-05-09",9.99
"159","2019-05-10",10
"160","2019-05-13",9.96
"161","2019-05-14",9.96
"162","2019-05-15",10.02
"163","2019-05-16",10.02
"164","2019-05-17",10.02
"165","2019-05-20",10.02
"166","2019-05-21",10.02
"167","2019-05-22",10
"168","2019-05-23",10
"169","2019-05-24",10
"170","2019-05-28",10.01
"171","2019-05-29",10.02
"172","2019-05-30",9.98
"173","2019-05-31",10.01
"174","2019-06-03",10.02
"175","2019-06-04",10.03
"176","2019-06-05",10.05
"177","2019-06-06",10.05
"178","2019-06-07",10.05
"179","2019-06-10",10.05
"180","2019-06-11",10.05
"181","2019-06-12",10.06
"182","2019-06-13",10.06
"183","2019-06-14",10.06
"184","2019-06-17",10.06
"185","2019-06-18",10.05
"186","2019-06-19",10.05
"187","2019-06-20",10.05
"188","2019-06-21",10.05
"189","2019-06-24",10.05
"190","2019-06-25",10.04
"191","2019-06-26",10.08
"192","2019-06-27",10.04
"193","2019-06-28",10.04
"194","2019-07-01",10.08
"195","2019-07-02",10.08
"196","2019-07-03",10.08
"197","2019-07-05",10.08
"198","2019-07-08",10.07
"199","2019-07-09",10.07
"200","2019-07-10",10.07
"201","2019-07-11",10.07
"202","2019-07-12",10.07
"203","2019-07-15",10.09
"204","2019-07-16",10.07
"205","2019-07-17",10.08
"206","2019-07-18",10.09
"207","2019-07-19",10.1
"208","2019-07-22",10.1
"209","2019-07-23",10.1
"210","2019-07-24",10.13
"211","2019-07-25",10.12
"212","2019-07-26",10.1
"213","2019-07-29",10.1
"214","2019-07-30",10.1
"215","2019-07-31",10.1
"216","2019-08-01",10.1
"217","2019-08-02",10.1
"218","2019-08-05",10.09
"219","2019-08-06",10.09
"220","2019-08-07",10.1
"221","2019-08-08",10.08
"222","2019-08-09",10.08
"223","2019-08-12",10.04
"224","2019-08-13",10.12
"225","2019-08-14",10.13
"226","2019-08-15",10.1
"227","2019-08-16",10.14
"228","2019-08-19",10.12
"229","2019-08-20",10.1
"230","2019-08-21",10.11
"231","2019-08-22",10.14
"232","2019-08-23",10.14
"233","2019-08-26",10.13
"234","2019-08-27",10.14
"235","2019-08-28",10.14
"236","2019-08-29",10.13
"237","2019-08-30",10.14
"238","2019-09-03",10.15
"239","2019-09-04",10.15
"240","2019-09-05",10.15
"241","2019-09-06",10.15
"242","2019-09-09",10.17
"243","2019-09-10",10.16
"244","2019-09-11",10.16
"245","2019-09-12",10.16
"246","2019-09-13",10.16
"247","2019-09-16",10.16
"248","2019-09-17",10.16
"249","2019-09-18",10.16
"250","2019-09-19",10.2
"251","2019-09-20",10.2
"252","2019-09-23",10.2
"253","2019-09-24",10.2
"254","2019-09-25",10.2
"255","2019-09-26",10.2
"256","2019-09-27",10.16
