"","date","ATRI"
"1","2007-01-03",78.309998
"2","2007-01-04",78.43
"3","2007-01-05",78.82
"4","2007-01-08",81.989998
"5","2007-01-09",83.199997
"6","2007-01-10",86.779999
"7","2007-01-11",88.910004
"8","2007-01-12",88.25
"9","2007-01-16",91
"10","2007-01-17",91.980003
"11","2007-01-18",91
"12","2007-01-19",91.709999
"13","2007-01-22",92.5
"14","2007-01-23",93.5
"15","2007-01-24",93.239998
"16","2007-01-25",93.669998
"17","2007-01-26",93.940002
"18","2007-01-29",93.230003
"19","2007-01-30",91.25
"20","2007-01-31",91.989998
"21","2007-02-01",92.449997
"22","2007-02-02",92.089996
"23","2007-02-05",93.470001
"24","2007-02-06",93.470001
"25","2007-02-07",93.669998
"26","2007-02-08",93.669998
"27","2007-02-09",94.480003
"28","2007-02-12",94.599998
"29","2007-02-13",94.260002
"30","2007-02-14",93.029999
"31","2007-02-15",92.949997
"32","2007-02-16",93
"33","2007-02-20",94
"34","2007-02-21",94
"35","2007-02-22",94.139999
"36","2007-02-23",94.139999
"37","2007-02-26",95
"38","2007-02-27",94.029999
"39","2007-02-28",94.379997
"40","2007-03-01",94
"41","2007-03-02",94
"42","2007-03-05",93.849998
"43","2007-03-06",94.480003
"44","2007-03-07",94.5
"45","2007-03-08",94.449997
"46","2007-03-09",94.449997
"47","2007-03-12",94.029999
"48","2007-03-13",91.75
"49","2007-03-14",89.989998
"50","2007-03-15",89.339996
"51","2007-03-16",91.459999
"52","2007-03-19",88.970001
"53","2007-03-20",90
"54","2007-03-21",90
"55","2007-03-22",90.559998
"56","2007-03-23",90.559998
"57","2007-03-26",91.050003
"58","2007-03-27",90.959999
"59","2007-03-28",90.010002
"60","2007-03-29",91.510002
"61","2007-03-30",91.82
"62","2007-04-02",91.010002
"63","2007-04-03",89.779999
"64","2007-04-04",89.5
"65","2007-04-05",91.790001
"66","2007-04-09",90.5
"67","2007-04-10",90.190002
"68","2007-04-11",92.519997
"69","2007-04-12",91.540001
"70","2007-04-13",91.540001
"71","2007-04-16",90.5
"72","2007-04-17",92
"73","2007-04-18",92
"74","2007-04-19",91.989998
"75","2007-04-20",91.800003
"76","2007-04-23",90.559998
"77","2007-04-24",90.559998
"78","2007-04-25",90.559998
"79","2007-04-26",91.510002
"80","2007-04-27",91.510002
"81","2007-04-30",92.489998
"82","2007-05-01",91.75
"83","2007-05-02",91.75
"84","2007-05-03",91.75
"85","2007-05-04",91.75
"86","2007-05-07",92
"87","2007-05-08",92.050003
"88","2007-05-09",91.489998
"89","2007-05-10",93.25
"90","2007-05-11",93.480003
"91","2007-05-14",92.809998
"92","2007-05-15",93.449997
"93","2007-05-16",93.5
"94","2007-05-17",93.5
"95","2007-05-18",93.5
"96","2007-05-21",93.5
"97","2007-05-22",93
"98","2007-05-23",92.559998
"99","2007-05-24",92.559998
"100","2007-05-25",92.5
"101","2007-05-29",91.660004
"102","2007-05-30",91.32
"103","2007-05-31",91.080002
"104","2007-06-01",91.099998
"105","2007-06-04",91.480003
"106","2007-06-05",92.730003
"107","2007-06-06",92.019997
"108","2007-06-07",92
"109","2007-06-08",92
"110","2007-06-11",92.489998
"111","2007-06-12",90.5
"112","2007-06-13",92.260002
"113","2007-06-14",92.199997
"114","2007-06-15",92.199997
"115","2007-06-18",93.199997
"116","2007-06-19",93.650002
"117","2007-06-20",94.980003
"118","2007-06-21",95
