"","date","WOR"
"1","2007-01-03",17.16
"2","2007-01-04",17.190001
"3","2007-01-05",16.84
"4","2007-01-08",16.969999
"5","2007-01-09",17
"6","2007-01-10",17.110001
"7","2007-01-11",17.540001
"8","2007-01-12",18.01
"9","2007-01-16",17.969999
"10","2007-01-17",18.049999
"11","2007-01-18",18.26
"12","2007-01-19",18.049999
"13","2007-01-22",18.219999
"14","2007-01-23",18.709999
"15","2007-01-24",18.58
"16","2007-01-25",18.26
"17","2007-01-26",18.469999
"18","2007-01-29",18.559999
"19","2007-01-30",18.99
"20","2007-01-31",19.18
"21","2007-02-01",19.48
"22","2007-02-02",19.16
"23","2007-02-05",19
"24","2007-02-06",19.059999
"25","2007-02-07",18.9
"26","2007-02-08",18.52
"27","2007-02-09",18.48
"28","2007-02-12",18.41
"29","2007-02-13",18.950001
"30","2007-02-14",18.809999
"31","2007-02-15",19.16
"32","2007-02-16",19.129999
"33","2007-02-20",19.27
"34","2007-02-21",19.559999
"35","2007-02-22",19.66
"36","2007-02-23",19.549999
"37","2007-02-26",19.469999
"38","2007-02-27",18.17
"39","2007-02-28",19.91
"40","2007-03-01",19.23
"41","2007-03-02",18.540001
"42","2007-03-05",18.280001
"43","2007-03-06",18.75
"44","2007-03-07",18.48
"45","2007-03-08",19.190001
"46","2007-03-09",19.09
"47","2007-03-12",19.059999
"48","2007-03-13",18.450001
"49","2007-03-14",18.76
"50","2007-03-15",18.959999
"51","2007-03-16",18.610001
"52","2007-03-19",18.85
"53","2007-03-20",19.370001
"54","2007-03-21",19.52
"55","2007-03-22",19.709999
"56","2007-03-23",19.67
"57","2007-03-26",19.629999
"58","2007-03-27",19.67
"59","2007-03-28",19.42
"60","2007-03-29",20.629999
"61","2007-03-30",20.58
"62","2007-04-02",21.6
"63","2007-04-03",21.65
"64","2007-04-04",21.549999
"65","2007-04-05",21.440001
"66","2007-04-09",21.83
"67","2007-04-10",21.57
"68","2007-04-11",21.790001
"69","2007-04-12",21.82
"70","2007-04-13",22.08
"71","2007-04-16",22.389999
"72","2007-04-17",22.200001
"73","2007-04-18",22.18
"74","2007-04-19",21.959999
"75","2007-04-20",22.27
"76","2007-04-23",22.879999
"77","2007-04-24",23.059999
"78","2007-04-25",23.25
"79","2007-04-26",23.110001
"80","2007-04-27",22.74
"81","2007-04-30",22.25
"82","2007-05-01",22.309999
"83","2007-05-02",22.309999
"84","2007-05-03",22.35
"85","2007-05-04",22.620001
"86","2007-05-07",22.639999
"87","2007-05-08",22.809999
"88","2007-05-09",22.799999
"89","2007-05-10",22.469999
"90","2007-05-11",22.67
"91","2007-05-14",22.66
"92","2007-05-15",22.629999
"93","2007-05-16",22.360001
"94","2007-05-17",22.17
"95","2007-05-18",22.299999
"96","2007-05-21",22.299999
"97","2007-05-22",22.15
"98","2007-05-23",21.82
"99","2007-05-24",19.98
"100","2007-05-25",20.5
"101","2007-05-29",20.549999
"102","2007-05-30",20.99
