"","date","MPX"
"1","2007-01-03",11.65
"2","2007-01-04",11.55
"3","2007-01-05",11.3
"4","2007-01-08",10.69
"5","2007-01-09",10.14
"6","2007-01-10",9.52
"7","2007-01-11",9.56
"8","2007-01-12",9.57
"9","2007-01-16",9.72
"10","2007-01-17",9.45
"11","2007-01-18",9.23
"12","2007-01-19",9.56
"13","2007-01-22",9.53
"14","2007-01-23",9.54
"15","2007-01-24",9.85
"16","2007-01-25",9.83
"17","2007-01-26",9.75
"18","2007-01-29",10.01
"19","2007-01-30",10.02
"20","2007-01-31",9.83
"21","2007-02-01",9.86
"22","2007-02-02",9.98
"23","2007-02-05",9.45
"24","2007-02-06",9.34
"25","2007-02-07",9.58
"26","2007-02-08",9.5
"27","2007-02-09",9.53
"28","2007-02-12",9.42
"29","2007-02-13",9.6
"30","2007-02-14",9.46
"31","2007-02-15",9.55
"32","2007-02-16",9.45
"33","2007-02-20",9.75
"34","2007-02-21",9.86
"35","2007-02-22",10.15
"36","2007-02-23",9.74
"37","2007-02-26",9.71
"38","2007-02-27",9.4
"39","2007-02-28",9.28
"40","2007-03-01",9.59
"41","2007-03-02",9.54
"42","2007-03-05",9.47
"43","2007-03-06",9.71
"44","2007-03-07",9.5
"45","2007-03-08",9.7
"46","2007-03-09",9.84
"47","2007-03-12",9.8
"48","2007-03-13",9.5
"49","2007-03-14",9.55
"50","2007-03-15",9.94
"51","2007-03-16",9.67
"52","2007-03-19",9.72
"53","2007-03-20",9.89
"54","2007-03-21",10.36
"55","2007-03-22",10.23
"56","2007-03-23",10.03
"57","2007-03-26",9.97
"58","2007-03-27",9.9
"59","2007-03-28",9.87
"60","2007-03-29",9.7
"61","2007-03-30",9.57
"62","2007-04-02",9.49
"63","2007-04-03",9.67
"64","2007-04-04",9.69
"65","2007-04-05",9.58
"66","2007-04-09",9.67
"67","2007-04-10",9.68
"68","2007-04-11",9.41
"69","2007-04-12",9.25
"70","2007-04-13",9.4
"71","2007-04-16",9.49
"72","2007-04-17",9.45
"73","2007-04-18",9.41
"74","2007-04-19",9.05
"75","2007-04-20",9.14
"76","2007-04-23",9.26
"77","2007-04-24",9.48
"78","2007-04-25",9
"79","2007-04-26",9.02
"80","2007-04-27",8.97
"81","2007-04-30",8.81
"82","2007-05-01",8.64
"83","2007-05-02",8.72
"84","2007-05-03",8.76
"85","2007-05-04",8.84
"86","2007-05-07",8.6
"87","2007-05-08",8.63
"88","2007-05-09",8.78
"89","2007-05-10",8.44
"90","2007-05-11",8.77
"91","2007-05-14",8.52
"92","2007-05-15",8.3
"93","2007-05-16",8.44
"94","2007-05-17",8.21
"95","2007-05-18",8.37
"96","2007-05-21",8.52
"97","2007-05-22",8.51
"98","2007-05-23",8.44
"99","2007-05-24",8.28
"100","2007-05-25",8.32
"101","2007-05-29",8.19
"102","2007-05-30",8.15
"103","2007-05-31",8.12
"104","2007-06-01",8.15
"105","2007-06-04",8.08
"106","2007-06-05",8.11
"107","2007-06-06",7.97
"108","2007-06-07",7.84
"109","2007-06-08",7.9
"110","2007-06-11",7.85
"111","2007-06-12",7.7
"112","2007-06-13",7.91
"113","2007-06-14",7.99
"114","2007-06-15",8.14
"115","2007-06-18",8.18
"116","2007-06-19",8.04
"117","2007-06-20",7.85
"118","2007-06-21",8.07
"119","2007-06-22",7.93
"120","2007-06-25",7.99
"121","2007-06-26",8.18
"122","2007-06-27",8.29
"123","2007-06-28",8.43
"124","2007-06-29",8.23
"125","2007-07-02",8.37
"126","2007-07-03",8.29
"127","2007-07-05",8.43
"128","2007-07-06",8.56
"129","2007-07-09",8.47
"130","2007-07-10",8.27
"131","2007-07-11",8.33
"132","2007-07-12",8.45
"133","2007-07-13",8.5
"134","2007-07-16",8.65
"135","2007-07-17",8.59
"136","2007-07-18",8.38
"137","2007-07-19",8.48
"138","2007-07-20",8.34
"139","2007-07-23",8.3
"140","2007-07-24",8.23
"141","2007-07-25",8.78
"142","2007-07-26",8.67
"143","2007-07-27",8.44
"144","2007-07-30",8.68
"145","2007-07-31",8.73
"146","2007-08-01",8.65
"147","2007-08-02",8.95
"148","2007-08-03",8.42
"149","2007-08-06",8.78
"150","2007-08-07",8.97
"151","2007-08-08",8.86
"152","2007-08-09",8.58
"153","2007-08-10",8.82
"154","2007-08-13",8.79
"155","2007-08-14",8.7
"156","2007-08-15",8.76
"157","2007-08-16",8.81
"158","2007-08-17",8.85
"159","2007-08-20",8.78
"160","2007-08-21",8.73
"161","2007-08-22",8.8
"162","2007-08-23",8.76
"163","2007-08-24",8.82
"164","2007-08-27",8.75
"165","2007-08-28",8.76
"166","2007-08-29",9.13
"167","2007-08-30",8.76
"168","2007-08-31",8.86
"169","2007-09-04",8.73
"170","2007-09-05",8.58
"171","2007-09-06",8.73
"172","2007-09-07",8.72
"173","2007-09-10",8.74
"174","2007-09-11",8.94
"175","2007-09-12",8.79
"176","2007-09-13",8.7
"177","2007-09-14",8.72
"178","2007-09-17",8.72
"179","2007-09-18",9.21
"180","2007-09-19",9.35
"181","2007-09-20",9.26
"182","2007-09-21",9.13
"183","2007-09-24",8.8
"184","2007-09-25",8.99
"185","2007-09-26",8.91
"186","2007-09-27",8.93
"187","2007-09-28",8.48
"188","2007-10-01",8.52
"189","2007-10-02",8.43
"190","2007-10-03",8.51
"191","2007-10-04",8.52
"192","2007-10-05",9.02
"193","2007-10-08",9.07
"194","2007-10-09",9.06
"195","2007-10-10",8.73
"196","2007-10-11",8.68
"197","2007-10-12",8.75
"198","2007-10-15",8.7
"199","2007-10-16",8.75
"200","2007-10-17",8.75
"201","2007-10-18",8.84
"202","2007-10-19",8.2
"203","2007-10-22",8.44
"204","2007-10-23",8.69
"205","2007-10-24",8.4
"206","2007-10-25",8.12
"207","2007-10-26",7.82
"208","2007-10-29",7.81
"209","2007-10-30",7.82
"210","2007-10-31",8.19
"211","2007-11-01",7.9
"212","2007-11-02",7.75
"213","2007-11-05",7.73
"214","2007-11-06",7.83
"215","2007-11-07",7.52
"216","2007-11-08",8.03
"217","2007-11-09",7.71
"218","2007-11-12",7.78
"219","2007-11-13",7.99
"220","2007-11-14",7.72
"221","2007-11-15",7.55
"222","2007-11-16",7.39
"223","2007-11-19",7.14
"224","2007-11-20",7.18
"225","2007-11-21",7.28
"226","2007-11-23",7.6
"227","2007-11-26",7.12
"228","2007-11-27",7.17
"229","2007-11-28",7.48
"230","2007-11-29",7.52
"231","2007-11-30",7.36
"232","2007-12-03",7.09
"233","2007-12-04",6.71
"234","2007-12-05",6.64
"235","2007-12-06",7.16
"236","2007-12-07",7.13
"237","2007-12-10",7.1
"238","2007-12-11",6.63
"239","2007-12-12",6.93
"240","2007-12-13",7.03
"241","2007-12-14",6.91
"242","2007-12-17",6.96
"243","2007-12-18",7.29
"244","2007-12-19",7.48
"245","2007-12-20",7.49
"246","2007-12-21",7.47
"247","2007-12-24",7.44
"248","2007-12-26",7.63
"249","2007-12-27",7.36
"250","2007-12-28",7.14
"251","2007-12-31",7.01
"252","2008-01-02",6.99
"253","2008-01-03",6.97
"254","2008-01-04",6.99
"255","2008-01-07",7
"256","2008-01-08",7.02
"257","2008-01-09",7.11
"258","2008-01-10",7.38
"259","2008-01-11",7.03
"260","2008-01-14",7.02
"261","2008-01-15",6.96
"262","2008-01-16",6.79
"263","2008-01-17",6.59
"264","2008-01-18",6.68
"265","2008-01-22",7.08
"266","2008-01-23",8.7
"267","2008-01-24",8.28
"268","2008-01-25",8.21
"269","2008-01-28",8.89
"270","2008-01-29",8.61
"271","2008-01-30",8.64
"272","2008-01-31",9.09
"273","2008-02-01",8.99
"274","2008-02-04",8.64
"275","2008-02-05",8.22
"276","2008-02-06",7.93
"277","2008-02-07",8.07
"278","2008-02-08",7.64
"279","2008-02-11",7.79
"280","2008-02-12",7.9
"281","2008-02-13",8.67
"282","2008-02-14",8.45
"283","2008-02-15",8.12
"284","2008-02-19",7.81
"285","2008-02-20",7.6
"286","2008-02-21",7.71
"287","2008-02-22",7.51
"288","2008-02-25",7.59
"289","2008-02-26",7.6
"290","2008-02-27",7.61
"291","2008-02-28",7.58
"292","2008-02-29",7.32
"293","2008-03-03",7.62
"294","2008-03-04",7.6
"295","2008-03-05",7.69
"296","2008-03-06",7.39
"297","2008-03-07",7.52
"298","2008-03-10",7.44
"299","2008-03-11",8
"300","2008-03-12",7.97
"301","2008-03-13",8.08
"302","2008-03-14",7.81
"303","2008-03-17",8.05
"304","2008-03-18",8.54
"305","2008-03-19",8.38
"306","2008-03-20",8.62
"307","2008-03-24",8.49
"308","2008-03-25",8.57
"309","2008-03-26",8.72
"310","2008-03-27",8.56
"311","2008-03-28",8.49
"312","2008-03-31",8.08
"313","2008-04-01",8.01
"314","2008-04-02",8.14
"315","2008-04-03",8.12
"316","2008-04-04",8.04
"317","2008-04-07",7.99
"318","2008-04-08",7.73
"319","2008-04-09",7.52
"320","2008-04-10",7.69
"321","2008-04-11",7.36
"322","2008-04-14",7.72
"323","2008-04-15",7.76
"324","2008-04-16",7.96
"325","2008-04-17",7.87
"326","2008-04-18",7.9
"327","2008-04-21",7.61
"328","2008-04-22",7.14
"329","2008-04-23",7.21
"330","2008-04-24",7.54
"331","2008-04-25",7.76
"332","2008-04-28",7.66
"333","2008-04-29",7.47
"334","2008-04-30",7.36
"335","2008-05-01",7.89
"336","2008-05-02",7.8
"337","2008-05-05",7.45
"338","2008-05-06",7.36
