"","date","EDTK"
"1","2020-07-23",4.75
"2","2020-07-24",4.46
"3","2020-07-27",3.81
"4","2020-07-28",4.45
"5","2020-07-29",4.29
"6","2020-07-30",4.3
"7","2020-07-31",4.01
"8","2020-08-03",3.67
"9","2020-08-04",3.81
"10","2020-08-05",4.19
"11","2020-08-06",4.09
"12","2020-08-07",4.2
"13","2020-08-10",4.28
"14","2020-08-11",4.26
"15","2020-08-12",4.54
"16","2020-08-13",4.47
"17","2020-08-14",4.465
"18","2020-08-17",4.5
"19","2020-08-18",4.47
"20","2020-08-19",4.83
"21","2020-08-20",4.6
"22","2020-08-21",4.54
"23","2020-08-24",3.99
"24","2020-08-25",3.92
"25","2020-08-26",4.01
"26","2020-08-27",4.075
"27","2020-08-28",4.28
"28","2020-08-31",4.02
"29","2020-09-01",3.84
"30","2020-09-02",3.95
"31","2020-09-03",3.85
"32","2020-09-04",3.66
"33","2020-09-08",3.99
"34","2020-09-09",3.975
"35","2020-09-10",3.94
"36","2020-09-11",3.72
"37","2020-09-14",3.61
"38","2020-09-15",3.22
"39","2020-09-16",3.3
"40","2020-09-17",3.22
"41","2020-09-18",3.14
"42","2020-09-21",3.06
"43","2020-09-22",3.12
"44","2020-09-23",2.93
"45","2020-09-24",3.02
"46","2020-09-25",3.01
"47","2020-09-28",3.101
"48","2020-09-29",3.07
"49","2020-09-30",3.16
"50","2020-10-01",3.05
"51","2020-10-02",3.07
"52","2020-10-05",3.02
"53","2020-10-06",3.05
"54","2020-10-07",2.93
"55","2020-10-08",2.85
"56","2020-10-09",2.76
"57","2020-10-12",3.5
"58","2020-10-13",3.03
"59","2020-10-14",3.09
"60","2020-10-15",3.12
"61","2020-10-16",3.11
"62","2020-10-19",3.16
"63","2020-10-20",3.63
"64","2020-10-21",3.29
"65","2020-10-22",3.3
"66","2020-10-23",3.31
"67","2020-10-26",3.137
"68","2020-10-27",3.1
"69","2020-10-28",2.98
"70","2020-10-29",3
"71","2020-10-30",2.9
"72","2020-11-02",2.86
"73","2020-11-03",2.93
"74","2020-11-04",2.93
"75","2020-11-05",2.94
"76","2020-11-06",2.9
"77","2020-11-09",2.84
"78","2020-11-10",2.81
"79","2020-11-11",2.78
"80","2020-11-12",3.103
"81","2020-11-13",3.1
"82","2020-11-16",3.06
"83","2020-11-17",2.98
"84","2020-11-18",3.06
"85","2020-11-19",3.02
"86","2020-11-20",2.97
"87","2020-11-23",3.04
"88","2020-11-24",3.11
"89","2020-11-25",3.36
"90","2020-11-27",3.16
