"","date","FNV"
"1","2007-12-07",15.05
"2","2007-12-10",14.97
"3","2007-12-11",14.96
"4","2007-12-12",14.88
"5","2007-12-13",14.84
"6","2007-12-14",14.64
"7","2007-12-17",14.59
"8","2007-12-18",13.63
"9","2007-12-19",14.37
"10","2007-12-20",14.17
"11","2007-12-21",14.99
"12","2007-12-24",15.39
"13","2007-12-26",15.39
"14","2007-12-27",15.45
"15","2007-12-28",15.49
"16","2007-12-31",15.26
"17","2008-01-02",15.41
"18","2008-01-03",16.459999
"19","2008-01-04",16.43
"20","2008-01-07",16.49
"21","2008-01-08",17.690001
"22","2008-01-09",18.129999
"23","2008-01-10",18.48
"24","2008-01-11",19.299999
"25","2008-01-14",20.059999
"26","2008-01-15",18.809999
"27","2008-01-16",18.469999
"28","2008-01-17",17.530001
"29","2008-01-18",17.65
"30","2008-01-22",17.469999
"31","2008-01-23",17.18
"32","2008-01-24",18.440001
"33","2008-01-25",19.16
"34","2008-01-28",19.450001
"35","2008-01-29",19.42
"36","2008-01-30",19.42
"37","2008-01-31",19.389999
"38","2008-02-01",19.040001
"39","2008-02-04",19.620001
"40","2008-02-05",18.959999
"41","2008-02-06",19.59
"42","2008-02-07",19.74
"43","2008-02-08",20.26
"44","2008-02-11",20.6
"45","2008-02-12",20.68
"46","2008-02-13",20.67
"47","2008-02-14",21.08
"48","2008-02-15",20.82
"49","2008-02-19",22.02
"50","2008-02-20",22.129999
"51","2008-02-21",22.48
"52","2008-02-22",21.540001
"53","2008-02-25",21.66
"54","2008-02-26",22.33
"55","2008-02-27",22.889999
"56","2008-02-28",23.02
"57","2008-02-29",23.01
"58","2008-03-03",23.030001
"59","2008-03-04",21.84
"60","2008-03-05",22.68
"61","2008-03-06",22.530001
"62","2008-03-07",22
"63","2008-03-10",20.59
"64","2008-03-11",20.41
"65","2008-03-12",20.75
"66","2008-03-13",21.73
"67","2008-03-14",22.07
"68","2008-03-17",21.15
"69","2008-03-18",20.549999
"70","2008-03-19",19.440001
"71","2008-03-20",18.540001
"72","2008-03-24",19.33
"73","2008-03-25",19.92
"74","2008-03-26",20.33
"75","2008-03-27",19.48
"76","2008-03-28",19.299999
"77","2008-03-31",18.860001
"78","2008-04-01",18.77
"79","2008-04-02",19.129999
"80","2008-04-03",19.129999
"81","2008-04-04",19.889999
"82","2008-04-07",19.889999
"83","2008-04-08",19.959999
"84","2008-04-09",19.99
"85","2008-04-10",20.18
"86","2008-04-11",19.959999
"87","2008-04-14",19.219999
"88","2008-04-15",19.629999
"89","2008-04-16",20.690001
"90","2008-04-17",19.879999
"91","2008-04-18",19.92
"92","2008-04-21",19.719999
"93","2008-04-22",19.719999
"94","2008-04-23",18.57
"95","2008-04-24",17.120001
"96","2008-04-25",18.33
"97","2008-04-28",17.700001
"98","2008-04-29",17.1
"99","2008-04-30",17.799999
"100","2008-05-01",17.530001
"101","2008-05-02",17.700001
"102","2008-05-05",17.700001
"103","2008-05-06",18.51
"104","2008-05-07",17.690001
"105","2008-05-08",18.32
"106","2008-05-09",18.6
"107","2008-05-12",18.27
"108","2008-05-13",18.219999
"109","2008-05-14",18.049999
"110","2008-05-15",18
"111","2008-05-16",19.219999
"112","2008-05-19",19.219999
"113","2008-05-20",21
"114","2008-05-21",21.75
"115","2008-05-22",21.24
"116","2008-05-23",21.51
"117","2008-05-27",20.66
"118","2008-05-28",20.549999
"119","2008-05-29",20.43
"120","2008-05-30",21.969999
"121","2008-06-02",21
"122","2008-06-03",20.82
"123","2008-06-04",20.49
"124","2008-06-05",20.549999
"125","2008-06-06",20.82
"126","2008-06-09",20.74
"127","2008-06-10",20.700001
"128","2008-06-11",20.700001
"129","2008-06-12",20.66
