"","date","CGC"
"1","2014-04-07",3.3
"2","2014-04-08",3.629
"3","2014-04-09",3.299
"4","2014-04-10",3.285
"5","2014-04-11",3.085
"6","2014-04-14",2.668
"7","2014-04-15",2.344
"8","2014-04-16",2.88
"9","2014-04-17",3.09
"10","2014-04-21",3.355
"11","2014-04-22",3.108
"12","2014-04-23",3.097
"13","2014-04-24",3.07
"14","2014-04-25",3.039
"15","2014-04-28",3.026
"16","2014-04-29",3.03
"17","2014-04-30",2.94
"18","2014-05-01",2.788
"19","2014-05-02",2.858
"20","2014-05-05",2.96
"21","2014-05-06",2.99
"22","2014-05-07",2.907
"23","2014-05-08",2.893
"24","2014-05-09",2.736
"25","2014-05-12",2.663
"26","2014-05-13",2.436
"27","2014-05-14",2.695
"28","2014-05-15",2.585
"29","2014-05-16",2.496
"30","2014-05-19",2.496
"31","2014-05-20",2.484
"32","2014-05-21",2.425
"33","2014-05-22",2.407
"34","2014-05-23",2.586
"35","2014-05-27",2.934
"36","2014-05-28",2.829
"37","2014-05-29",2.736
"38","2014-05-30",2.724
"39","2014-06-02",2.686
"40","2014-06-03",2.6
"41","2014-06-04",2.58
"42","2014-06-05",2.533
"43","2014-06-06",2.495
"44","2014-06-09",2.54
"45","2014-06-10",2.648
"46","2014-06-11",2.699
"47","2014-06-12",2.615
"48","2014-06-13",2.65
"49","2014-06-16",2.653
"50","2014-06-17",2.666
"51","2014-06-18",2.642
"52","2014-06-19",2.842
"53","2014-06-20",2.787
"54","2014-06-23",2.744
"55","2014-06-24",2.724
"56","2014-06-25",2.734
"57","2014-06-26",2.743
"58","2014-06-27",2.755
"59","2014-06-30",2.736
"60","2014-07-01",2.736
"61","2014-07-02",2.744
"62","2014-07-03",2.746
"63","2014-07-07",2.747
"64","2014-07-08",2.718
"65","2014-07-09",2.715
"66","2014-07-10",2.608
"67","2014-07-11",2.667
"68","2014-07-14",2.592
"69","2014-07-15",2.628
"70","2014-07-16",2.59
"71","2014-07-17",2.581
"72","2014-07-18",2.62
"73","2014-07-21",2.566
"74","2014-07-22",2.583
"75","2014-07-23",2.52
"76","2014-07-24",2.51
"77","2014-07-25",2.45
"78","2014-07-28",2.4
"79","2014-07-29",2.346
"80","2014-07-30",2.071
"81","2014-07-31",2.236
"82","2014-08-01",2.295
"83","2014-08-04",2.295
"84","2014-08-05",2.442
"85","2014-08-06",2.397
"86","2014-08-07",2.45
"87","2014-08-08",2.295
"88","2014-08-11",2.46
"89","2014-08-12",2.46
"90","2014-08-13",2.433
"91","2014-08-14",2.423
"92","2014-08-15",2.393
"93","2014-08-18",2.421
"94","2014-08-19",2.4
"95","2014-08-20",2.364
"96","2014-08-21",2.335
"97","2014-08-22",2.282
"98","2014-08-25",2.252
"99","2014-08-26",2.298
"100","2014-08-27",2.323
"101","2014-08-28",2.269
"102","2014-08-29",2.283
"103","2014-09-02",2.203
"104","2014-09-03",2.216
"105","2014-09-04",2.268
