"","date","NNOX"
"1","2020-08-21",21.700001
"2","2020-08-24",26.700001
"3","2020-08-25",28.9
"4","2020-08-26",27.58
"5","2020-08-27",24.77
"6","2020-08-28",25.98
"7","2020-08-31",27.559999
"8","2020-09-01",35.75
"9","2020-09-02",39.799999
"10","2020-09-03",38.5
"11","2020-09-04",36.400002
"12","2020-09-08",40.849998
"13","2020-09-09",44.02
"14","2020-09-10",48.310001
"15","2020-09-11",64.190002
"16","2020-09-14",49.209999
"17","2020-09-15",38
"18","2020-09-16",36.799999
"19","2020-09-17",28.1
"20","2020-09-18",34.880001
"21","2020-09-21",28.83
"22","2020-09-22",30.110001
"23","2020-09-23",29.309999
"24","2020-09-24",27.190001
"25","2020-09-25",28.48
"26","2020-09-28",26.559999
"27","2020-09-29",24
"28","2020-09-30",23.52
"29","2020-10-01",23.969999
"30","2020-10-02",37.439999
"31","2020-10-05",39.5
"32","2020-10-06",35.049999
"33","2020-10-07",39.720001
"34","2020-10-08",36.740002
"35","2020-10-09",36.799999
"36","2020-10-12",35.189999
"37","2020-10-13",34.240002
"38","2020-10-14",37.490002
"39","2020-10-15",36.27
"40","2020-10-16",35.200001
"41","2020-10-19",33.200001
"42","2020-10-20",30.969999
"43","2020-10-21",30.93
"44","2020-10-22",31.57
"45","2020-10-23",30.74
"46","2020-10-26",28.92
"47","2020-10-27",29.17
"48","2020-10-28",26.66
"49","2020-10-29",29.16
"50","2020-10-30",27.6
"51","2020-11-02",27.379999
"52","2020-11-03",29.129999
"53","2020-11-04",28.959999
"54","2020-11-05",31.75
"55","2020-11-06",34.07
"56","2020-11-09",34.130001
"57","2020-11-10",36.110001
"58","2020-11-11",38.040001
"59","2020-11-12",37.290001
"60","2020-11-13",36.07
"61","2020-11-16",38.43
"62","2020-11-17",37.810001
"63","2020-11-18",36.82
"64","2020-11-19",38.110001
"65","2020-11-20",36.740002
"66","2020-11-23",43.299999
"67","2020-11-24",45
"68","2020-11-25",46.07
"69","2020-11-27",52.299999
