"","date","MTB"
"189","2007-10-02",105.910004
"190","2007-10-03",106.339996
"191","2007-10-04",107.129997
"192","2007-10-05",107.730003
"193","2007-10-08",106.419998
"194","2007-10-09",107.019997
"195","2007-10-10",105.309998
"196","2007-10-11",104.839996
"197","2007-10-12",101.339996
"198","2007-10-15",99.889999
"199","2007-10-16",97.940002
"200","2007-10-17",100
"201","2007-10-18",98.599998
"202","2007-10-19",97.389999
"203","2007-10-22",98.110001
"204","2007-10-23",97.959999
"205","2007-10-24",97.160004
"206","2007-10-25",97.580002
"207","2007-10-26",100.260002
"208","2007-10-29",99.5
"209","2007-10-30",98.650002
"210","2007-10-31",99.480003
"211","2007-11-01",93.440002
"212","2007-11-02",91.470001
"213","2007-11-05",90.769997
"214","2007-11-06",92.43
"215","2007-11-07",88.010002
"216","2007-11-08",91.029999
"217","2007-11-09",92.279999
"218","2007-11-12",93.129997
"219","2007-11-13",97.650002
"220","2007-11-14",94.580002
"221","2007-11-15",91
"222","2007-11-16",89.400002
"223","2007-11-19",88.279999
"224","2007-11-20",87.580002
"225","2007-11-21",87.370003
"226","2007-11-23",89.970001
"227","2007-11-26",84.980003
"228","2007-11-27",87.879997
"229","2007-11-28",91.07
"230","2007-11-29",89.449997
"231","2007-11-30",90.959999
"232","2007-12-03",90.730003
"233","2007-12-04",88.910004
"234","2007-12-05",90.059998
"235","2007-12-06",90.779999
"236","2007-12-07",88.870003
"237","2007-12-10",92.129997
"238","2007-12-11",86.25
"239","2007-12-12",85.779999
"240","2007-12-13",85.32
"241","2007-12-14",83.309998
"242","2007-12-17",80.910004
"243","2007-12-18",80.949997
"244","2007-12-19",79.830002
"245","2007-12-20",79.309998
"246","2007-12-21",82.120003
"247","2007-12-24",82.5
"248","2007-12-26",82.260002
"249","2007-12-27",81.07
"250","2007-12-28",81.43
"251","2007-12-31",81.57
"252","2008-01-02",79.980003
"253","2008-01-03",78.800003
"254","2008-01-04",75.849998
"255","2008-01-07",76.5
"256","2008-01-08",72.68
"257","2008-01-09",73.830002
"258","2008-01-10",75.029999
"259","2008-01-11",73.75
"260","2008-01-14",72.419998
"261","2008-01-15",71.589996
"262","2008-01-16",74.059998
"263","2008-01-17",72.07
"264","2008-01-18",73.690002
"265","2008-01-22",76.269997
"266","2008-01-23",84.650002
"267","2008-01-24",84.690002
"268","2008-01-25",83.849998
"269","2008-01-28",87.050003
"270","2008-01-29",87.93
"271","2008-01-30",87.650002
"272","2008-01-31",91.279999
"273","2008-02-01",94.029999
"274","2008-02-04",90.059998
"275","2008-02-05",88.540001
"276","2008-02-06",88.440002
"277","2008-02-07",89.620003
"278","2008-02-08",88.889999
"279","2008-02-11",87.349998
"280","2008-02-12",88.029999
"281","2008-02-13",88.209999
"282","2008-02-14",86.419998
"283","2008-02-15",88.400002
"284","2008-02-19",85.800003
"285","2008-02-20",87.470001
"286","2008-02-21",84.919998
"287","2008-02-22",86.889999
"288","2008-02-25",87.360001
"289","2008-02-26",87.529999
"290","2008-02-27",87.129997
"291","2008-02-28",84.239998
"292","2008-02-29",82.080002
"293","2008-03-03",80.160004
"294","2008-03-04",79.400002
"295","2008-03-05",78.610001
"296","2008-03-06",75.919998
"297","2008-03-07",77.290001
"298","2008-03-10",76.900002
"299","2008-03-11",83.919998
"300","2008-03-12",81.220001
"301","2008-03-13",82.279999
"302","2008-03-14",79.959999
"303","2008-03-17",80.129997
"304","2008-03-18",82.400002
"305","2008-03-19",80.449997
"306","2008-03-20",86.449997
"307","2008-03-24",86.150002
"308","2008-03-25",86.550003
"309","2008-03-26",84.18
"310","2008-03-27",83.230003
"311","2008-03-28",81.800003
"312","2008-03-31",80.480003
"313","2008-04-01",85.190002
"314","2008-04-02",85.150002
"315","2008-04-03",85.18
"316","2008-04-04",83.010002
"317","2008-04-07",85.879997
