"","date","OFC"
"1","2007-01-03",49.599998
"2","2007-01-04",49.400002
"3","2007-01-05",48.360001
"4","2007-01-08",48.080002
"5","2007-01-09",48.560001
"6","2007-01-10",48.389999
"7","2007-01-11",49.369999
"8","2007-01-12",49.669998
"9","2007-01-16",50.049999
"10","2007-01-17",51.16
"11","2007-01-18",51.200001
"12","2007-01-19",51.880001
"13","2007-01-22",51.880001
"14","2007-01-23",51.619999
"15","2007-01-24",51.73
"16","2007-01-25",52.07
"17","2007-01-26",53.07
"18","2007-01-29",53.119999
"19","2007-01-30",53.16
"20","2007-01-31",53.279999
"21","2007-02-01",54.689999
"22","2007-02-02",54.540001
"23","2007-02-05",54.599998
"24","2007-02-06",54.98
"25","2007-02-07",56
"26","2007-02-08",55.849998
"27","2007-02-09",54.919998
"28","2007-02-12",54.57
"29","2007-02-13",55.419998
"30","2007-02-14",54.779999
"31","2007-02-15",55.110001
"32","2007-02-16",54.779999
"33","2007-02-20",54.970001
"34","2007-02-21",54.049999
"35","2007-02-22",54
"36","2007-02-23",53.060001
"37","2007-02-26",52.25
"38","2007-02-27",50.860001
"39","2007-02-28",51.02
"40","2007-03-01",50.57
"41","2007-03-02",49.400002
"42","2007-03-05",47.310001
"43","2007-03-06",48.290001
"44","2007-03-07",47.759998
"45","2007-03-08",48.869999
"46","2007-03-09",49.68
"47","2007-03-12",49.599998
"48","2007-03-13",48.049999
"49","2007-03-14",48.799999
"50","2007-03-15",48.889999
"51","2007-03-16",48.419998
"52","2007-03-19",49
"53","2007-03-20",48.59
"54","2007-03-21",48.66
"55","2007-03-22",48.290001
"56","2007-03-23",47.849998
"57","2007-03-26",46.540001
"58","2007-03-27",46.029999
"59","2007-03-28",45.41
"60","2007-03-29",45.369999
"61","2007-03-30",45.68
"62","2007-04-02",46.119999
"63","2007-04-03",46.330002
"64","2007-04-04",47.029999
"65","2007-04-05",46.98
"66","2007-04-09",47.220001
"67","2007-04-10",47.02
"68","2007-04-11",46.220001
"69","2007-04-12",45.869999
"70","2007-04-13",46.130001
"71","2007-04-16",46.759998
"72","2007-04-17",47.919998
"73","2007-04-18",47.709999
"74","2007-04-19",47.299999
"75","2007-04-20",47.790001
