"","date","SPG"
"1","2007-01-03",94.392151
"2","2007-01-04",94.364304
"3","2007-01-05",92.183167
"4","2007-01-08",92.57299
"5","2007-01-09",94.494247
"6","2007-01-10",96.164902
"7","2007-01-11",98.067596
"8","2007-01-12",97.779869
"9","2007-01-16",100.675674
"10","2007-01-17",100.981964
"11","2007-01-18",100.963402
"12","2007-01-19",101.659508
"13","2007-01-22",100.517891
"14","2007-01-23",101.149033
"15","2007-01-24",103.293037
"16","2007-01-25",103.571487
"17","2007-01-26",104.119087
"18","2007-01-29",104.007713
"19","2007-01-30",105.334953
"20","2007-01-31",106.170288
"21","2007-02-01",106.068192
"22","2007-02-02",106.699326
"23","2007-02-05",107.915192
"24","2007-02-06",110.346931
"25","2007-02-07",114.885551
"26","2007-02-08",112.472374
"27","2007-02-09",109.725075
"28","2007-02-12",106.652916
"29","2007-02-13",109.520882
"30","2007-02-14",109.270279
"31","2007-02-15",109.892136
"32","2007-02-16",109.743637
"33","2007-02-20",110.72747
"34","2007-02-21",111.210098
"35","2007-02-22",110.653214
"36","2007-02-23",108.991837
"37","2007-02-26",107.311897
"38","2007-02-27",103.460106
"39","2007-02-28",104.638847
"40","2007-03-01",103.831367
"41","2007-03-02",100.935555
"42","2007-03-05",96.6661
"43","2007-03-06",101.232567
"44","2007-03-07",99.617592
"45","2007-03-08",101.789452
"46","2007-03-09",102.958908
"47","2007-03-12",105.334953
"48","2007-03-13",101.947235
"49","2007-03-14",101.770889
"50","2007-03-15",103.005318
"51","2007-03-16",101.622383
"52","2007-03-19",103.358009
"53","2007-03-20",103.627174
"54","2007-03-21",105.631958
"55","2007-03-22",105.66909
"56","2007-03-23",106.318787
"57","2007-03-26",103.822083
"58","2007-03-27",102.049332
"59","2007-03-28",101.037651
"60","2007-03-29",101.353226
"61","2007-03-30",103.255913
"62","2007-04-02",104.508911
"63","2007-04-03",106.467293
"64","2007-04-04",105.028671
"65","2007-04-05",105.474174
"66","2007-04-09",105.836151
"67","2007-04-10",106.281662
"68","2007-04-11",103.896332
"69","2007-04-12",103.218788
"70","2007-04-13",104.972977
"71","2007-04-16",104.258308
"72","2007-04-17",106.309509
"73","2007-04-18",105.678368
"74","2007-04-19",105.14933
"75","2007-04-20",106.198128
"76","2007-04-23",108.462799
"77","2007-04-24",107.423279
"78","2007-04-25",107.386154
"79","2007-04-26",107.51609
"80","2007-04-27",108.685555
"81","2007-04-30",106.99633
"82","2007-05-01",105.242142
"83","2007-05-02",106.959206
"84","2007-05-03",106.866394
"85","2007-05-04",105.205017
"86","2007-05-07",105.734055
"87","2007-05-08",103.859207
"88","2007-05-09",105.650528
"89","2007-05-10",103.255913
"90","2007-05-11",104.406815
"91","2007-05-14",103.274475
"92","2007-05-15",100.722084
"93","2007-05-16",99.00502
"94","2007-05-17",96.749634
"95","2007-05-18",95.886459
"96","2007-05-21",96.693947
"97","2007-05-22",98.411011
"98","2007-05-23",96.341248
"99","2007-05-24",93.890953
"100","2007-05-25",94.559212
"101","2007-05-29",97.826279
"102","2007-05-30",100.935555
"103","2007-05-31",100.220886
"104","2007-06-01",100.258011
"105","2007-06-04",100.87059
"106","2007-06-05",98.327477
"107","2007-06-06",97.222984
"108","2007-06-07",93.343346
"109","2007-06-08",94.4664
"110","2007-06-11",92.266701
"111","2007-06-12",89.853531
"112","2007-06-13",92.684364
"113","2007-06-14",91.115807
"114","2007-06-15",92.016106
"115","2007-06-18",89.779282
"116","2007-06-19",90.716705
"117","2007-06-20",88.897545
"118","2007-06-21",88.962509
"119","2007-06-22",88.127182
"120","2007-06-25",86.131676
"121","2007-06-26",86.048141
"122","2007-06-27",89.296646
"123","2007-06-28",87.625984
"124","2007-06-29",86.354431
"125","2007-07-02",89.584366
"126","2007-07-03",88.377785
"127","2007-07-05",89.742149
"128","2007-07-06",89.046043
"129","2007-07-09",88.758324
"130","2007-07-10",85.212814
"131","2007-07-11",84.683769
"132","2007-07-12",86.224487
"133","2007-07-13",87.496048
"134","2007-07-16",87.598145
"135","2007-07-17",86.883469
"136","2007-07-18",86.586464
"137","2007-07-19",87.264008
"138","2007-07-20",85.073593
"139","2007-07-23",84.266106
"140","2007-07-24",82.985268
"141","2007-07-25",82.743958
"142","2007-07-26",81.333176
"143","2007-07-27",78.799347
"144","2007-07-30",80.145157
"145","2007-07-31",80.312218
"146","2007-08-01",80.479286
"147","2007-08-02",81.064018
"148","2007-08-03",78.920006
"149","2007-08-06",81.89006
"150","2007-08-07",82.586166
"151","2007-08-08",88.210716
"152","2007-08-09",89.129578
"153","2007-08-10",84.451736
"154","2007-08-13",84.785866
"155","2007-08-14",82.576889
"156","2007-08-15",79.532578
