"","date","MNK"
"1","2013-06-17",45
"2","2013-06-18",44
"3","2013-06-19",43.099998
"4","2013-06-20",42.939999
"5","2013-06-21",43.5
"6","2013-06-24",43.5
"7","2013-06-25",44
"8","2013-06-26",44.099998
"9","2013-06-27",44.950001
"10","2013-06-28",45.43
"11","2013-07-01",44
"12","2013-07-02",42.259998
"13","2013-07-03",43.099998
"14","2013-07-05",44.23
"15","2013-07-08",43.009998
"16","2013-07-09",43.27
"17","2013-07-10",42.119999
"18","2013-07-11",42.400002
"19","2013-07-12",41.959999
"20","2013-07-15",41.869999
"21","2013-07-16",41.509998
"22","2013-07-17",41.93
"23","2013-07-18",43.09
"24","2013-07-19",43.48
"25","2013-07-22",43.509998
"26","2013-07-23",44
"27","2013-07-24",43.98
"28","2013-07-25",44.380001
"29","2013-07-26",45.049999
"30","2013-07-29",46.200001
"31","2013-07-30",47.16
"32","2013-07-31",45.889999
"33","2013-08-01",46.220001
"34","2013-08-02",45.830002
"35","2013-08-05",45.139999
"36","2013-08-06",44.360001
"37","2013-08-07",44.779999
"38","2013-08-08",45.919998
"39","2013-08-09",45.360001
"40","2013-08-12",45.32
"41","2013-08-13",44.66
"42","2013-08-14",44.110001
"43","2013-08-15",42.889999
"44","2013-08-16",42.689999
"45","2013-08-19",42.82
"46","2013-08-20",43
"47","2013-08-21",42.5
"48","2013-08-22",42.5
"49","2013-08-23",42.330002
"50","2013-08-26",42.66
"51","2013-08-27",42.639999
"52","2013-08-28",43.98
"53","2013-08-29",44.07
"54","2013-08-30",43.650002
"55","2013-09-03",44.619999
"56","2013-09-04",45.02
"57","2013-09-05",46.099998
"58","2013-09-06",46.84
"59","2013-09-09",46.580002
"60","2013-09-10",45.400002
"61","2013-09-11",44.900002
"62","2013-09-12",44.459999
"63","2013-09-13",43.599998
"64","2013-09-16",43.259998
"65","2013-09-17",43.34
"66","2013-09-18",43.099998
"67","2013-09-19",42.68
"68","2013-09-20",43.049999
"69","2013-09-23",42.580002
"70","2013-09-24",42.310001
"71","2013-09-25",43.599998
"72","2013-09-26",44.169998
"73","2013-09-27",43.57
"74","2013-09-30",44.09
"75","2013-10-01",43.889999
"76","2013-10-02",44.919998
"77","2013-10-03",44.290001
"78","2013-10-04",44.5
"79","2013-10-07",43.970001
"80","2013-10-08",43.439999
"81","2013-10-09",43.52
"82","2013-10-10",43.52
"83","2013-10-11",43.73
"84","2013-10-14",44.279999
"85","2013-10-15",44.950001
"86","2013-10-16",44.310001
"87","2013-10-17",43.07
"88","2013-10-18",42.450001
"89","2013-10-21",42.360001
"90","2013-10-22",42.599998
"91","2013-10-23",43.459999
"92","2013-10-24",43.880001
"93","2013-10-25",43.259998
"94","2013-10-28",43.369999
"95","2013-10-29",43.060001
"96","2013-10-30",42.27
"97","2013-10-31",42.009998
"98","2013-11-01",42.880001
"99","2013-11-04",43.740002
"100","2013-11-05",44.950001
"101","2013-11-06",45.150002
"102","2013-11-07",44.75
"103","2013-11-08",45.860001
"104","2013-11-11",45.810001
"105","2013-11-12",45.130001
"106","2013-11-13",46.220001
"107","2013-11-14",47.18
"108","2013-11-15",47.560001
"109","2013-11-18",48.459999
"110","2013-11-19",50.139999
"111","2013-11-20",50.080002
"112","2013-11-21",50.41
"113","2013-11-22",51.240002
"114","2013-11-25",50.599998
"115","2013-11-26",51.529999
"116","2013-11-27",51.799999
"117","2013-11-29",51.959999
"118","2013-12-02",52.310001
