"","date","PRGO"
"1","2007-01-03",17.610001
"2","2007-01-04",17.709999
"3","2007-01-05",17.43
"4","2007-01-08",17.09
"5","2007-01-09",16.940001
"6","2007-01-10",16.719999
"7","2007-01-11",16.700001
"8","2007-01-12",16.700001
"9","2007-01-16",16.700001
"10","2007-01-17",17.18
"11","2007-01-18",17.33
"12","2007-01-19",17.6
"13","2007-01-22",17.309999
"14","2007-01-23",17.360001
"15","2007-01-24",17.459999
"16","2007-01-25",17.26
"17","2007-01-26",17.34
"18","2007-01-29",17.370001
"19","2007-01-30",17.32
"20","2007-01-31",17.280001
"21","2007-02-01",17.370001
"22","2007-02-02",17.65
"23","2007-02-05",16.719999
"24","2007-02-06",16.559999
"25","2007-02-07",16.700001
"26","2007-02-08",16.77
"27","2007-02-09",17.110001
"28","2007-02-12",16.950001
"29","2007-02-13",16.93
"30","2007-02-14",17.01
"31","2007-02-15",17.01
"32","2007-02-16",17.02
"33","2007-02-20",17.4
"34","2007-02-21",17.23
"35","2007-02-22",17.379999
"36","2007-02-23",17.290001
"37","2007-02-26",17.379999
"38","2007-02-27",16.950001
"39","2007-02-28",16.700001
"40","2007-03-01",16.719999
"41","2007-03-02",16.43
"42","2007-03-05",16.25
"43","2007-03-06",16.469999
"44","2007-03-07",16.24
"45","2007-03-08",16.42
"46","2007-03-09",16.549999
"47","2007-03-12",16.68
"48","2007-03-13",16.35
"49","2007-03-14",16.370001
"50","2007-03-15",16.4
"51","2007-03-16",16.27
"52","2007-03-19",16.51
"53","2007-03-20",16.58
"54","2007-03-21",16.950001
"55","2007-03-22",16.950001
"56","2007-03-23",17.889999
"57","2007-03-26",17.27
"58","2007-03-27",17.540001
"59","2007-03-28",17.450001
"60","2007-03-29",17.379999
"61","2007-03-30",17.66
"62","2007-04-02",17.82
"63","2007-04-03",18.18
"64","2007-04-04",18
"65","2007-04-05",18.219999
"66","2007-04-09",18.15
"67","2007-04-10",18.02
"68","2007-04-11",18.1
"69","2007-04-12",18.309999
"70","2007-04-13",18.57
"71","2007-04-16",18.799999
"72","2007-04-17",19.16
"73","2007-04-18",19.110001
"74","2007-04-19",18.959999
"75","2007-04-20",19.25
"76","2007-04-23",19.309999
"77","2007-04-24",19.17
