"","date","SCU"
"1","2007-11-14",306.5
"2","2007-11-15",280.5
"3","2007-11-16",280
"4","2007-11-19",257.299988
"5","2007-11-20",243.5
"6","2007-11-21",228.5
"7","2007-11-23",235.699997
"8","2007-11-26",245.5
"9","2007-11-27",251
"10","2007-11-28",254
"11","2007-11-29",249.899994
"12","2007-11-30",246.5
"13","2007-12-03",245
"14","2007-12-04",240.399994
"15","2007-12-05",241
"16","2007-12-06",252.5
"17","2007-12-07",261.100006
"18","2007-12-10",281
"19","2007-12-11",273.299988
"20","2007-12-12",267.100006
"21","2007-12-13",262
"22","2007-12-14",260
"23","2007-12-17",259
"24","2007-12-18",267
"25","2007-12-19",264.100006
"26","2007-12-20",271.799988
"27","2007-12-21",278.100006
"28","2007-12-24",278
"29","2007-12-26",273.700012
"30","2007-12-27",268.700012
"31","2007-12-28",267.200012
"32","2007-12-31",262.799988
"33","2008-01-02",261
"34","2008-01-03",257.5
"35","2008-01-04",247.5
"36","2008-01-07",244
"37","2008-01-08",232.5
"38","2008-01-09",228.5
"39","2008-01-10",235.399994
"40","2008-01-11",242.199997
"41","2008-01-14",249
"42","2008-01-15",240
"43","2008-01-16",237
"44","2008-01-17",228.5
"45","2008-01-18",234.5
"46","2008-01-22",238.699997
"47","2008-01-23",241.5
"48","2008-01-24",240
"49","2008-01-25",232.600006
"50","2008-01-28",228.100006
"51","2008-01-29",229
"52","2008-01-30",220.800003
"53","2008-01-31",220.300003
"54","2008-02-01",226.899994
"55","2008-02-04",231.899994
"56","2008-02-05",225.199997
"57","2008-02-06",218.5
"58","2008-02-07",214.699997
"59","2008-02-08",205.800003
"60","2008-02-11",214.300003
"61","2008-02-12",222.100006
"62","2008-02-13",222.800003
"63","2008-02-14",218.699997
"64","2008-02-15",216.699997
"65","2008-02-19",215.699997
"66","2008-02-20",216.300003
"67","2008-02-21",215
"68","2008-02-22",209.300003
"69","2008-02-25",211.5
"70","2008-02-26",227
"71","2008-02-27",237.199997
"72","2008-02-28",238.5
"73","2008-02-29",231.399994
"74","2008-03-03",221.800003
"75","2008-03-04",209.899994
"76","2008-03-05",213.100006
"77","2008-03-06",204.600006
"78","2008-03-07",202.800003
"79","2008-03-10",197.699997
"80","2008-03-11",209.100006
"81","2008-03-12",210.600006
"82","2008-03-13",222.300003
"83","2008-03-14",216.399994
"84","2008-03-17",194.800003
"85","2008-03-18",206.800003
"86","2008-03-19",215
"87","2008-03-20",227.5
"88","2008-03-24",234
"89","2008-03-25",232
"90","2008-03-26",230.300003
"91","2008-03-27",220.300003
"92","2008-03-28",209.5
"93","2008-03-31",210
"94","2008-04-01",214
"95","2008-04-02",204.399994
"96","2008-04-03",200.800003
"97","2008-04-04",200.100006
"98","2008-04-07",200
"99","2008-04-08",192.800003
"100","2008-04-09",188.100006
"101","2008-04-10",188.300003
"102","2008-04-11",187.5
"103","2008-04-14",182.600006
"104","2008-04-15",184.199997
"105","2008-04-16",192.100006
"106","2008-04-17",196.699997
"107","2008-04-18",197.800003
"108","2008-04-21",195.199997
"109","2008-04-22",187.699997
"110","2008-04-23",185.399994
"111","2008-04-24",185.5
