"","date","SGU"
"1","2007-01-03",3.31
"2","2007-01-04",3.35
"3","2007-01-05",3.49
"4","2007-01-08",3.43
"5","2007-01-09",3.3
"6","2007-01-10",3.43
"7","2007-01-11",3.57
"8","2007-01-12",3.72
"9","2007-01-16",3.68
"10","2007-01-17",3.53
"11","2007-01-18",3.6
"12","2007-01-19",3.6
"13","2007-01-22",3.52
"14","2007-01-23",3.67
"15","2007-01-24",3.74
"16","2007-01-25",3.73
"17","2007-01-26",3.69
"18","2007-01-29",3.6
"19","2007-01-30",3.61
"20","2007-01-31",3.58
"21","2007-02-01",3.71
"22","2007-02-02",3.57
"23","2007-02-05",3.7
"24","2007-02-06",3.7
"25","2007-02-07",3.62
"26","2007-02-08",3.99
"27","2007-02-09",3.73
"28","2007-02-12",3.78
"29","2007-02-13",3.84
"30","2007-02-14",3.92
"31","2007-02-15",3.85
"32","2007-02-16",3.84
"33","2007-02-20",3.93
"34","2007-02-21",3.8
"35","2007-02-22",3.85
"36","2007-02-23",3.75
"37","2007-02-26",3.82
"38","2007-02-27",3.73
"39","2007-02-28",3.82
"40","2007-03-01",3.83
"41","2007-03-02",3.86
"42","2007-03-05",3.76
"43","2007-03-06",3.78
"44","2007-03-07",3.91
"45","2007-03-08",3.91
"46","2007-03-09",3.98
"47","2007-03-12",3.87
"48","2007-03-13",3.8
"49","2007-03-14",3.84
"50","2007-03-15",3.83
"51","2007-03-16",3.79
"52","2007-03-19",3.87
"53","2007-03-20",3.9
"54","2007-03-21",3.94
"55","2007-03-22",3.85
"56","2007-03-23",3.9
"57","2007-03-26",3.93
"58","2007-03-27",3.9
"59","2007-03-28",3.91
"60","2007-03-29",3.89
"61","2007-03-30",3.91
"62","2007-04-02",4.13
"63","2007-04-03",4.02
"64","2007-04-04",4.15
"65","2007-04-05",4.15
"66","2007-04-09",4.14
"67","2007-04-10",4.07
"68","2007-04-11",4.1
"69","2007-04-12",4.11
"70","2007-04-13",4.01
"71","2007-04-16",4.02
"72","2007-04-17",4.04
"73","2007-04-18",4
"74","2007-04-19",4
"75","2007-04-20",4
"76","2007-04-23",4.13
"77","2007-04-24",4.05
"78","2007-04-25",4.07
"79","2007-04-26",4.05
"80","2007-04-27",4.02
"81","2007-04-30",4.06
"82","2007-05-01",4.09
"83","2007-05-02",4.09
"84","2007-05-03",4.1
