"","date","CMO"
"1","2007-01-03",8.23
"2","2007-01-04",8.15
"3","2007-01-05",8.1
"4","2007-01-08",8.06
"5","2007-01-09",7.99
"6","2007-01-10",7.96
"7","2007-01-11",8.09
"8","2007-01-12",8.1
"9","2007-01-16",8.15
"10","2007-01-17",8.1
"11","2007-01-18",8.01
"12","2007-01-19",8.05
"13","2007-01-22",8.05
"14","2007-01-23",8
"15","2007-01-24",7.96
"16","2007-01-25",7.95
"17","2007-01-26",7.95
"18","2007-01-29",8.05
"19","2007-01-30",8.07
"20","2007-01-31",7.99
"21","2007-02-01",7.98
"22","2007-02-02",8.01
"23","2007-02-05",7.95
"24","2007-02-06",7.97
"25","2007-02-07",7.97
"26","2007-02-08",7.8
"27","2007-02-09",8.14
"28","2007-02-12",8.22
"29","2007-02-13",8.41
"30","2007-02-14",8.56
"31","2007-02-15",8.6
"32","2007-02-16",8.84
"33","2007-02-20",8.81
"34","2007-02-21",8.65
"35","2007-02-22",8.51
"36","2007-02-23",8.5
"37","2007-02-26",8.62
"38","2007-02-27",8.61
"39","2007-02-28",8.75
"40","2007-03-01",8.63
"41","2007-03-02",8.45
"42","2007-03-05",8.45
"43","2007-03-06",8.65
"44","2007-03-07",8.6
"45","2007-03-08",8.67
"46","2007-03-09",8.44
"47","2007-03-12",8.48
"48","2007-03-13",8.54
"49","2007-03-14",8.48
"50","2007-03-15",8.48
"51","2007-03-16",8.7
"52","2007-03-19",8.75
"53","2007-03-20",8.81
"54","2007-03-21",9.17
"55","2007-03-22",9.22
"56","2007-03-23",9.14
"57","2007-03-26",9.44
"58","2007-03-27",9.43
"59","2007-03-28",9.59
"60","2007-03-29",9.85
"61","2007-03-30",9.99
"62","2007-04-02",9.96
"63","2007-04-03",10
"64","2007-04-04",10.03
"65","2007-04-05",10.17
"66","2007-04-09",9.95
"67","2007-04-10",9.83
"68","2007-04-11",9.79
"69","2007-04-12",9.62
"70","2007-04-13",9.85
"71","2007-04-16",10.06
"72","2007-04-17",10.1
"73","2007-04-18",9.96
"74","2007-04-19",9.94
"75","2007-04-20",10.02
"76","2007-04-23",10.2
"77","2007-04-24",10.24
"78","2007-04-25",10.17
"79","2007-04-26",10.03
"80","2007-04-27",10.09
"81","2007-04-30",10.05
"82","2007-05-01",9.75
"83","2007-05-02",9.74
"84","2007-05-03",9.81
"85","2007-05-04",10.25
"86","2007-05-07",10.58
"87","2007-05-08",10.42
"88","2007-05-09",10.47
"89","2007-05-10",10.55
"90","2007-05-11",10.55
"91","2007-05-14",10.52
"92","2007-05-15",10.5
"93","2007-05-16",10.61
"94","2007-05-17",10.43
"95","2007-05-18",10.47
"96","2007-05-21",10.41
"97","2007-05-22",10.45
"98","2007-05-23",10.39
"99","2007-05-24",10.22
"100","2007-05-25",10.13
"101","2007-05-29",10.29
"102","2007-05-30",10.12
"103","2007-05-31",10.13
"104","2007-06-01",10.31
"105","2007-06-04",10.46
"106","2007-06-05",10.08
"107","2007-06-06",9.96
"108","2007-06-07",9.38
"109","2007-06-08",9.63
"110","2007-06-11",9.47
"111","2007-06-12",9.05
"112","2007-06-13",9.44
"113","2007-06-14",9.54
"114","2007-06-15",9.64
"115","2007-06-18",9.63
"116","2007-06-19",9.75
"117","2007-06-20",9.74
"118","2007-06-21",9.85
"119","2007-06-22",9.89
"120","2007-06-25",9.71
"121","2007-06-26",9.83
"122","2007-06-27",9.98
"123","2007-06-28",9.73
"124","2007-06-29",9.69
"125","2007-07-02",9.79
"126","2007-07-03",10
"127","2007-07-05",9.94
"128","2007-07-06",9.8
"129","2007-07-09",9.77
"130","2007-07-10",9.61
"131","2007-07-11",9.64
"132","2007-07-12",9.51
"133","2007-07-13",9.56
"134","2007-07-16",9.55
"135","2007-07-17",9.42
"136","2007-07-18",9.37
"137","2007-07-19",9.35
"138","2007-07-20",9.18
"139","2007-07-23",9.09
"140","2007-07-24",9.2
"141","2007-07-25",9.2
"142","2007-07-26",9.51
"143","2007-07-27",9.92
"144","2007-07-30",9.76
"145","2007-07-31",9.64
"146","2007-08-01",9.9
"147","2007-08-02",10.02
"148","2007-08-03",9.55
"149","2007-08-06",9.36
"150","2007-08-07",9.14
"151","2007-08-08",9.48
"152","2007-08-09",9.4
"153","2007-08-10",9.67
"154","2007-08-13",9.36
"155","2007-08-14",8.77
"156","2007-08-15",8.36
"157","2007-08-16",8.69
"158","2007-08-17",9.49
"159","2007-08-20",9.6
"160","2007-08-21",9.7
"161","2007-08-22",9.97
"162","2007-08-23",9.79
"163","2007-08-24",9.78
"164","2007-08-27",9.64
"165","2007-08-28",9.67
"166","2007-08-29",9.93
