"","date","BKH"
"1","2007-01-03",37.810001
"2","2007-01-04",37.860001
"3","2007-01-05",37.110001
"4","2007-01-08",36.959999
"5","2007-01-09",37.25
"6","2007-01-10",37.330002
"7","2007-01-11",37.349998
"8","2007-01-12",37.240002
"9","2007-01-16",37.27
"10","2007-01-17",37.330002
"11","2007-01-18",36.93
"12","2007-01-19",37.400002
"13","2007-01-22",37
"14","2007-01-23",37.41
"15","2007-01-24",37.610001
"16","2007-01-25",37.110001
"17","2007-01-26",37.310001
"18","2007-01-29",37.200001
"19","2007-01-30",37.43
"20","2007-01-31",37.07
"21","2007-02-01",37.669998
"22","2007-02-02",37.990002
"23","2007-02-05",38.25
"24","2007-02-06",39.080002
"25","2007-02-07",39.080002
"26","2007-02-08",38.900002
"27","2007-02-09",38.84
"28","2007-02-12",39.439999
"29","2007-02-13",39.509998
"30","2007-02-14",39.099998
"31","2007-02-15",37.580002
"32","2007-02-16",37.709999
"33","2007-02-20",37.889999
"34","2007-02-21",37.119999
"35","2007-02-22",37.52
"36","2007-02-23",37.48
"37","2007-02-26",37.5
"38","2007-02-27",36
"39","2007-02-28",35.98
"40","2007-03-01",36.369999
"41","2007-03-02",36.040001
"42","2007-03-05",35.84
"43","2007-03-06",36.130001
"44","2007-03-07",36.009998
"45","2007-03-08",35.900002
"46","2007-03-09",36.130001
"47","2007-03-12",36.369999
"48","2007-03-13",35.759998
"49","2007-03-14",36.25
"50","2007-03-15",36.75
"51","2007-03-16",36.139999
"52","2007-03-19",36.5
"53","2007-03-20",36.849998
"54","2007-03-21",37.349998
"55","2007-03-22",37.41
"56","2007-03-23",37.32
"57","2007-03-26",37.400002
"58","2007-03-27",36.98
"59","2007-03-28",37
"60","2007-03-29",37.150002
"61","2007-03-30",36.77
"62","2007-04-02",37.759998
"63","2007-04-03",37.759998
"64","2007-04-04",37.98
"65","2007-04-05",38.23
"66","2007-04-09",38.41
"67","2007-04-10",38.68
"68","2007-04-11",38.669998
"69","2007-04-12",38.91
"70","2007-04-13",38.779999
"71","2007-04-16",39.040001
"72","2007-04-17",38.799999
"73","2007-04-18",38.57
"74","2007-04-19",38.360001
"75","2007-04-20",39.009998
"76","2007-04-23",39.23
"77","2007-04-24",39.220001
"78","2007-04-25",39.119999
"79","2007-04-26",39.040001
"80","2007-04-27",39.450001
