"","date","GRSV"
"1","2020-09-30",10.1
"2","2020-10-01",9.93
"3","2020-10-02",9.93
"4","2020-10-05",9.817
"5","2020-10-06",9.9
"6","2020-10-07",9.9
"7","2020-10-08",9.99
"8","2020-10-09",9.94
"9","2020-10-12",9.95
"10","2020-10-13",9.9
"11","2020-10-14",9.88
"12","2020-10-15",9.87
"13","2020-10-16",9.86
"14","2020-10-19",9.86
"15","2020-10-20",9.86
"16","2020-10-21",9.9
"17","2020-10-22",9.834
"18","2020-10-23",9.834
"19","2020-10-26",9.79
"20","2020-10-27",9.82
"21","2020-10-28",9.75
"22","2020-10-29",9.75
"23","2020-10-30",9.8
"24","2020-11-02",9.75
"25","2020-11-03",9.85
"26","2020-11-04",9.8
"27","2020-11-05",9.8
"28","2020-11-06",9.8
"29","2020-11-09",9.85
"30","2020-11-10",9.87
"31","2020-11-11",9.87
"32","2020-11-12",9.787
"33","2020-11-13",9.78
"34","2020-11-16",9.765
"35","2020-11-17",9.77
"36","2020-11-18",9.8
"37","2020-11-19",9.85
"38","2020-11-20",9.83
"39","2020-11-23",9.9
"40","2020-11-24",9.9
"41","2020-11-25",9.923
"42","2020-11-27",10.121
