"","date","STXB"
"1","2018-05-04",21.85
"2","2018-05-07",22.15
"3","2018-05-08",22.09
"4","2018-05-09",22.059999
"5","2018-05-10",21.299999
"6","2018-05-11",21.379999
"7","2018-05-14",21.5
"8","2018-05-15",21.24
"9","2018-05-16",21.209999
"10","2018-05-17",21.17
"11","2018-05-18",21.1
"12","2018-05-21",21.49
"13","2018-05-22",21
"14","2018-05-23",21.02
"15","2018-05-24",20.950001
"16","2018-05-25",21.08
"17","2018-05-29",21.450001
"18","2018-05-30",21.23
"19","2018-05-31",21
"20","2018-06-01",21.120001
"21","2018-06-04",21.07
"22","2018-06-05",21.059999
"23","2018-06-06",21.059999
"24","2018-06-07",21.1
"25","2018-06-08",20.799999
"26","2018-06-11",20.860001
"27","2018-06-12",20.700001
"28","2018-06-13",20.549999
"29","2018-06-14",20.49
"30","2018-06-15",20.450001
"31","2018-06-18",20.65
"32","2018-06-19",20.799999
"33","2018-06-20",21
"34","2018-06-21",20.82
"35","2018-06-22",20.85
"36","2018-06-25",20.629999
"37","2018-06-26",20.74
"38","2018-06-27",20.65
"39","2018-06-28",20.66
"40","2018-06-29",20.6
"41","2018-07-02",20.57
"42","2018-07-03",20.51
"43","2018-07-05",20.51
"44","2018-07-06",20.440001
"45","2018-07-09",20.469999
"46","2018-07-10",20.57
"47","2018-07-11",20.49
"48","2018-07-12",20.360001
"49","2018-07-13",20.25
"50","2018-07-16",20.450001
"51","2018-07-17",20.299999
"52","2018-07-18",20.360001
"53","2018-07-19",20.450001
"54","2018-07-20",21.58
"55","2018-07-23",21.620001
"56","2018-07-24",21.549999
"57","2018-07-25",21.59
"58","2018-07-26",21.6
"59","2018-07-27",21.639999
"60","2018-07-30",21.5
"61","2018-07-31",21.879999
"62","2018-08-01",21.65
"63","2018-08-02",21.65
"64","2018-08-03",21.790001
"65","2018-08-06",21.51
"66","2018-08-07",21.49
"67","2018-08-08",21.525
"68","2018-08-09",21.530001
"69","2018-08-10",21.48
"70","2018-08-13",21.549999
"71","2018-08-14",21.58
"72","2018-08-15",21.530001
"73","2018-08-16",21.75
"74","2018-08-17",22.5
"75","2018-08-20",22.08
"76","2018-08-21",22.110001
"77","2018-08-22",21.98
"78","2018-08-23",21.93
"79","2018-08-24",21.959999
"80","2018-08-27",21.77
"81","2018-08-28",21.84
"82","2018-08-29",21.57
"83","2018-08-30",21.82
"84","2018-08-31",21.57
"85","2018-09-04",21.84
"86","2018-09-05",21.809999
"87","2018-09-06",21.85
"88","2018-09-07",22.219999
"89","2018-09-10",22.190001
"90","2018-09-11",22.059999
"91","2018-09-12",22.17
"92","2018-09-13",21.629999
"93","2018-09-14",21.76
"94","2018-09-17",21.809999
"95","2018-09-18",21.6
"96","2018-09-19",21.700001
"97","2018-09-20",21.82
"98","2018-09-21",22
"99","2018-09-24",21.549999
"100","2018-09-25",21.76
"101","2018-09-26",21.67
"102","2018-09-27",21.559999
"103","2018-09-28",21.59
"104","2018-10-01",21.59
"105","2018-10-02",21.07
"106","2018-10-03",21.5
"107","2018-10-04",21.48
"108","2018-10-05",21.530001
"109","2018-10-08",21.49
"110","2018-10-09",21.5
