"","date","OOMA"
"1","2015-07-20",10.4
"2","2015-07-21",10.2
"3","2015-07-22",10.29
"4","2015-07-23",10.1
"5","2015-07-24",10.1
"6","2015-07-27",10.1
"7","2015-07-28",10.25
"8","2015-07-29",10.27
"9","2015-07-30",10.25
"10","2015-07-31",10.25
"11","2015-08-03",10.32
"12","2015-08-04",10.5
"13","2015-08-05",10.8
"14","2015-08-06",10.03
"15","2015-08-07",10.59
"16","2015-08-10",10.81
"17","2015-08-11",10.94
"18","2015-08-12",10.8
"19","2015-08-13",11.24
"20","2015-08-14",11.05
"21","2015-08-17",10.57
"22","2015-08-18",11.05
"23","2015-08-19",10.96
"24","2015-08-20",10.44
"25","2015-08-21",10.18
"26","2015-08-24",9.07
"27","2015-08-25",9.05
"28","2015-08-26",8.88
"29","2015-08-27",9.14
"30","2015-08-28",9.14
"31","2015-08-31",8.82
"32","2015-09-01",9.06
"33","2015-09-02",9.05
"34","2015-09-03",9.41
"35","2015-09-04",9.03
"36","2015-09-08",8.94
"37","2015-09-09",8.96
"38","2015-09-10",8.6
"39","2015-09-11",8.48
"40","2015-09-14",8.72
"41","2015-09-15",8.38
"42","2015-09-16",8.06
"43","2015-09-17",8.01
"44","2015-09-18",7.5
"45","2015-09-21",7.31
"46","2015-09-22",7.4
"47","2015-09-23",7.4
"48","2015-09-24",7.1
"49","2015-09-25",6.98
"50","2015-09-28",6.57
"51","2015-09-29",6.58
"52","2015-09-30",6.95
"53","2015-10-01",7.3
"54","2015-10-02",7.12
"55","2015-10-05",7.16
"56","2015-10-06",7.25
"57","2015-10-07",7.2
"58","2015-10-08",7.37
"59","2015-10-09",7.9
"60","2015-10-12",8.19
"61","2015-10-13",8.37
"62","2015-10-14",8.45
"63","2015-10-15",8.38
"64","2015-10-16",8.09
"65","2015-10-19",8.01
"66","2015-10-20",8.02
"67","2015-10-21",8.27
"68","2015-10-22",8.27
"69","2015-10-23",8.11
"70","2015-10-26",8.29
"71","2015-10-27",8.14
"72","2015-10-28",8.17
"73","2015-10-29",8.07
"74","2015-10-30",8.06
"75","2015-11-02",8.1
"76","2015-11-03",8.17
"77","2015-11-04",7.89
"78","2015-11-05",7.11
"79","2015-11-06",6.99
"80","2015-11-09",6.95
"81","2015-11-10",6.78
"82","2015-11-11",6.58
"83","2015-11-12",6.48
"84","2015-11-13",6.38
"85","2015-11-16",6.35
"86","2015-11-17",6.49
"87","2015-11-18",6.49
"88","2015-11-19",6.39
"89","2015-11-20",6.21
"90","2015-11-23",6.25
"91","2015-11-24",6.09
"92","2015-11-25",6.6
"93","2015-11-27",6.87
"94","2015-11-30",7.75
"95","2015-12-01",7.82
"96","2015-12-02",7.05
"97","2015-12-03",7
"98","2015-12-04",7.01
"99","2015-12-07",7.12
"100","2015-12-08",7.11
"101","2015-12-09",7.16
"102","2015-12-10",7.26
"103","2015-12-11",7.12
"104","2015-12-14",7.16
"105","2015-12-15",7.15
"106","2015-12-16",7.15
"107","2015-12-17",7.24
"108","2015-12-18",7.08
"109","2015-12-21",6.93
"110","2015-12-22",6.82
"111","2015-12-23",6.71
"112","2015-12-24",6.72
"113","2015-12-28",6.42
"114","2015-12-29",6.4
"115","2015-12-30",6.01
"116","2015-12-31",6.35
"117","2016-01-04",6.03
"118","2016-01-05",5.93
"119","2016-01-06",6.02
"120","2016-01-07",6.13
"121","2016-01-08",6.21
"122","2016-01-11",6.65
"123","2016-01-12",6.4
"124","2016-01-13",6.37
"125","2016-01-14",6.56
"126","2016-01-15",6.49
"127","2016-01-19",6.63
"128","2016-01-20",6.6
"129","2016-01-21",6.85
"130","2016-01-22",7.17
"131","2016-01-25",6.97
"132","2016-01-26",7.22
"133","2016-01-27",7.15
"134","2016-01-28",7.07
"135","2016-01-29",6.79
"136","2016-02-01",6.64
"137","2016-02-02",6.55
"138","2016-02-03",6.55
"139","2016-02-04",7.02
"140","2016-02-05",7.06
"141","2016-02-08",6.86
"142","2016-02-09",7.05
"143","2016-02-10",7.02
"144","2016-02-11",6.53
"145","2016-02-12",6.28
"146","2016-02-16",6.6
"147","2016-02-17",6.7
"148","2016-02-18",6.11
"149","2016-02-19",6.15
"150","2016-02-22",6.06
"151","2016-02-23",6.07
"152","2016-02-24",5.95
"153","2016-02-25",6.2
"154","2016-02-26",6.22
"155","2016-02-29",6.03
"156","2016-03-01",6.17
"157","2016-03-02",6.5
"158","2016-03-03",6.59
"159","2016-03-04",6.46
"160","2016-03-07",6.67
"161","2016-03-08",6.42
"162","2016-03-09",6.13
"163","2016-03-10",5.9
"164","2016-03-11",6.4
"165","2016-03-14",6.05
"166","2016-03-15",5.89
"167","2016-03-16",6.13
"168","2016-03-17",5.88
"169","2016-03-18",5.84
"170","2016-03-21",6
"171","2016-03-22",5.86
"172","2016-03-23",5.92
"173","2016-03-24",5.97
"174","2016-03-28",6.05
"175","2016-03-29",6.04
"176","2016-03-30",5.95
"177","2016-03-31",5.9
"178","2016-04-01",5.95
"179","2016-04-04",5.97
"180","2016-04-05",5.98
"181","2016-04-06",5.99
"182","2016-04-07",6.08
"183","2016-04-08",6.12
"184","2016-04-11",6.1
"185","2016-04-12",6.05
"186","2016-04-13",6.22
"187","2016-04-14",6.61
"188","2016-04-15",6.78
"189","2016-04-18",7.05
"190","2016-04-19",7.2
"191","2016-04-20",7.1
"192","2016-04-21",7.19
"193","2016-04-22",7.05
"194","2016-04-25",7.06
"195","2016-04-26",7.11
"196","2016-04-27",7.12
"197","2016-04-28",7.13
"198","2016-04-29",7.06
"199","2016-05-02",6.81
"200","2016-05-03",6.8
"201","2016-05-04",6.82
"202","2016-05-05",6.27
"203","2016-05-06",6.45
"204","2016-05-09",6.45
"205","2016-05-10",6.61
"206","2016-05-11",6.52
"207","2016-05-12",6.45
"208","2016-05-13",6.5
"209","2016-05-16",6.57
"210","2016-05-17",6.57
"211","2016-05-18",6.63
"212","2016-05-19",6.61
"213","2016-05-20",6.63
"214","2016-05-23",6.68
"215","2016-05-24",6.8
"216","2016-05-25",6.8
"217","2016-05-26",6.85
"218","2016-05-27",6.81
"219","2016-05-31",6.9
"220","2016-06-01",7.4
"221","2016-06-02",7.6
"222","2016-06-03",7.81
"223","2016-06-06",8.38
"224","2016-06-07",8.21
"225","2016-06-08",8.28
"226","2016-06-09",8.1
"227","2016-06-10",7.99
"228","2016-06-13",7.98
"229","2016-06-14",7.99
"230","2016-06-15",7.91
"231","2016-06-16",7.9
"232","2016-06-17",7.84
"233","2016-06-20",7.97
"234","2016-06-21",8.07
"235","2016-06-22",8.05
"236","2016-06-23",8.1
"237","2016-06-24",8.05
"238","2016-06-27",7.76
"239","2016-06-28",7.99
"240","2016-06-29",8.11
"241","2016-06-30",8.19
"242","2016-07-01",8.11
"243","2016-07-05",7.99
"244","2016-07-06",8.02
"245","2016-07-07",8.03
"246","2016-07-08",8.15
"247","2016-07-11",8.18
"248","2016-07-12",8.51
"249","2016-07-13",8.49
"250","2016-07-14",8.51
