"","date","NURO"
"1","2007-01-03",1670400
"2","2007-01-04",1604736
"3","2007-01-05",1396224
"4","2007-01-08",1307520
"5","2007-01-09",1362816
"6","2007-01-10",1456128
"7","2007-01-11",1405440
"8","2007-01-12",1475712
"9","2007-01-16",1457280
"10","2007-01-17",1464192
"11","2007-01-18",1430784
"12","2007-01-19",1476864
"13","2007-01-22",1457280
"14","2007-01-23",1454976
"15","2007-01-24",1536768
"16","2007-01-25",1482624
"17","2007-01-26",1463040
"18","2007-01-29",1454976
"19","2007-01-30",1471104
"20","2007-01-31",1532160
"21","2007-02-01",1390464
"22","2007-02-02",1388160
"23","2007-02-05",1340928
"24","2007-02-06",1330560
"25","2007-02-07",1304064
"26","2007-02-08",1339776
"27","2007-02-09",1289088
"28","2007-02-12",1308672
"29","2007-02-13",1347840
"30","2007-02-14",1354752
"31","2007-02-15",1332864
"32","2007-02-16",1322496
"33","2007-02-20",1365120
"34","2007-02-21",1322496
"35","2007-02-22",1325952
"36","2007-02-23",1331712
"37","2007-02-26",1324800
"38","2007-02-27",1282176
"39","2007-02-28",1310976
"40","2007-03-01",1290240
"41","2007-03-02",1285632
"42","2007-03-05",1269504
"43","2007-03-06",1172736
"44","2007-03-07",1088640
"45","2007-03-08",1093248
"46","2007-03-09",1099008
"47","2007-03-12",1078272
"48","2007-03-13",1093248
"49","2007-03-14",1085184
"50","2007-03-15",1138176
"51","2007-03-16",1112832
"52","2007-03-19",1107072
"53","2007-03-20",1065600
"54","2007-03-21",1087488
"55","2007-03-22",1109376
"56","2007-03-23",1109376
"57","2007-03-26",1135872
"58","2007-03-27",1096704
"59","2007-03-28",1090944
"60","2007-03-29",1161216
"61","2007-03-30",1118592
"62","2007-04-02",1112832
"63","2007-04-03",1072512
"64","2007-04-04",1051776
"65","2007-04-05",1058688
"66","2007-04-09",1034496
"67","2007-04-10",1037952
"68","2007-04-11",1043712
"69","2007-04-12",1048320
"70","2007-04-13",1142784
"71","2007-04-16",1163520
"72","2007-04-17",1154304
"73","2007-04-18",1156608
"74","2007-04-19",1128960
"75","2007-04-20",1153152
"76","2007-04-23",1119744
"77","2007-04-24",1109376
"78","2007-04-25",1128960
"79","2007-04-26",1110528
"80","2007-04-27",1094400
"81","2007-04-30",1165824
"82","2007-05-01",1141632
"83","2007-05-02",1155456
"84","2007-05-03",1154304
"85","2007-05-04",1128960
"86","2007-05-07",1118592
"87","2007-05-08",1097856
"88","2007-05-09",1087488
"89","2007-05-10",1048320
"90","2007-05-11",993024
"91","2007-05-14",1013760
"92","2007-05-15",1005696
"93","2007-05-16",999936
"94","2007-05-17",995328
"95","2007-05-18",1016064
"96","2007-05-21",1004544
"97","2007-05-22",1042560
"98","2007-05-23",1072512
"99","2007-05-24",1052928
"100","2007-05-25",1057536
"101","2007-05-29",1054080
"102","2007-05-30",1054080
"103","2007-05-31",1037952
"104","2007-06-01",1042560
"105","2007-06-04",1048320
"106","2007-06-05",1048320
"107","2007-06-06",1074816
"108","2007-06-07",1154304
"109","2007-06-08",1154304
"110","2007-06-11",1176192
"111","2007-06-12",1172736
"112","2007-06-13",1166976
"113","2007-06-14",1180800
"114","2007-06-15",1239552
"115","2007-06-18",1180800
"116","2007-06-19",1158912
"117","2007-06-20",1094400
"118","2007-06-21",1107072
"119","2007-06-22",1107072
"120","2007-06-25",1140480
"121","2007-06-26",1128960
"122","2007-06-27",1087488
"123","2007-06-28",1072512
"124","2007-06-29",1118592
"125","2007-07-02",1050624
"126","2007-07-03",1032192
"127","2007-07-05",1017216
"128","2007-07-06",1020672
"129","2007-07-09",1024128
