"","date","JP"
"1","2015-07-16",11.08
"2","2015-07-17",10.02
"3","2015-07-20",9.75
"4","2015-07-21",9.98
"5","2015-07-22",9.66
"6","2015-07-23",9.76
"7","2015-07-24",9.97
"8","2015-07-27",9.7
"9","2015-07-28",9.98
"10","2015-07-29",10.016
"11","2015-07-30",9.88
"12","2015-07-31",10.23
"13","2015-08-03",10.102
"14","2015-08-04",10.01
"15","2015-08-05",10
"16","2015-08-06",9.9
"17","2015-08-07",9.92
"18","2015-08-10",10.14
"19","2015-08-11",9.91
"20","2015-08-12",9.92
"21","2015-08-13",10.14
"22","2015-08-14",10.06
"23","2015-08-17",9.93
"24","2015-08-18",9.92
"25","2015-08-19",10.01
"26","2015-08-20",10
"27","2015-08-21",9.5
"28","2015-08-24",7.72
"29","2015-08-25",8.7
"30","2015-08-26",8.38
"31","2015-08-27",10.28
"32","2015-08-28",9.91
"33","2015-08-31",9.73
"34","2015-09-01",9.5
"35","2015-09-02",9.5
"36","2015-09-03",9.5
"37","2015-09-04",9.29
"38","2015-09-08",10
"39","2015-09-09",9.34
"40","2015-09-10",8.5
"41","2015-09-11",8.71
"42","2015-09-14",8.33
"43","2015-09-15",8.57
"44","2015-09-16",8.87
"45","2015-09-17",8.61
"46","2015-09-18",8.2
"47","2015-09-21",8.35
"48","2015-09-22",8.44
"49","2015-09-23",8.44
"50","2015-09-24",8.7
"51","2015-09-25",8.59
"52","2015-09-28",8.29
"53","2015-09-29",8.23
"54","2015-09-30",9
"55","2015-10-01",9.26
"56","2015-10-02",8.93
"57","2015-10-05",9
"58","2015-10-06",9.44
"59","2015-10-07",9.54
"60","2015-10-08",9.8
"61","2015-10-09",9.45
"62","2015-10-12",9.12
"63","2015-10-13",8.99
"64","2015-10-14",9.13
"65","2015-10-15",9.39
"66","2015-10-16",9.416
"67","2015-10-19",9.2
"68","2015-10-20",9.13
"69","2015-10-21",9.1
"70","2015-10-22",9.2
"71","2015-10-23",9.02
"72","2015-10-26",9.02
"73","2015-10-27",9.01
"74","2015-10-28",8.86
"75","2015-10-29",8.94
"76","2015-10-30",8.83
"77","2015-11-02",8.65
"78","2015-11-03",8.5
"79","2015-11-04",8.85
"80","2015-11-05",8.8
"81","2015-11-06",9.04
"82","2015-11-09",9.06
"83","2015-11-10",9.32
"84","2015-11-11",9.26
"85","2015-11-12",9.36
"86","2015-11-13",8.84
"87","2015-11-16",9.3
"88","2015-11-17",9.61
"89","2015-11-18",9.76
"90","2015-11-19",9.6
"91","2015-11-20",9.47
"92","2015-11-23",9.34
"93","2015-11-24",9.21
"94","2015-11-25",9.43
"95","2015-11-27",9.68
"96","2015-11-30",9.8
"97","2015-12-01",9.58
"98","2015-12-02",9.85
"99","2015-12-03",9.4
"100","2015-12-04",9.69
"101","2015-12-07",9.7
"102","2015-12-08",9.72
"103","2015-12-09",9.79
"104","2015-12-10",9.8
"105","2015-12-11",9.8
"106","2015-12-14",9.83
"107","2015-12-15",9.51
"108","2015-12-16",9.38
"109","2015-12-17",9.39
"110","2015-12-18",9.4
"111","2015-12-21",9.28
"112","2015-12-22",9.84
"113","2015-12-23",9.7
"114","2015-12-24",9.7
"115","2015-12-28",9.74
"116","2015-12-29",9.79
"117","2015-12-30",9.83
"118","2015-12-31",10.12
"119","2016-01-04",9.75
"120","2016-01-05",9.7
"121","2016-01-06",9.48
"122","2016-01-07",8.95
"123","2016-01-08",8.81
"124","2016-01-11",8.54
"125","2016-01-12",8.61
"126","2016-01-13",8.32
"127","2016-01-14",8.06
"128","2016-01-15",9.12
"129","2016-01-19",8.89
"130","2016-01-20",8.51
"131","2016-01-21",8.831
"132","2016-01-22",8.73
"133","2016-01-25",8.535
"134","2016-01-26",8.86
"135","2016-01-27",8.86
"136","2016-01-28",8.86
"137","2016-01-29",8.71
"138","2016-02-01",9
"139","2016-02-02",9.79
"140","2016-02-03",9.91
"141","2016-02-04",10
"142","2016-02-05",9.64
"143","2016-02-08",9.1
"144","2016-02-09",8.947
"145","2016-02-10",9.39
"146","2016-02-11",9.27
"147","2016-02-12",9.52
"148","2016-02-16",9.51
"149","2016-02-17",9.58
"150","2016-02-18",9.54
"151","2016-02-19",9.22
"152","2016-02-22",9.25
"153","2016-02-23",9.26
"154","2016-02-24",9.27
"155","2016-02-25",9.45
"156","2016-02-26",9.78
"157","2016-02-29",9.81
"158","2016-03-01",10.1
"159","2016-03-02",9.92
"160","2016-03-03",9.57
"161","2016-03-04",9.382
"162","2016-03-07",9.19
"163","2016-03-08",9.24
"164","2016-03-09",9.24
"165","2016-03-10",9.295
"166","2016-03-11",9.51
"167","2016-03-14",9.51
"168","2016-03-15",9.51
"169","2016-03-16",9.692
"170","2016-03-17",9.575
"171","2016-03-18",9.57
"172","2016-03-21",9.54
"173","2016-03-22",9.62
"174","2016-03-23",9.58
"175","2016-03-24",9.58
"176","2016-03-28",9.67
"177","2016-03-29",8.72
"178","2016-03-30",9.9
"179","2016-03-31",9.9
"180","2016-04-01",9.98
"181","2016-04-04",10
"182","2016-04-05",10
"183","2016-04-06",10
"184","2016-04-07",9.9
"185","2016-04-08",9.9
"186","2016-04-11",9.94
"187","2016-04-12",9.94
"188","2016-04-13",9.72
"189","2016-04-14",9.757
"190","2016-04-15",9.757
"191","2016-04-18",9.71
"192","2016-04-19",9.712
"193","2016-04-20",9.9
"194","2016-04-21",9.72
"195","2016-04-22",9.72
"196","2016-04-25",9.72
"197","2016-04-26",9.72
"198","2016-04-27",8.99
"199","2016-04-28",9.19
"200","2016-04-29",9.25
"201","2016-05-02",9.105
"202","2016-05-03",9.07
"203","2016-05-04",9.04
"204","2016-05-05",9.22
"205","2016-05-06",9.065
"206","2016-05-09",9
"207","2016-05-10",9.22
"208","2016-05-11",9.02
"209","2016-05-12",8.775
"210","2016-05-13",8.98
"211","2016-05-16",8.82
"212","2016-05-17",8.84
"213","2016-05-18",8.82
"214","2016-05-19",8.82
"215","2016-05-20",8.82
"216","2016-05-23",8.61
"217","2016-05-24",8.4
"218","2016-05-25",8.29
"219","2016-05-26",8.41
"220","2016-05-27",8.67
"221","2016-05-31",9.84
"222","2016-06-01",9.53
"223","2016-06-02",9.2
"224","2016-06-03",9.68
"225","2016-06-06",9
"226","2016-06-07",8.66
"227","2016-06-08",8.69
"228","2016-06-09",8.52
"229","2016-06-10",8.39
"230","2016-06-13",8.4
"231","2016-06-14",8.3
"232","2016-06-15",8.2
"233","2016-06-16",8.11
"234","2016-06-17",8.09
"235","2016-06-20",8.08
"236","2016-06-21",8.03
"237","2016-06-22",8.2
"238","2016-06-23",8.25
"239","2016-06-24",8.18
"240","2016-06-27",8.04
"241","2016-06-28",8.01
"242","2016-06-29",8.2
"243","2016-06-30",8.44
"244","2016-07-01",8.32
"245","2016-07-05",8.22
"246","2016-07-06",8.09
"247","2016-07-07",8.01
"248","2016-07-08",8.015
"249","2016-07-11",8.192
"250","2016-07-12",8.02
"251","2016-07-13",7.99
"252","2016-07-14",8.12
"253","2016-07-15",8.29
"254","2016-07-18",8.34
"255","2016-07-19",8.23
"256","2016-07-20",8.1
"257","2016-07-21",8.09
"258","2016-07-22",8.01
"259","2016-07-25",7.98
"260","2016-07-26",8
"261","2016-07-27",7.99
"262","2016-07-28",8
"263","2016-07-29",8
"264","2016-08-01",8
"265","2016-08-02",7.85
"266","2016-08-03",7.88
"267","2016-08-04",7.82
"268","2016-08-05",7.785
"269","2016-08-08",7.83
"270","2016-08-09",7.92
"271","2016-08-10",8.3
"272","2016-08-11",8.17
"273","2016-08-12",7.94
"274","2016-08-15",7.97
"275","2016-08-16",8.29
"276","2016-08-17",8.37
"277","2016-08-18",8.57
"278","2016-08-19",8.43
"279","2016-08-22",8.47
"280","2016-08-23",8.45
"281","2016-08-24",8.345
"282","2016-08-25",8.39
"283","2016-08-26",8.3
"284","2016-08-29",8.2
"285","2016-08-30",7.82
"286","2016-08-31",8.2
"287","2016-09-01",8.19
"288","2016-09-02",7.91
"289","2016-09-06",7.91
"290","2016-09-07",7.82
"291","2016-09-08",7.869
"292","2016-09-09",7.92
"293","2016-09-12",8.13
"294","2016-09-13",7.98
"295","2016-09-14",7.99
"296","2016-09-15",7.875
"297","2016-09-16",7.875
"298","2016-09-19",7.891
"299","2016-09-20",7.95
"300","2016-09-21",8
"301","2016-09-22",7.91
"302","2016-09-23",8.15
"303","2016-09-26",8.11
"304","2016-09-27",8.076
"305","2016-09-28",8.08
"306","2016-09-29",8.08
"307","2016-09-30",8.14
"308","2016-10-03",8.169
"309","2016-10-04",8.169
"310","2016-10-05",8.09
"311","2016-10-06",8.06
"312","2016-10-07",7.82
"313","2016-10-10",7.85
"314","2016-10-11",7.85
"315","2016-10-12",7.96
"316","2016-10-13",7.84
"317","2016-10-14",7.83
"318","2016-10-17",7.88
"319","2016-10-18",7.78
"320","2016-10-19",7.78
"321","2016-10-20",7.78
"322","2016-10-21",7.771
"323","2016-10-24",7.82
"324","2016-10-25",7.98
"325","2016-10-26",7.67
"326","2016-10-27",7.69
"327","2016-10-28",7.75
"328","2016-10-31",7.92
"329","2016-11-01",8.54
"330","2016-11-02",8.1
"331","2016-11-03",8.42
"332","2016-11-04",8.36
"333","2016-11-07",8.8
"334","2016-11-08",8.68
"335","2016-11-09",9.27
"336","2016-11-10",8.88
"337","2016-11-11",8.88
"338","2016-11-14",8.85
"339","2016-11-15",8.84
"340","2016-11-16",8.96
"341","2016-11-17",9
"342","2016-11-18",9.49
"343","2016-11-21",9.24
"344","2016-11-22",9.5
"345","2016-11-23",9.5
"346","2016-11-25",9.5
"347","2016-11-28",9.29
"348","2016-11-29",9.41
"349","2016-11-30",9.41
"350","2016-12-01",8.97
"351","2016-12-02",8.97
"352","2016-12-05",9.16
"353","2016-12-06",9
"354","2016-12-07",9.02
"355","2016-12-08",9.11
"356","2016-12-09",9.22
"357","2016-12-12",8.85
"358","2016-12-13",8.85
"359","2016-12-14",8.887
"360","2016-12-15",8.835
"361","2016-12-16",8.67
"362","2016-12-19",8.88
"363","2016-12-20",9.08
"364","2016-12-21",8.71
"365","2016-12-22",8.04
"366","2016-12-23",8.45
"367","2016-12-27",8.62
"368","2016-12-28",8.59
"369","2016-12-29",8.661
"370","2016-12-30",8.71
"371","2017-01-03",8.81
"372","2017-01-04",8.81
"373","2017-01-05",8.81
"374","2017-01-06",8.631
"375","2017-01-09",8.61
"376","2017-01-10",8.677
"377","2017-01-11",8.636
"378","2017-01-12",8.636
"379","2017-01-13",8.6
"380","2017-01-17",8.65
"381","2017-01-18",8.64
"382","2017-01-19",8.64
"383","2017-01-20",8.673
"384","2017-01-23",8.72
"385","2017-01-24",8.72
"386","2017-01-25",8.683
"387","2017-01-26",8.683
"388","2017-01-27",8.71
"389","2017-01-30",8.71
"390","2017-01-31",8.72
"391","2017-02-01",8.74
"392","2017-02-02",8.74
"393","2017-02-03",8.74
"394","2017-02-06",8.75
"395","2017-02-07",8.78
"396","2017-02-08",8.72
"397","2017-02-09",8.74
"398","2017-02-10",8.78
"399","2017-02-13",8.824
"400","2017-02-14",8.83
"401","2017-02-15",8.761
"402","2017-02-16",8.76
"403","2017-02-17",8.64
"404","2017-02-21",8.59
"405","2017-02-22",8.67
"406","2017-02-23",9
"407","2017-02-24",9.2
"408","2017-02-27",9.51
"409","2017-02-28",9.3
"410","2017-03-01",9.39
"411","2017-03-02",9.4
"412","2017-03-03",9.3
"413","2017-03-06",9.3
"414","2017-03-07",9.52
"415","2017-03-08",9.4
"416","2017-03-09",9.4
"417","2017-03-10",9.4
"418","2017-03-13",8.67
"419","2017-03-14",9.5
"420","2017-03-15",9.34
"421","2017-03-16",9.094
"422","2017-03-17",8.41
"423","2017-03-20",8.71
"424","2017-03-21",8.79
"425","2017-03-22",9.08
"426","2017-03-23",9.52
"427","2017-03-24",9.06
"428","2017-03-27",9.01
"429","2017-03-28",8.7
"430","2017-03-29",8.95
"431","2017-03-30",9.05
"432","2017-03-31",8.93
"433","2017-04-03",8.74
"434","2017-04-04",8.97
"435","2017-04-05",8.99
"436","2017-04-06",9.03
"437","2017-04-07",9.03
"438","2017-04-10",9.01
"439","2017-04-11",8.96
"440","2017-04-12",8.98
