"","date","SFNC"
"1","2007-01-03",15.61
"2","2007-01-04",15.97
"3","2007-01-05",15.285
"4","2007-01-08",15.025
"5","2007-01-09",14.905
"6","2007-01-10",14.625
"7","2007-01-11",14.87
"8","2007-01-12",14.875
"9","2007-01-16",15.03
"10","2007-01-17",14.67
"11","2007-01-18",14.065
"12","2007-01-19",15.045
"13","2007-01-22",14.66
"14","2007-01-23",14.87
"15","2007-01-24",14.82
"16","2007-01-25",14.435
"17","2007-01-26",14.685
"18","2007-01-29",14.965
"19","2007-01-30",15.2
"20","2007-01-31",15.37
"21","2007-02-01",15.435
"22","2007-02-02",15.31
"23","2007-02-05",15.12
"24","2007-02-06",15.135
"25","2007-02-07",15.475
"26","2007-02-08",15.55
"27","2007-02-09",15.25
"28","2007-02-12",15.34
"29","2007-02-13",15.435
"30","2007-02-14",15.055
"31","2007-02-15",14.925
"32","2007-02-16",14.83
"33","2007-02-20",15.09
"34","2007-02-21",15.07
"35","2007-02-22",15.2
"36","2007-02-23",14.855
"37","2007-02-26",14.495
"38","2007-02-27",13.87
"39","2007-02-28",13.9
"40","2007-03-01",14.01
"41","2007-03-02",13.13
"42","2007-03-05",12.87
"43","2007-03-06",13.73
"44","2007-03-07",13.335
"45","2007-03-08",13.3
"46","2007-03-09",13.605
"47","2007-03-12",13.945
"48","2007-03-13",13.635
"49","2007-03-14",14.065
"50","2007-03-15",14.27
"51","2007-03-16",14.355
"52","2007-03-19",14.61
"53","2007-03-20",14.75
"54","2007-03-21",15.25
"55","2007-03-22",15.245
"56","2007-03-23",15.13
"57","2007-03-26",15.24
"58","2007-03-27",14.915
"59","2007-03-28",14.73
"60","2007-03-29",14.92
"61","2007-03-30",15.035
"62","2007-04-02",14.805
"63","2007-04-03",15.2
"64","2007-04-04",14.925
"65","2007-04-05",14.79
"66","2007-04-09",14.41
"67","2007-04-10",14.565
"68","2007-04-11",14.08
"69","2007-04-12",14.365
"70","2007-04-13",14.645
"71","2007-04-16",14.965
"72","2007-04-17",14.83
"73","2007-04-18",14.505
"74","2007-04-19",14.445
"75","2007-04-20",14.465
"76","2007-04-23",14.17
"77","2007-04-24",14.16
"78","2007-04-25",14.335
"79","2007-04-26",14.21
"80","2007-04-27",13.91
"81","2007-04-30",13.165
"82","2007-05-01",13.575
"83","2007-05-02",13.945
"84","2007-05-03",13.79
"85","2007-05-04",13.84
"86","2007-05-07",13.74
"87","2007-05-08",13.505
"88","2007-05-09",13.64
"89","2007-05-10",13.265
"90","2007-05-11",13.75
"91","2007-05-14",13.515
"92","2007-05-15",13.26
"93","2007-05-16",13.015
"94","2007-05-17",12.875
"95","2007-05-18",13.325
"96","2007-05-21",13.575
"97","2007-05-22",14.055
"98","2007-05-23",14.035
"99","2007-05-24",13.8
"100","2007-05-25",13.795
"101","2007-05-29",14.17
"102","2007-05-30",14.21
"103","2007-05-31",14.105
"104","2007-06-01",14.025
"105","2007-06-04",13.82
"106","2007-06-05",13.375
"107","2007-06-06",13.365
"108","2007-06-07",13.225
"109","2007-06-08",13.655
"110","2007-06-11",13.42
"111","2007-06-12",13.185
"112","2007-06-13",13.64
"113","2007-06-14",13.63
"114","2007-06-15",14.04
"115","2007-06-18",14.15
"116","2007-06-19",14.4
"117","2007-06-20",14.145
"118","2007-06-21",14.155
"119","2007-06-22",13.965
"120","2007-06-25",13.725
"121","2007-06-26",13.65
"122","2007-06-27",14.24
"123","2007-06-28",14.185
"124","2007-06-29",13.795
"125","2007-07-02",14.225
"126","2007-07-03",14.275
"127","2007-07-05",14.15
"128","2007-07-06",14.205
"129","2007-07-09",13.795
"130","2007-07-10",13.295
"131","2007-07-11",13.415
"132","2007-07-12",13.885
"133","2007-07-13",13.885
"134","2007-07-16",13.62
"135","2007-07-17",13.415
"136","2007-07-18",13.515
"137","2007-07-19",13.485
"138","2007-07-20",13.01
"139","2007-07-23",13
"140","2007-07-24",12.315
"141","2007-07-25",12.46
"142","2007-07-26",12.115
"143","2007-07-27",11.85
"144","2007-07-30",12.015
"145","2007-07-31",11.545
"146","2007-08-01",12.105
"147","2007-08-02",12.22
"148","2007-08-03",11.245
"149","2007-08-06",12.04
"150","2007-08-07",12.035
"151","2007-08-08",12.735
"152","2007-08-09",12.865
"153","2007-08-10",13.165
"154","2007-08-13",12.54
"155","2007-08-14",12.555
"156","2007-08-15",12.115
"157","2007-08-16",13.53
"158","2007-08-17",13.955
"159","2007-08-20",13.5
"160","2007-08-21",14.175
"161","2007-08-22",13.93
"162","2007-08-23",13.65
"163","2007-08-24",13.995
"164","2007-08-27",13.75
"165","2007-08-28",12.91
"166","2007-08-29",13.715
"167","2007-08-30",13.68
"168","2007-08-31",13.59
"169","2007-09-04",13.845
"170","2007-09-05",13.275
"171","2007-09-06",13.49
"172","2007-09-07",12.715
"173","2007-09-10",12.82
"174","2007-09-11",13.33
"175","2007-09-12",12.915
"176","2007-09-13",12.995
"177","2007-09-14",13.065
"178","2007-09-17",12.815
"179","2007-09-18",13.99
"180","2007-09-19",14.325
"181","2007-09-20",14.1
"182","2007-09-21",13.77
"183","2007-09-24",13.58
"184","2007-09-25",13.485
"185","2007-09-26",13.495
"186","2007-09-27",13.77
"187","2007-09-28",13.17
"188","2007-10-01",14.085
"189","2007-10-02",14.335
"190","2007-10-03",13.745
"191","2007-10-04",13.59
"192","2007-10-05",14.425
"193","2007-10-08",14.17
"194","2007-10-09",14.47
"195","2007-10-10",14.1
"196","2007-10-11",13.815
"197","2007-10-12",14.24
"198","2007-10-15",13.595
"199","2007-10-16",13.88
"200","2007-10-17",13.79
"201","2007-10-18",13.745
"202","2007-10-19",12.665
"203","2007-10-22",13.28
"204","2007-10-23",13.385
"205","2007-10-24",12.965
"206","2007-10-25",12.905
"207","2007-10-26",13.22
"208","2007-10-29",13.425
"209","2007-10-30",13.145
"210","2007-10-31",13.52
"211","2007-11-01",12.35
"212","2007-11-02",12.23
"213","2007-11-05",12.25
"214","2007-11-06",12.48
"215","2007-11-07",11.91
"216","2007-11-08",12.505
"217","2007-11-09",12.675
"218","2007-11-12",13.11
"219","2007-11-13",13.665
"220","2007-11-14",13.5
