"","date","WSTG"
"1","2007-01-03",15.39
"2","2007-01-04",15.35
"3","2007-01-05",15.4
"4","2007-01-08",15.49
"5","2007-01-09",15.45
"6","2007-01-10",15.47
"7","2007-01-11",15.54
"8","2007-01-12",15.45
"9","2007-01-16",15.71
"10","2007-01-17",15.84
"11","2007-01-18",15.55
"12","2007-01-19",15.41
"13","2007-01-22",15.3
"14","2007-01-23",15.24
"15","2007-01-24",15.89
"16","2007-01-25",15.56
"17","2007-01-26",15.2
"18","2007-01-29",15.22
"19","2007-01-30",15
"20","2007-01-31",15.1
"21","2007-02-01",15.14
"22","2007-02-02",15.1
"23","2007-02-05",15.11
"24","2007-02-06",15.25
"25","2007-02-07",15.29
"26","2007-02-08",15.74
"27","2007-02-09",15.5
"28","2007-02-12",15.24
"29","2007-02-13",14.97
"30","2007-02-14",15.32
"31","2007-02-15",15.25
"32","2007-02-16",15.29
"33","2007-02-20",15.45
"34","2007-02-21",15.45
"35","2007-02-22",15.6
"36","2007-02-23",15.63
"37","2007-02-26",15.35
"38","2007-02-27",14.94
"39","2007-02-28",15.27
"40","2007-03-01",15.05
"41","2007-03-02",15.37
"42","2007-03-05",15.03
"43","2007-03-06",15.32
"44","2007-03-07",15.17
"45","2007-03-08",15.37
"46","2007-03-09",15.35
"47","2007-03-12",15.25
"48","2007-03-13",15.11
"49","2007-03-14",15.14
"50","2007-03-15",15.35
"51","2007-03-16",15.22
"52","2007-03-19",15.13
"53","2007-03-20",15.16
"54","2007-03-21",15.15
"55","2007-03-22",15.2
"56","2007-03-23",15.16
"57","2007-03-26",15.14
"58","2007-03-27",15.12
"59","2007-03-28",14.99
"60","2007-03-29",14.7
"61","2007-03-30",14.5
"62","2007-04-02",14.95
"63","2007-04-03",15.1
"64","2007-04-04",14.95
"65","2007-04-05",14.6
"66","2007-04-09",14.28
"67","2007-04-10",14.29
"68","2007-04-11",14.5
"69","2007-04-12",14.36
"70","2007-04-13",14.41
"71","2007-04-16",15
"72","2007-04-17",15.25
"73","2007-04-18",14.9
"74","2007-04-19",14.8
"75","2007-04-20",14.89
"76","2007-04-23",15.3
"77","2007-04-24",15.26
"78","2007-04-25",15.26
"79","2007-04-26",15.16
"80","2007-04-27",15.8
"81","2007-04-30",16.309999
"82","2007-05-01",15.95
"83","2007-05-02",15.91
"84","2007-05-03",16.049999
"85","2007-05-04",15.98
"86","2007-05-07",16.01
"87","2007-05-08",15.9
"88","2007-05-09",15.7
"89","2007-05-10",15.75
"90","2007-05-11",15.74
"91","2007-05-14",15.7
"92","2007-05-15",15.7
"93","2007-05-16",15.85
"94","2007-05-17",15.8
"95","2007-05-18",15.59
"96","2007-05-21",15.28
"97","2007-05-22",15.73
"98","2007-05-23",16.049999
"99","2007-05-24",16
"100","2007-05-25",15.86
"101","2007-05-29",16.18
"102","2007-05-30",16
"103","2007-05-31",15.84
"104","2007-06-01",16
"105","2007-06-04",16.01
"106","2007-06-05",16
"107","2007-06-06",16.1
"108","2007-06-07",15.98
"109","2007-06-08",16.190001
"110","2007-06-11",15.91
"111","2007-06-12",16
"112","2007-06-13",16
"113","2007-06-14",16.07
"114","2007-06-15",15.95
"115","2007-06-18",15.95
"116","2007-06-19",16.01
"117","2007-06-20",16.139999
"118","2007-06-21",16.18
"119","2007-06-22",16.139999
"120","2007-06-25",16
"121","2007-06-26",16.15
