"","date","RAVN"
"1","2007-01-03",13.13
"2","2007-01-04",13.545
"3","2007-01-05",13.095
"4","2007-01-08",12.945
"5","2007-01-09",13.15
"6","2007-01-10",13.15
"7","2007-01-11",13.62
"8","2007-01-12",13.935
"9","2007-01-16",13.67
"10","2007-01-17",13.55
"11","2007-01-18",13.47
"12","2007-01-19",13.525
"13","2007-01-22",13.355
"14","2007-01-23",13.795
"15","2007-01-24",14.11
"16","2007-01-25",13.79
"17","2007-01-26",13.96
"18","2007-01-29",14.1
"19","2007-01-30",14.175
"20","2007-01-31",14.215
"21","2007-02-01",14.325
"22","2007-02-02",14.21
"23","2007-02-05",14.18
"24","2007-02-06",14.31
"25","2007-02-07",14.38
"26","2007-02-08",14.56
"27","2007-02-09",14.295
"28","2007-02-12",14.65
"29","2007-02-13",14.885
"30","2007-02-14",15.005
"31","2007-02-15",15.025
"32","2007-02-16",15.15
"33","2007-02-20",15.35
"34","2007-02-21",15.27
"35","2007-02-22",15.3
"36","2007-02-23",15.23
"37","2007-02-26",15.305
"38","2007-02-27",14.625
"39","2007-02-28",14.455
"40","2007-03-01",14.59
"41","2007-03-02",14.21
"42","2007-03-05",14.265
"43","2007-03-06",14.145
"44","2007-03-07",14.145
"45","2007-03-08",13.955
"46","2007-03-09",14.065
"47","2007-03-12",13.945
"48","2007-03-13",13.39
"49","2007-03-14",13.295
"50","2007-03-15",13.445
"51","2007-03-16",13.345
"52","2007-03-19",13.44
"53","2007-03-20",13.675
"54","2007-03-21",14.47
"55","2007-03-22",14.66
"56","2007-03-23",14.785
"57","2007-03-26",15.05
"58","2007-03-27",14.16
"59","2007-03-28",13.77
"60","2007-03-29",14.02
"61","2007-03-30",14.025
"62","2007-04-02",14.04
"63","2007-04-03",13.9
"64","2007-04-04",13.93
"65","2007-04-05",14.015
"66","2007-04-09",14.005
"67","2007-04-10",14.27
"68","2007-04-11",14.015
"69","2007-04-12",14.06
"70","2007-04-13",14.61
"71","2007-04-16",14.855
"72","2007-04-17",14.795
"73","2007-04-18",14.755
"74","2007-04-19",14.71
"75","2007-04-20",14.845
"76","2007-04-23",15.06
"77","2007-04-24",14.53
"78","2007-04-25",14.85
"79","2007-04-26",14.95
"80","2007-04-27",15.22
"81","2007-04-30",14.445
"82","2007-05-01",14.57
"83","2007-05-02",15.07
"84","2007-05-03",15.15
"85","2007-05-04",15.06
"86","2007-05-07",15.225
"87","2007-05-08",14.865
"88","2007-05-09",14.975
"89","2007-05-10",14.6
"90","2007-05-11",15.09
"91","2007-05-14",14.685
"92","2007-05-15",14.555
"93","2007-05-16",14.85
"94","2007-05-17",15.975
"95","2007-05-18",17.684999
"96","2007-05-21",18.174999
"97","2007-05-22",18.200001
"98","2007-05-23",17.764999
"99","2007-05-24",17.5
"100","2007-05-25",17.605
"101","2007-05-29",17.615
"102","2007-05-30",17.985001
"103","2007-05-31",17.610001
"104","2007-06-01",17.865
"105","2007-06-04",17.785
"106","2007-06-05",17.1
"107","2007-06-06",17.225
"108","2007-06-07",17.030001
"109","2007-06-08",17.645
"110","2007-06-11",17.305
"111","2007-06-12",17.08
"112","2007-06-13",17.690001
"113","2007-06-14",17.52
"114","2007-06-15",17.620001
"115","2007-06-18",17.504999
"116","2007-06-19",17.57
"117","2007-06-20",17.33
"118","2007-06-21",17.495001
"119","2007-06-22",17.504999
"120","2007-06-25",17.6
"121","2007-06-26",17.715
"122","2007-06-27",18.25
"123","2007-06-28",18.49
"124","2007-06-29",17.855
"125","2007-07-02",18.535
"126","2007-07-03",18.575001
"127","2007-07-05",18.665001
"128","2007-07-06",18.57
"129","2007-07-09",18.725
"130","2007-07-10",18.754999
"131","2007-07-11",19.25
"132","2007-07-12",19.365
"133","2007-07-13",19.305
"134","2007-07-16",18.85
"135","2007-07-17",18.83
"136","2007-07-18",18.5
"137","2007-07-19",18.754999
"138","2007-07-20",18.375
"139","2007-07-23",18.5
"140","2007-07-24",17.629999
"141","2007-07-25",17.645
"142","2007-07-26",17.360001
"143","2007-07-27",16.885
"144","2007-07-30",17.110001
"145","2007-07-31",17.01
"146","2007-08-01",17.684999
