"","date","ARCT"
"1","2013-05-22",52.849998
"2","2013-05-23",50.470001
"3","2013-05-24",50.75
"4","2013-05-28",48.790001
"5","2013-05-29",47.950001
"6","2013-05-30",50.189999
"7","2013-05-31",50.400002
"8","2013-06-03",48.16
"9","2013-06-04",47.880001
"10","2013-06-05",49.91
"11","2013-06-06",49
"12","2013-06-07",50.540001
"13","2013-06-10",49.209999
"14","2013-06-11",49
"15","2013-06-12",47.950001
"16","2013-06-13",48.509998
"17","2013-06-14",49.700001
"18","2013-06-17",48.650002
"19","2013-06-18",49
"20","2013-06-19",49.560001
"21","2013-06-20",49.700001
"22","2013-06-21",48.369999
"23","2013-06-24",46.48
"24","2013-06-25",47.32
"25","2013-06-26",47.389999
"26","2013-06-27",47.389999
"27","2013-06-28",47.950001
"28","2013-07-01",48.509998
"29","2013-07-02",48.650002
"30","2013-07-03",48.439999
"31","2013-07-05",47.880001
"32","2013-07-08",55.299999
"33","2013-07-09",58.310001
"34","2013-07-10",63.419998
"35","2013-07-11",67.199997
"36","2013-07-12",74.830002
"37","2013-07-15",71.75
"38","2013-07-16",70.07
"39","2013-07-17",70
"40","2013-07-18",69.230003
"41","2013-07-19",69.790001
"42","2013-07-22",70.07
"43","2013-07-23",70.07
"44","2013-07-24",71.400002
"45","2013-07-25",71.400002
"46","2013-07-26",71.050003
"47","2013-07-29",69.93
"48","2013-07-30",70.279999
"49","2013-07-31",72.449997
"50","2013-08-01",84
"51","2013-08-02",98
"52","2013-08-05",102.269997
"53","2013-08-06",92.050003
"54","2013-08-07",90.93
"55","2013-08-08",100.379997
"56","2013-08-09",100.940002
"57","2013-08-12",101.360001
"58","2013-08-13",99.889999
"59","2013-08-14",99.82
"60","2013-08-15",97.720001
"61","2013-08-16",96.389999
"62","2013-08-19",96.32
"63","2013-08-20",93.309998
"64","2013-08-21",96.669998
"65","2013-08-22",92.540001
"66","2013-08-23",94.5
"67","2013-08-26",94.43
"68","2013-08-27",90.230003
"69","2013-08-28",91.07
"70","2013-08-29",91.769997
"71","2013-08-30",90.230003
"72","2013-09-03",87.57
"73","2013-09-04",87.290001
"74","2013-09-05",93.730003
"75","2013-09-06",96.32
"76","2013-09-09",102.129997
"77","2013-09-10",104.720001
"78","2013-09-11",113.330002
"79","2013-09-12",113.470001
"80","2013-09-13",113.75
"81","2013-09-16",112.07
"82","2013-09-17",109.760002
"83","2013-09-18",109.550003
"84","2013-09-19",109.760002
"85","2013-09-20",111.440002
"86","2013-09-23",109.760002
"87","2013-09-24",105.559998
"88","2013-09-25",111.230003
"89","2013-09-26",118.300003
"90","2013-09-27",130.970001
"91","2013-09-30",126.279999
"92","2013-10-01",126.769997
"93","2013-10-02",143.360001
"94","2013-10-03",162.820007
"95","2013-10-04",172.759995
"96","2013-10-07",178.570007
"97","2013-10-08",159.389999
"98","2013-10-09",144.759995
"99","2013-10-10",155.75
"100","2013-10-11",155.119995
"101","2013-10-14",150.289993
"102","2013-10-15",140.350006
"103","2013-10-16",132.789993
"104","2013-10-17",135.029999
"105","2013-10-18",135.029999
"106","2013-10-21",126.839996
"107","2013-10-22",114.029999
"108","2013-10-23",109.760002
"109","2013-10-24",119.699997
"110","2013-10-25",119.07
"111","2013-10-28",119.839996
"112","2013-10-29",116.339996
"113","2013-10-30",116.129997
"114","2013-10-31",114.379997
"115","2013-11-01",112.279999
"116","2013-11-04",120.400002
"117","2013-11-05",123.550003
"118","2013-11-06",120.260002
"119","2013-11-07",114.099998
"120","2013-11-08",115.360001
"121","2013-11-11",114.730003
"122","2013-11-12",113.75
"123","2013-11-13",112.139999
"124","2013-11-14",115.290001
"125","2013-11-15",114.029999
"126","2013-11-18",112.699997
"127","2013-11-19",108.57
"128","2013-11-20",110.669998
"129","2013-11-21",111.230003
"130","2013-11-22",112.839996
"131","2013-11-25",119
"132","2013-11-26",118.370003
"133","2013-11-27",120.120003
"134","2013-11-29",122.360001
"135","2013-12-02",119.349998
"136","2013-12-03",119.419998
"137","2013-12-04",118.860001
"138","2013-12-05",115.010002
"139","2013-12-06",115.5
"140","2013-12-09",118.019997
"141","2013-12-10",125.580002
"142","2013-12-11",124.949997
"143","2013-12-12",119.839996
"144","2013-12-13",119.980003
"145","2013-12-16",126.279999
"146","2013-12-17",125.300003
"147","2013-12-18",129.009995
"148","2013-12-19",127.190002
"149","2013-12-20",129.429993
"150","2013-12-23",128.380005
"151","2013-12-24",126.209999
"152","2013-12-26",123.129997
"153","2013-12-27",122.57
"154","2013-12-30",121.379997
"155","2013-12-31",126
"156","2014-01-02",125.019997
"157","2014-01-03",126.839996
"158","2014-01-06",126.349998
"159","2014-01-07",134.330002
"160","2014-01-08",138.110001
"161","2014-01-09",139.369995
"162","2014-01-10",140.839996
"163","2014-01-13",145.880005
