"","date","BCOV"
"1","2012-02-17",14.3
"2","2012-02-21",15.15
"3","2012-02-22",14.84
"4","2012-02-23",14.95
"5","2012-02-24",15.1
"6","2012-02-27",14.85
"7","2012-02-28",15
"8","2012-02-29",14.9
"9","2012-03-01",16.5
"10","2012-03-02",16.299999
"11","2012-03-05",15.55
"12","2012-03-06",15.3
"13","2012-03-07",14.29
"14","2012-03-08",15.59
"15","2012-03-09",16.1
"16","2012-03-12",16.66
"17","2012-03-13",16.559999
"18","2012-03-14",17.639999
"19","2012-03-15",19.860001
"20","2012-03-16",21.120001
"21","2012-03-19",20.09
"22","2012-03-20",19.75
"23","2012-03-21",19.290001
"24","2012-03-22",20.370001
"25","2012-03-23",20.950001
"26","2012-03-26",21.700001
"27","2012-03-27",22.33
"28","2012-03-28",23.74
"29","2012-03-29",24.85
"30","2012-03-30",24.799999
"31","2012-04-02",23.219999
"32","2012-04-03",22.24
"33","2012-04-04",21.6
"34","2012-04-05",21.950001
"35","2012-04-09",19.82
"36","2012-04-10",19.07
"37","2012-04-11",17.68
"38","2012-04-12",18.41
"39","2012-04-13",19.309999
"40","2012-04-16",18.1
"41","2012-04-17",17.51
"42","2012-04-18",17.59
"43","2012-04-19",17.65
"44","2012-04-20",17.860001
"45","2012-04-23",17.780001
"46","2012-04-24",17.52
"47","2012-04-25",16.940001
"48","2012-04-26",18.16
"49","2012-04-27",19.73
"50","2012-04-30",18.75
"51","2012-05-01",19.83
"52","2012-05-02",18.91
"53","2012-05-03",19
"54","2012-05-04",19.309999
"55","2012-05-07",17.129999
"56","2012-05-08",16.879999
"57","2012-05-09",16.84
"58","2012-05-10",16.67
"59","2012-05-11",15.25
"60","2012-05-14",14.29
"61","2012-05-15",14.4
"62","2012-05-16",14.91
"63","2012-05-17",14.31
"64","2012-05-18",14.76
"65","2012-05-21",14.49
"66","2012-05-22",13.5
"67","2012-05-23",12.91
"68","2012-05-24",13.19
"69","2012-05-25",13.74
"70","2012-05-29",13.19
"71","2012-05-30",12.47
"72","2012-05-31",12.68
"73","2012-06-01",12.35
"74","2012-06-04",12.41
"75","2012-06-05",12.93
"76","2012-06-06",13.22
"77","2012-06-07",14.02
"78","2012-06-08",14.73
"79","2012-06-11",14.46
"80","2012-06-12",15.12
"81","2012-06-13",15.16
"82","2012-06-14",14.62
"83","2012-06-15",15.23
"84","2012-06-18",15.47
"85","2012-06-19",16.02
"86","2012-06-20",15.79
"87","2012-06-21",15
"88","2012-06-22",15.83
"89","2012-06-25",15.71
"90","2012-06-26",15.99
"91","2012-06-27",16.139999
"92","2012-06-28",15.34
"93","2012-06-29",15.31
"94","2012-07-02",15.99
"95","2012-07-03",16.41
"96","2012-07-05",15.63
"97","2012-07-06",14.72
"98","2012-07-09",13.79
"99","2012-07-10",13.73
"100","2012-07-11",13.85
"101","2012-07-12",12.98
"102","2012-07-13",13.79
"103","2012-07-16",14.34
"104","2012-07-17",14.98
"105","2012-07-18",15.05
"106","2012-07-19",15.04
"107","2012-07-20",15.87
"108","2012-07-23",15.51
"109","2012-07-24",14.94
"110","2012-07-25",14.68
"111","2012-07-26",15.04
"112","2012-07-27",16.200001
"113","2012-07-30",14.89
"114","2012-07-31",14.81
"115","2012-08-01",13.68
"116","2012-08-02",13.46
"117","2012-08-03",13.96
"118","2012-08-06",14.74
"119","2012-08-07",15.25
"120","2012-08-08",14.94
