"","date","ENIC"
"1","2016-04-21",6.55
"2","2016-04-22",6.7
"3","2016-04-25",6.48
"4","2016-04-26",6.34
"5","2016-04-27",6.18
"6","2016-04-28",6.11
"7","2016-04-29",6.37
"8","2016-05-02",6.14
"9","2016-05-03",6.2
"10","2016-05-04",6.04
"11","2016-05-05",6.02
"12","2016-05-06",5.96
"13","2016-05-09",5.9
"14","2016-05-10",5.9
"15","2016-05-11",5.93
"16","2016-05-12",5.92
"17","2016-05-13",5.65
"18","2016-05-16",5.55
"19","2016-05-17",5.63
"20","2016-05-18",5.45
"21","2016-05-19",5.45
"22","2016-05-20",5.42
"23","2016-05-23",5.31
"24","2016-05-24",5.36
"25","2016-05-25",5.57
"26","2016-05-26",5.55
"27","2016-05-27",5.56
"28","2016-05-31",5.68
"29","2016-06-01",5.73
"30","2016-06-02",5.68
"31","2016-06-03",5.74
"32","2016-06-06",5.73
"33","2016-06-07",5.75
"34","2016-06-08",5.79
"35","2016-06-09",5.67
"36","2016-06-10",5.53
"37","2016-06-13",5.47
"38","2016-06-14",5.38
"39","2016-06-15",5.45
"40","2016-06-16",5.46
"41","2016-06-17",5.59
"42","2016-06-20",5.68
"43","2016-06-21",5.6
"44","2016-06-22",5.64
"45","2016-06-23",5.74
"46","2016-06-24",5.65
"47","2016-06-27",5.51
"48","2016-06-28",5.75
"49","2016-06-29",5.77
"50","2016-06-30",5.83
"51","2016-07-01",5.75
"52","2016-07-05",5.74
"53","2016-07-06",5.82
"54","2016-07-07",5.71
"55","2016-07-08",5.63
"56","2016-07-11",5.74
"57","2016-07-12",5.76
"58","2016-07-13",5.78
"59","2016-07-14",5.79
"60","2016-07-15",5.79
"61","2016-07-18",5.92
"62","2016-07-19",5.86
"63","2016-07-20",5.78
"64","2016-07-21",5.82
"65","2016-07-22",5.85
"66","2016-07-25",5.81
"67","2016-07-26",5.76
"68","2016-07-27",5.7
"69","2016-07-28",5.73
"70","2016-07-29",5.74
"71","2016-08-01",5.73
"72","2016-08-02",5.75
"73","2016-08-03",5.87
"74","2016-08-04",5.88
"75","2016-08-05",5.91
"76","2016-08-08",5.99
"77","2016-08-09",5.96
"78","2016-08-10",5.95
"79","2016-08-11",5.96
"80","2016-08-12",5.85
"81","2016-08-15",5.7
"82","2016-08-16",5.53
"83","2016-08-17",5.27
"84","2016-08-18",5.46
"85","2016-08-19",5.38
"86","2016-08-22",5.46
"87","2016-08-23",5.46
"88","2016-08-24",5.49
"89","2016-08-25",5.56
"90","2016-08-26",5.49
"91","2016-08-29",5.48
"92","2016-08-30",5.52
"93","2016-08-31",5.42
"94","2016-09-01",5.35
"95","2016-09-02",5.42
"96","2016-09-06",5.38
"97","2016-09-07",5.34
"98","2016-09-08",5.33
"99","2016-09-09",5.25
"100","2016-09-12",5.31
"101","2016-09-13",5.18
"102","2016-09-14",5.1
"103","2016-09-15",5.07
"104","2016-09-16",5.05
"105","2016-09-19",4.98
"106","2016-09-20",5.12
"107","2016-09-21",5.25
"108","2016-09-22",5.24
"109","2016-09-23",5.18
"110","2016-09-26",4.99
"111","2016-09-27",4.88
"112","2016-09-28",4.9
"113","2016-09-29",4.71
"114","2016-09-30",4.75
"115","2016-10-03",4.79
"116","2016-10-04",4.77
"117","2016-10-05",4.86
"118","2016-10-06",4.86
"119","2016-10-07",4.9
"120","2016-10-10",4.85
"121","2016-10-11",4.86
"122","2016-10-12",4.97
"123","2016-10-13",4.96
"124","2016-10-14",5.07
"125","2016-10-17",5.07
"126","2016-10-18",5.14
"127","2016-10-19",5.12
"128","2016-10-20",5.01
"129","2016-10-21",5.08
"130","2016-10-24",5.04
"131","2016-10-25",4.99
"132","2016-10-26",4.94
"133","2016-10-27",4.9
"134","2016-10-28",4.96
"135","2016-10-31",4.97
"136","2016-11-01",5.04
"137","2016-11-02",5.17
"138","2016-11-03",5.15
"139","2016-11-04",5.12
"140","2016-11-07",5.14
"141","2016-11-08",5.19
"142","2016-11-09",5.17
"143","2016-11-10",4.98
"144","2016-11-11",4.8
"145","2016-11-14",4.55
"146","2016-11-15",4.53
"147","2016-11-16",4.56
"148","2016-11-17",4.44
"149","2016-11-18",4.56
"150","2016-11-21",4.48
"151","2016-11-22",4.49
"152","2016-11-23",4.7
"153","2016-11-25",4.64
"154","2016-11-28",4.59
"155","2016-11-29",4.71
"156","2016-11-30",4.71
"157","2016-12-01",4.75
"158","2016-12-02",4.92
"159","2016-12-05",4.74
"160","2016-12-06",4.68
"161","2016-12-07",4.71
"162","2016-12-08",4.75
"163","2016-12-09",4.77
"164","2016-12-12",4.8
"165","2016-12-13",4.83
"166","2016-12-14",4.64
"167","2016-12-15",4.66
"168","2016-12-16",4.61
"169","2016-12-19",4.68
"170","2016-12-20",4.59
"171","2016-12-21",4.53
"172","2016-12-22",4.62
"173","2016-12-23",4.4
"174","2016-12-27",4.39
"175","2016-12-28",4.56
"176","2016-12-29",4.57
"177","2016-12-30",4.55
"178","2017-01-03",4.62
"179","2017-01-04",4.51
"180","2017-01-05",4.64
"181","2017-01-06",4.58
"182","2017-01-09",4.61
"183","2017-01-10",4.54
"184","2017-01-11",4.73
"185","2017-01-12",4.78
"186","2017-01-13",4.79
"187","2017-01-17",4.74
"188","2017-01-18",4.79
"189","2017-01-19",5.08
"190","2017-01-20",5.1
"191","2017-01-23",5
"192","2017-01-24",5.01
"193","2017-01-25",5.19
"194","2017-01-26",5.12
"195","2017-01-27",5
"196","2017-01-30",4.85
"197","2017-01-31",4.82
"198","2017-02-01",4.67
"199","2017-02-02",4.71
"200","2017-02-03",4.88
"201","2017-02-06",4.81
"202","2017-02-07",4.81
"203","2017-02-08",4.91
"204","2017-02-09",4.88
"205","2017-02-10",4.92
"206","2017-02-13",5.03
"207","2017-02-14",5.35
"208","2017-02-15",5.13
"209","2017-02-16",5.11
"210","2017-02-17",5.07
"211","2017-02-21",5.16
"212","2017-02-22",5
"213","2017-02-23",5
"214","2017-02-24",5.02
"215","2017-02-27",5.05
"216","2017-02-28",5.05
"217","2017-03-01",5.01
"218","2017-03-02",4.9
"219","2017-03-03",4.98
"220","2017-03-06",5.02
"221","2017-03-07",5.13
"222","2017-03-08",5.02
"223","2017-03-09",4.92
"224","2017-03-10",4.98
"225","2017-03-13",5.12
"226","2017-03-14",5.05
"227","2017-03-15",5.05
"228","2017-03-16",5.24
"229","2017-03-17",5.16
"230","2017-03-20",5.19
"231","2017-03-21",5.14
"232","2017-03-22",5.1
"233","2017-03-23",5.18
"234","2017-03-24",5.22
"235","2017-03-27",5.23
"236","2017-03-28",5.41
"237","2017-03-29",5.39
"238","2017-03-30",5.5
"239","2017-03-31",5.5
"240","2017-04-03",5.61
"241","2017-04-04",5.51
"242","2017-04-05",5.57
"243","2017-04-06",5.64
"244","2017-04-07",5.61
"245","2017-04-10",5.59
"246","2017-04-11",5.61
"247","2017-04-12",5.59
"248","2017-04-13",5.53
"249","2017-04-17",5.65
"250","2017-04-18",5.5
"251","2017-04-19",5.5
"252","2017-04-20",5.4
"253","2017-04-21",5.35
"254","2017-04-24",5.45
"255","2017-04-25",5.42
"256","2017-04-26",5.6
"257","2017-04-27",5.55
"258","2017-04-28",5.46
"259","2017-05-01",5.41
"260","2017-05-02",5.53
"261","2017-05-03",5.46
"262","2017-05-04",5.39
"263","2017-05-05",5.42
"264","2017-05-08",5.33
"265","2017-05-09",5.41
"266","2017-05-10",5.44
"267","2017-05-11",5.5
"268","2017-05-12",5.55
"269","2017-05-15",5.64
"270","2017-05-16",5.63
"271","2017-05-17",5.47
"272","2017-05-18",5.4
"273","2017-05-19",5.51
"274","2017-05-22",5.48
"275","2017-05-23",5.54
"276","2017-05-24",5.61
"277","2017-05-25",5.65
"278","2017-05-26",5.58
"279","2017-05-30",5.61
"280","2017-05-31",5.46
"281","2017-06-01",5.61
"282","2017-06-02",5.6
"283","2017-06-05",5.62
"284","2017-06-06",5.62
"285","2017-06-07",5.59
"286","2017-06-08",5.58
"287","2017-06-09",5.58
"288","2017-06-12",5.54
"289","2017-06-13",5.53
"290","2017-06-14",5.52
"291","2017-06-15",5.51
"292","2017-06-16",5.53
"293","2017-06-19",5.58
"294","2017-06-20",5.53
"295","2017-06-21",5.58
"296","2017-06-22",5.58
"297","2017-06-23",5.58
"298","2017-06-26",5.55
"299","2017-06-27",5.55
"300","2017-06-28",5.5
"301","2017-06-29",5.43
"302","2017-06-30",5.5
"303","2017-07-03",5.5
"304","2017-07-05",5.53
"305","2017-07-06",5.5
"306","2017-07-07",5.52
"307","2017-07-10",5.63
"308","2017-07-11",5.63
"309","2017-07-12",5.65
"310","2017-07-13",5.71
"311","2017-07-14",5.73
"312","2017-07-17",5.78
"313","2017-07-18",5.8
"314","2017-07-19",5.67
