"","date","XAIR"
"1","2018-06-12",2.95
"2","2018-06-13",3
"3","2018-06-14",3.1
"4","2018-06-15",3.6
"5","2018-06-18",3.48
"6","2018-06-19",3.4
"7","2018-06-20",3.21
"8","2018-06-21",3.1
"9","2018-06-22",3.34
"10","2018-06-25",3.34
"11","2018-06-26",3.6
"12","2018-06-27",3.55
"13","2018-06-28",3.5
"14","2018-06-29",3.45
"15","2018-07-02",3.9
"16","2018-07-03",4
"17","2018-07-05",4
"18","2018-07-06",4.15
"19","2018-07-09",4
"20","2018-07-10",3.95
"21","2018-07-11",3.99
"22","2018-07-12",3.99
"23","2018-07-13",3.99
"24","2018-07-16",4
"25","2018-07-17",3.8
"26","2018-07-18",3.85
"27","2018-07-19",3.6
"28","2018-07-20",3.44
"29","2018-07-23",3.6
"30","2018-07-24",3.5
"31","2018-07-25",3.6
"32","2018-07-26",3.31
"33","2018-07-27",3.6
"34","2018-07-30",3.6
"35","2018-07-31",3.6
"36","2018-08-01",3.6
"37","2018-08-02",3.75
"38","2018-08-03",3.75
"39","2018-08-06",3.5
"40","2018-08-07",3.45
"41","2018-08-08",3.45
"42","2018-08-09",3.16
"43","2018-08-10",3.25
"44","2018-08-13",3.95
"45","2018-08-14",3.8
"46","2018-08-15",3.8
"47","2018-08-16",3.8
"48","2018-08-17",3.6
"49","2018-08-20",3.8
"50","2018-08-21",3.99
"51","2018-08-22",3.99
"52","2018-08-23",3.51
"53","2018-08-24",3.8
"54","2018-08-27",3.7
"55","2018-08-28",3.6
"56","2018-08-29",3.6
"57","2018-08-30",3.6
"58","2018-08-31",3.59
"59","2018-09-04",3.69
"60","2018-09-05",3.61
"61","2018-09-06",3.74
"62","2018-09-07",3.93
"63","2018-09-10",3.85
"64","2018-09-11",3.73
"65","2018-09-12",3.8
"66","2018-09-13",3.95
"67","2018-09-14",4.2
"68","2018-09-17",4
"69","2018-09-18",4
"70","2018-09-19",4
"71","2018-09-20",4.28
"72","2018-09-21",4.32
"73","2018-09-24",4.4
"74","2018-09-25",4.4
"75","2018-09-26",4.5
"76","2018-09-27",4.5
"77","2018-09-28",4.35
"78","2018-10-01",4.15
"79","2018-10-02",4.15
"80","2018-10-03",4.6
"81","2018-10-04",4.6
"82","2018-10-05",4.6
"83","2018-10-08",4.9
"84","2018-10-09",4.88
"85","2018-10-10",4.8
"86","2018-10-11",4.4
"87","2018-10-12",4.8
