"","date","ORBC"
"1","2007-01-03",9
"2","2007-01-04",9.49
"3","2007-01-05",9.43
"4","2007-01-08",9.49
"5","2007-01-09",9.47
"6","2007-01-10",9.26
"7","2007-01-11",9.5
"8","2007-01-12",9.55
"9","2007-01-16",9.43
"10","2007-01-17",9.66
"11","2007-01-18",9.61
"12","2007-01-19",10.11
"13","2007-01-22",10.48
"14","2007-01-23",10.62
"15","2007-01-24",11
"16","2007-01-25",11.33
"17","2007-01-26",12.15
"18","2007-01-29",12.99
"19","2007-01-30",12.47
"20","2007-01-31",12.11
"21","2007-02-01",11.57
"22","2007-02-02",11.58
"23","2007-02-05",12.67
"24","2007-02-06",13.1
"25","2007-02-07",13.17
"26","2007-02-08",12.9
"27","2007-02-09",12.98
"28","2007-02-12",12.83
"29","2007-02-13",13.48
"30","2007-02-14",13.21
"31","2007-02-15",12.75
"32","2007-02-16",12.95
"33","2007-02-20",13.15
"34","2007-02-21",13.39
"35","2007-02-22",13.97
"36","2007-02-23",13.84
"37","2007-02-26",13.81
"38","2007-02-27",13
"39","2007-02-28",12.88
"40","2007-03-01",12.87
"41","2007-03-02",12.73
"42","2007-03-05",12
"43","2007-03-06",12.3
"44","2007-03-07",12.27
"45","2007-03-08",12.15
"46","2007-03-09",12.16
"47","2007-03-12",12.09
"48","2007-03-13",12.12
"49","2007-03-14",12.25
"50","2007-03-15",12
"51","2007-03-16",11.79
"52","2007-03-19",12.29
"53","2007-03-20",12.8
"54","2007-03-21",13.4
"55","2007-03-22",13.15
"56","2007-03-23",13.03
"57","2007-03-26",12.92
"58","2007-03-27",12.81
"59","2007-03-28",12.97
"60","2007-03-29",12.7
"61","2007-03-30",12.75
"62","2007-04-02",12.89
"63","2007-04-03",13.26
"64","2007-04-04",13.5
"65","2007-04-05",13.67
"66","2007-04-09",13.62
"67","2007-04-10",13.48
"68","2007-04-11",13.2
"69","2007-04-12",13.44
"70","2007-04-13",13.44
"71","2007-04-16",13.22
"72","2007-04-17",13.37
"73","2007-04-18",13.02
"74","2007-04-19",13.42
"75","2007-04-20",13.73
"76","2007-04-23",13.52
"77","2007-04-24",13.06
"78","2007-04-25",13
"79","2007-04-26",13
"80","2007-04-27",12.8
"81","2007-04-30",11.57
"82","2007-05-01",12.2
"83","2007-05-02",12.64
"84","2007-05-03",13.07
"85","2007-05-04",13.06
"86","2007-05-07",12.96
"87","2007-05-08",13.01
"88","2007-05-09",12.99
"89","2007-05-10",12.5
"90","2007-05-11",12.41
"91","2007-05-14",12.61
"92","2007-05-15",12.42
"93","2007-05-16",12.5
"94","2007-05-17",12.41
"95","2007-05-18",12.3
"96","2007-05-21",12.32
"97","2007-05-22",12.25
"98","2007-05-23",12.39
"99","2007-05-24",11.62
"100","2007-05-25",13.84
"101","2007-05-29",13.92
"102","2007-05-30",14.94
"103","2007-05-31",15.9
"104","2007-06-01",15.39
"105","2007-06-04",15.46
"106","2007-06-05",15.18
"107","2007-06-06",14.86
"108","2007-06-07",14.92
"109","2007-06-08",15.34
"110","2007-06-11",15.38
"111","2007-06-12",15.13
"112","2007-06-13",15.89
"113","2007-06-14",16.4
"114","2007-06-15",16.200001
"115","2007-06-18",16.09
"116","2007-06-19",16.110001
"117","2007-06-20",15.96
"118","2007-06-21",16.41
"119","2007-06-22",16.41
"120","2007-06-25",16.190001
"121","2007-06-26",16.5
"122","2007-06-27",17.129999
"123","2007-06-28",16.76
"124","2007-06-29",16.41
"125","2007-07-02",16.5
"126","2007-07-03",16.280001
"127","2007-07-05",15.62
"128","2007-07-06",16.26
"129","2007-07-09",16.450001
"130","2007-07-10",16.219999
"131","2007-07-11",16.23
"132","2007-07-12",16.780001
"133","2007-07-13",16.82
"134","2007-07-16",16.67
"135","2007-07-17",16.450001
"136","2007-07-18",16.15
"137","2007-07-19",16
"138","2007-07-20",15.95
"139","2007-07-23",16.35
"140","2007-07-24",16.07
"141","2007-07-25",16.049999
"142","2007-07-26",15.45
"143","2007-07-27",14.91
"144","2007-07-30",15.25
"145","2007-07-31",15.34
"146","2007-08-01",15.07
"147","2007-08-02",14.74
"148","2007-08-03",13.63
"149","2007-08-06",13.8
"150","2007-08-07",14.98
"151","2007-08-08",14.39
"152","2007-08-09",12.02
"153","2007-08-10",12.01
"154","2007-08-13",11.18
"155","2007-08-14",7.86
"156","2007-08-15",8
"157","2007-08-16",8.14
"158","2007-08-17",7.84
"159","2007-08-20",8
"160","2007-08-21",7.98
"161","2007-08-22",8.38
"162","2007-08-23",8.03
"163","2007-08-24",8.28
"164","2007-08-27",8.55
"165","2007-08-28",8.54
"166","2007-08-29",9.05
"167","2007-08-30",8.72
"168","2007-08-31",8.09
"169","2007-09-04",8.3
"170","2007-09-05",8.05
"171","2007-09-06",8.33
"172","2007-09-07",8.13
"173","2007-09-10",8.05
"174","2007-09-11",8.1
"175","2007-09-12",8
"176","2007-09-13",8.01
"177","2007-09-14",7.94
"178","2007-09-17",7.84
"179","2007-09-18",8.12
"180","2007-09-19",8.39
"181","2007-09-20",7.86
"182","2007-09-21",7.95
"183","2007-09-24",7.87
"184","2007-09-25",7.49
"185","2007-09-26",7.5
"186","2007-09-27",7.69
"187","2007-09-28",7.53
"188","2007-10-01",7.88
"189","2007-10-02",8.14
"190","2007-10-03",8.1
"191","2007-10-04",7.86
"192","2007-10-05",8.31
"193","2007-10-08",8.21
"194","2007-10-09",8.51
"195","2007-10-10",8.66
"196","2007-10-11",8.31
"197","2007-10-12",8.4
"198","2007-10-15",8.18
"199","2007-10-16",8.18
"200","2007-10-17",8.16
"201","2007-10-18",8.1
"202","2007-10-19",7.71
"203","2007-10-22",7.71
"204","2007-10-23",7.71
"205","2007-10-24",7.4
"206","2007-10-25",7.17
"207","2007-10-26",7.89
"208","2007-10-29",8.11
"209","2007-10-30",8.1
"210","2007-10-31",8.25
"211","2007-11-01",7.98
"212","2007-11-02",8.2
"213","2007-11-05",8.17
"214","2007-11-06",8.18
"215","2007-11-07",7.48
"216","2007-11-08",7.11
"217","2007-11-09",6.41
"218","2007-11-12",6.02
"219","2007-11-13",6.38
"220","2007-11-14",6.52
"221","2007-11-15",6.5
"222","2007-11-16",6.65
"223","2007-11-19",6.53
"224","2007-11-20",6.44
"225","2007-11-21",6.45
