"","date","ANDAU"
"1","2019-01-29",10.005
"2","2019-01-30",10.03
"3","2019-01-31",10.05
"4","2019-02-01",10.07
"5","2019-02-04",10.066
"6","2019-02-05",10.052
"7","2019-02-06",10.056
"8","2019-02-07",10.05
"9","2019-02-08",10.05
"10","2019-02-11",10.06
"11","2019-02-12",10.05
"12","2019-02-13",10.05
"13","2019-02-14",10.05
"14","2019-02-15",10.06
"15","2019-02-19",10.06
"16","2019-02-20",10.09
"17","2019-02-21",10.09
"18","2019-02-22",10.09
"19","2019-02-25",10.07
"20","2019-02-26",10.07
"21","2019-02-27",10.07
"22","2019-02-28",10.05
"23","2019-03-01",10.05
"24","2019-03-04",10.05
"25","2019-03-05",10.08
"26","2019-03-06",10.13
"27","2019-03-07",10.14
"28","2019-03-08",10.11
"29","2019-03-11",10.11
"30","2019-03-12",10.11
"31","2019-03-13",10.11
"32","2019-03-14",10.11
"33","2019-03-15",10.1
"34","2019-03-18",10.13
"35","2019-03-19",10.13
"36","2019-03-20",10.15
"37","2019-03-21",10.14
"38","2019-03-22",10.13
"39","2019-03-25",10.141
"40","2019-03-26",10.16
"41","2019-03-27",10.16
"42","2019-03-28",10.133
"43","2019-03-29",10.1
"44","2019-04-01",10.18
"45","2019-04-02",10.18
"46","2019-04-03",10.2
"47","2019-04-04",10.2
"48","2019-04-05",10.19
"49","2019-04-08",10.21
"50","2019-04-09",10.213
"51","2019-04-10",10.2
"52","2019-04-11",10.21
"53","2019-04-12",10.21
"54","2019-04-15",10.2
"55","2019-04-16",10.2
"56","2019-04-17",10.22
"57","2019-04-18",10.23
"58","2019-04-22",10.24
"59","2019-04-23",10.27
"60","2019-04-24",10.267
"61","2019-04-25",10.27
"62","2019-04-26",10.12
"63","2019-04-29",10.21
"64","2019-04-30",10.28
"65","2019-05-01",10.28
"66","2019-05-02",10.28
"67","2019-05-03",10.28
"68","2019-05-06",10.28
"69","2019-05-07",10.23
"70","2019-05-08",10.22
"71","2019-05-09",10.22
"72","2019-05-10",10.24
"73","2019-05-13",10.22
"74","2019-05-14",10.2
"75","2019-05-15",10.23
"76","2019-05-16",10.24
"77","2019-05-17",10.25
"78","2019-05-20",10.27
"79","2019-05-21",10.25
"80","2019-05-22",10.25
"81","2019-05-23",10.25
"82","2019-05-24",10.25
"83","2019-05-28",10.25
"84","2019-05-29",10.27
"85","2019-05-30",10.27
"86","2019-05-31",11.03
"87","2019-06-03",10.3
"88","2019-06-04",10.3
"89","2019-06-05",10.3
"90","2019-06-06",10.3
"91","2019-06-07",10.29
"92","2019-06-10",10.29
"93","2019-06-11",10.29
"94","2019-06-12",10.29
"95","2019-06-13",10.29
"96","2019-06-14",10.29
"97","2019-06-17",10.282
"98","2019-06-18",10.282
"99","2019-06-19",10.28
"100","2019-06-20",10.28
"101","2019-06-21",10.28
"102","2019-06-24",10.3
"103","2019-06-25",10.3
"104","2019-06-26",10.29
"105","2019-06-27",10.3
"106","2019-06-28",10.28
"107","2019-07-01",10.28
"108","2019-07-02",10.28
"109","2019-07-03",10.28
"110","2019-07-05",10.28
"111","2019-07-08",10.28
"112","2019-07-09",10.28
"113","2019-07-10",10.28
"114","2019-07-11",10.28
"115","2019-07-12",10.28
"116","2019-07-15",10.28
"117","2019-07-16",10.3
