"","date","EVOP"
"1","2018-05-23",19.02
"2","2018-05-24",19.5
"3","2018-05-25",19.879999
"4","2018-05-29",19.860001
"5","2018-05-30",20.57
"6","2018-05-31",21.48
"7","2018-06-01",21.92
"8","2018-06-04",21.27
"9","2018-06-05",21
"10","2018-06-06",20.969999
"11","2018-06-07",20.82
"12","2018-06-08",20.48
"13","2018-06-11",20.190001
"14","2018-06-12",20
"15","2018-06-13",21.15
"16","2018-06-14",22.02
"17","2018-06-15",23
"18","2018-06-18",22.200001
"19","2018-06-19",22.700001
"20","2018-06-20",22.200001
"21","2018-06-21",21.26
"22","2018-06-22",21.110001
"23","2018-06-25",20.9
"24","2018-06-26",21.049999
"25","2018-06-27",20.59
"26","2018-06-28",20.48
"27","2018-06-29",20.58
"28","2018-07-02",20.17
"29","2018-07-03",19.84
"30","2018-07-05",20.290001
"31","2018-07-06",20.120001
"32","2018-07-09",20.790001
"33","2018-07-10",20.639999
"34","2018-07-11",21
"35","2018-07-12",21.5
"36","2018-07-13",21.84
"37","2018-07-16",21.58
"38","2018-07-17",22.18
"39","2018-07-18",22.809999
"40","2018-07-19",23.01
"41","2018-07-20",22.82
"42","2018-07-23",22.98
"43","2018-07-24",22.620001
"44","2018-07-25",23.190001
"45","2018-07-26",24.200001
"46","2018-07-27",23.280001
"47","2018-07-30",21.98
"48","2018-07-31",21.15
"49","2018-08-01",21.6
"50","2018-08-02",21.639999
"51","2018-08-03",21.51
"52","2018-08-06",22.48
"53","2018-08-07",21.9
"54","2018-08-08",20.17
"55","2018-08-09",20.49
"56","2018-08-10",20.59
"57","2018-08-13",20.559999
"58","2018-08-14",20.610001
"59","2018-08-15",21.24
"60","2018-08-16",21.16
"61","2018-08-17",21.65
"62","2018-08-20",21.610001
"63","2018-08-21",21.84
"64","2018-08-22",21.98
"65","2018-08-23",22.91
"66","2018-08-24",22.030001
"67","2018-08-27",22.6
"68","2018-08-28",23.24
"69","2018-08-29",23.139999
"70","2018-08-30",23.299999
"71","2018-08-31",23.52
"72","2018-09-04",24.200001
"73","2018-09-05",24.48
"74","2018-09-06",24.120001
"75","2018-09-07",24.299999
"76","2018-09-10",24.09
"77","2018-09-11",24.25
"78","2018-09-12",25.91
"79","2018-09-13",26.629999
"80","2018-09-14",26.76
"81","2018-09-17",26.67
"82","2018-09-18",26.24
"83","2018-09-19",25.129999
"84","2018-09-20",25.34
"85","2018-09-21",25.74
"86","2018-09-24",25.41
"87","2018-09-25",25.02
"88","2018-09-26",24.48
"89","2018-09-27",24.18
"90","2018-09-28",23.9
"91","2018-10-01",24.35
"92","2018-10-02",23.950001
"93","2018-10-03",24.58
"94","2018-10-04",24.620001
"95","2018-10-05",25.530001
"96","2018-10-08",24.4
"97","2018-10-09",23.959999
"98","2018-10-10",23.51
"99","2018-10-11",23.540001
"100","2018-10-12",23.43
"101","2018-10-15",23.1
"102","2018-10-16",24.25
"103","2018-10-17",24.85
"104","2018-10-18",24.290001
"105","2018-10-19",24.280001
"106","2018-10-22",24.309999
