"","date","GDDY"
"1","2015-03-31",20
"2","2015-04-01",26.15
"3","2015-04-02",26.5
"4","2015-04-06",25.799999
"5","2015-04-07",25.24
"6","2015-04-08",25.15
"7","2015-04-09",26.32
"8","2015-04-10",25.290001
"9","2015-04-13",25.370001
"10","2015-04-14",25.799999
"11","2015-04-15",25.120001
"12","2015-04-16",24.780001
"13","2015-04-17",25.16
"14","2015-04-20",25.139999
"15","2015-04-21",24.780001
"16","2015-04-22",24.77
"17","2015-04-23",25.049999
"18","2015-04-24",25.629999
"19","2015-04-27",26.16
"20","2015-04-28",25.15
"21","2015-04-29",24.879999
"22","2015-04-30",25.07
"23","2015-05-01",25.959999
"24","2015-05-04",25.98
"25","2015-05-05",25.42
"26","2015-05-06",24.540001
"27","2015-05-07",24.809999
"28","2015-05-08",24.879999
"29","2015-05-11",25.68
"30","2015-05-12",26.77
"31","2015-05-13",26.5
"32","2015-05-14",26.23
"33","2015-05-15",26.51
"34","2015-05-18",26.23
"35","2015-05-19",25.940001
"36","2015-05-20",26.379999
"37","2015-05-21",25.6
"38","2015-05-22",26.1
"39","2015-05-26",26.42
"40","2015-05-27",26.98
"41","2015-05-28",26.66
"42","2015-05-29",26.93
"43","2015-06-01",27.09
"44","2015-06-02",27.629999
"45","2015-06-03",28.91
"46","2015-06-04",28.92
"47","2015-06-05",28.690001
"48","2015-06-08",29.1
"49","2015-06-09",29.5
"50","2015-06-10",30.16
"51","2015-06-11",29.690001
"52","2015-06-12",29.280001
"53","2015-06-15",29.41
"54","2015-06-16",30.459999
"55","2015-06-17",30.540001
"56","2015-06-18",31.35
"57","2015-06-19",31.799999
"58","2015-06-22",31.360001
"59","2015-06-23",31.82
"60","2015-06-24",31.459999
"61","2015-06-25",31.01
"62","2015-06-26",29.540001
"63","2015-06-29",28.18
"64","2015-06-30",28.190001
"65","2015-07-01",28.290001
"66","2015-07-02",27.139999
"67","2015-07-06",27.27
"68","2015-07-07",26.83
"69","2015-07-08",26.08
"70","2015-07-09",26.610001
"71","2015-07-10",26.98
"72","2015-07-13",26.65
"73","2015-07-14",26.950001
"74","2015-07-15",26.43
"75","2015-07-16",26.690001
"76","2015-07-17",26.290001
"77","2015-07-20",26.6
"78","2015-07-21",26.65
"79","2015-07-22",26.98
"80","2015-07-23",26.91
"81","2015-07-24",26.540001
"82","2015-07-27",26.040001
"83","2015-07-28",27.120001
"84","2015-07-29",27.309999
"85","2015-07-30",27.65
"86","2015-07-31",28.440001
"87","2015-08-03",28.389999
"88","2015-08-04",28.58
"89","2015-08-05",29.469999
"90","2015-08-06",26.219999
"91","2015-08-07",26.34
"92","2015-08-10",26.219999
"93","2015-08-11",26
"94","2015-08-12",26.33
"95","2015-08-13",26.1
"96","2015-08-14",26.209999
"97","2015-08-17",27.4
"98","2015-08-18",27.219999
"99","2015-08-19",27
"100","2015-08-20",26.25
"101","2015-08-21",25.1
"102","2015-08-24",25.4
"103","2015-08-25",25.18
"104","2015-08-26",25.74
"105","2015-08-27",26.370001
"106","2015-08-28",25.91
"107","2015-08-31",25.08
"108","2015-09-01",24.92
"109","2015-09-02",24.639999
"110","2015-09-03",24.870001
"111","2015-09-04",24.690001
"112","2015-09-08",25.77
"113","2015-09-09",25.459999
"114","2015-09-10",24.709999
"115","2015-09-11",25.209999
"116","2015-09-14",25.209999
"117","2015-09-15",24.809999
"118","2015-09-16",24.25
"119","2015-09-17",25.280001
"120","2015-09-18",24.879999
"121","2015-09-21",24.620001
"122","2015-09-22",24.51
"123","2015-09-23",25.120001
"124","2015-09-24",25.610001
"125","2015-09-25",25.719999
