"","date","GRNV"
"1","2019-12-09",9.83
"2","2019-12-10",9.83
"3","2019-12-11",9.83
"4","2019-12-12",9.85
"5","2019-12-13",9.85
"6","2019-12-16",9.83
"7","2019-12-17",9.82
"8","2019-12-18",9.83
"9","2019-12-19",9.81
"10","2019-12-20",9.8
"11","2019-12-23",9.82
"12","2019-12-24",9.83
"13","2019-12-26",9.84
"14","2019-12-27",9.85
"15","2019-12-30",9.83
"16","2019-12-31",9.83
"17","2020-01-02",9.83
"18","2020-01-03",9.86
"19","2020-01-06",9.86
"20","2020-01-07",9.86
"21","2020-01-08",9.88
"22","2020-01-09",9.9
"23","2020-01-10",9.86
"24","2020-01-13",9.86
"25","2020-01-14",9.86
"26","2020-01-15",9.85
"27","2020-01-16",9.88
"28","2020-01-17",9.867
"29","2020-01-21",9.87
"30","2020-01-22",9.83
"31","2020-01-23",9.89
"32","2020-01-24",9.85
"33","2020-01-27",9.87
"34","2020-01-28",9.88
"35","2020-01-29",9.86
"36","2020-01-30",9.86
"37","2020-01-31",9.86
"38","2020-02-03",9.86
"39","2020-02-04",10.031
"40","2020-02-05",10.031
"41","2020-02-06",10.05
"42","2020-02-07",10.01
"43","2020-02-10",10.02
"44","2020-02-11",10.02
"45","2020-02-12",10.01
"46","2020-02-13",10.05
"47","2020-02-14",10.01
"48","2020-02-18",10.01
"49","2020-02-19",10.01
"50","2020-02-20",10.01
"51","2020-02-21",10.01
"52","2020-02-24",10.01
"53","2020-02-25",10
"54","2020-02-26",10
"55","2020-02-27",10
"56","2020-02-28",9.95
"57","2020-03-02",9.95
"58","2020-03-03",9.95
"59","2020-03-04",9.95
"60","2020-03-05",9.91
"61","2020-03-06",9.91
"62","2020-03-09",9.91
"63","2020-03-10",9.91
"64","2020-03-11",9.91
"65","2020-03-12",9.91
"66","2020-03-13",9.9
"67","2020-03-16",9.9
"68","2020-03-17",9.9
"69","2020-03-18",9.9
"70","2020-03-19",9.9
"71","2020-03-20",9.9
"72","2020-03-23",9.45
"73","2020-03-24",9.56
"74","2020-03-25",9.56
"75","2020-03-26",9.56
"76","2020-03-27",9.56
"77","2020-03-30",9.8
"78","2020-03-31",9.8
"79","2020-04-01",9.79
"80","2020-04-02",9.79
"81","2020-04-03",9.79
"82","2020-04-06",9.85
"83","2020-04-07",9.85
"84","2020-04-08",9.85
"85","2020-04-09",9.81
"86","2020-04-13",9.81
"87","2020-04-14",9.87
"88","2020-04-15",9.87
"89","2020-04-16",9.87
"90","2020-04-17",9.9
"91","2020-04-20",9.9
"92","2020-04-21",9.9
"93","2020-04-22",9.9
"94","2020-04-23",9.9
"95","2020-04-24",9.9
"96","2020-04-27",9.9
"97","2020-04-28",9.9
