"","date","ZSAN"
"1","2015-01-27",220.199997
"2","2015-01-28",221
"3","2015-01-29",224
"4","2015-01-30",221.800003
"5","2015-02-02",221.800003
"6","2015-02-03",221
"7","2015-02-04",221
"8","2015-02-05",220.199997
"9","2015-02-06",220
"10","2015-02-09",220.399994
"11","2015-02-10",220.800003
"12","2015-02-11",220.199997
"13","2015-02-12",220.199997
"14","2015-02-13",220
"15","2015-02-17",222
"16","2015-02-18",220.399994
"17","2015-02-19",220
"18","2015-02-20",221.800003
"19","2015-02-23",221
"20","2015-02-24",223.399994
"21","2015-02-25",222.699997
"22","2015-02-26",220.800003
"23","2015-02-27",207.600006
"24","2015-03-02",201.199997
"25","2015-03-03",197.800003
"26","2015-03-04",197.600006
"27","2015-03-05",206.399994
"28","2015-03-06",218
"29","2015-03-09",221.800003
"30","2015-03-10",214.399994
"31","2015-03-11",221.199997
"32","2015-03-12",223.399994
"33","2015-03-13",221.199997
"34","2015-03-16",221.399994
"35","2015-03-17",222
"36","2015-03-18",216.600006
"37","2015-03-19",233.399994
"38","2015-03-20",199.399994
"39","2015-03-23",199.800003
"40","2015-03-24",205.199997
"41","2015-03-25",195.399994
"42","2015-03-26",182.399994
"43","2015-03-27",180.199997
"44","2015-03-30",190.600006
"45","2015-03-31",202.199997
"46","2015-04-01",201.199997
"47","2015-04-02",206.600006
"48","2015-04-06",208.199997
"49","2015-04-07",205.199997
"50","2015-04-08",202.600006
"51","2015-04-09",198.800003
"52","2015-04-10",213.800003
"53","2015-04-13",202
"54","2015-04-14",195.100006
"55","2015-04-15",192.800003
"56","2015-04-16",196
"57","2015-04-17",187
"58","2015-04-20",185
"59","2015-04-21",181
"60","2015-04-22",177.399994
"61","2015-04-23",178
"62","2015-04-24",176
"63","2015-04-27",182.600006
"64","2015-04-28",186.600006
"65","2015-04-29",186
"66","2015-04-30",185.399994
"67","2015-05-01",187.399994
"68","2015-05-04",181.800003
"69","2015-05-05",182.600006
"70","2015-05-06",180
"71","2015-05-07",184.699997
"72","2015-05-08",195.339996
"73","2015-05-11",189.199997
"74","2015-05-12",190
"75","2015-05-13",188.199997
"76","2015-05-14",195.600006
"77","2015-05-15",208.199997
"78","2015-05-18",198.600006
"79","2015-05-19",194.600006
"80","2015-05-20",187
"81","2015-05-21",192
"82","2015-05-22",185.800003
"83","2015-05-26",187.399994
"84","2015-05-27",191.199997
"85","2015-05-28",173.800003
"86","2015-05-29",173.960007
"87","2015-06-01",159.800003
"88","2015-06-02",158.600006
"89","2015-06-03",159.600006
"90","2015-06-04",158.199997
"91","2015-06-05",155.399994
