"","date","GRIN"
"1","2018-06-18",17
"2","2018-06-19",17
"3","2018-06-20",17
"4","2018-06-21",17
"5","2018-06-22",17
"6","2018-06-25",15.5
"7","2018-06-26",13.5
"8","2018-06-27",19.9
"9","2018-06-28",14.4
"10","2018-06-29",17.799999
"11","2018-07-02",14.06
"12","2018-07-03",14.06
"13","2018-07-05",15.6
"14","2018-07-06",15.99
"15","2018-07-09",16
"16","2018-07-10",13.7
"17","2018-07-11",14
"18","2018-07-12",11.36
"19","2018-07-13",11.36
"20","2018-07-16",12
"21","2018-07-17",12
"22","2018-07-18",11.334
"23","2018-07-19",11.44
"24","2018-07-20",10.91
"25","2018-07-23",10.8
"26","2018-07-24",11.2
"27","2018-07-25",11.2
"28","2018-07-26",11.2
"29","2018-07-27",10.9
"30","2018-07-30",10.36
"31","2018-07-31",10.25
"32","2018-08-01",9.92
"33","2018-08-02",9.8
"34","2018-08-03",9.74
"35","2018-08-06",8.53
"36","2018-08-07",9.62
"37","2018-08-08",9.62
"38","2018-08-09",9.6
"39","2018-08-10",9
"40","2018-08-13",9.26
"41","2018-08-14",8.947
"42","2018-08-15",8.8
"43","2018-08-16",8.7
"44","2018-08-17",8.9
"45","2018-08-20",11.6
"46","2018-08-21",9.75
"47","2018-08-22",9.352
"48","2018-08-23",9.207
"49","2018-08-24",9.5
"50","2018-08-27",9.6
"51","2018-08-28",9.499
"52","2018-08-29",9.821
"53","2018-08-30",8.5
"54","2018-08-31",8.797
"55","2018-09-04",8.07
"56","2018-09-05",7.6
"57","2018-09-06",7.65
"58","2018-09-07",8.57
"59","2018-09-10",8.5
"60","2018-09-11",8.07
"61","2018-09-12",8.06
"62","2018-09-13",8.06
"63","2018-09-14",8
"64","2018-09-17",7.8
"65","2018-09-18",7.51
"66","2018-09-19",7.379
"67","2018-09-20",7.834
"68","2018-09-21",7.3
"69","2018-09-24",7.25
"70","2018-09-25",7.493
"71","2018-09-26",7.34
"72","2018-09-27",7.548
"73","2018-09-28",7.55
"74","2018-10-01",7.727
"75","2018-10-02",7.3
"76","2018-10-03",7.35
"77","2018-10-04",7.3
"78","2018-10-05",7.2
"79","2018-10-08",7.27
"80","2018-10-09",7.5
"81","2018-10-10",7.52
"82","2018-10-11",7.58
"83","2018-10-12",7.9
"84","2018-10-15",7.36
"85","2018-10-16",6.731
"86","2018-10-17",7
"87","2018-10-18",7.06
"88","2018-10-19",6.92
"89","2018-10-22",7.503
"90","2018-10-23",6.991
"91","2018-10-24",6.89
"92","2018-10-25",6.87
"93","2018-10-26",6.993
"94","2018-10-29",7.053
"95","2018-10-30",6.67
"96","2018-10-31",6.956
"97","2018-11-01",7
"98","2018-11-02",6.9
"99","2018-11-05",6.6
"100","2018-11-06",6.914
"101","2018-11-07",7.07
"102","2018-11-08",7
"103","2018-11-09",7.1
"104","2018-11-12",7.475
"105","2018-11-13",7.246
"106","2018-11-14",7
"107","2018-11-15",7.02
"108","2018-11-16",6.845
"109","2018-11-19",6.52
"110","2018-11-20",6.6
"111","2018-11-21",6.817
"112","2018-11-23",6.77
"113","2018-11-26",6.753
"114","2018-11-27",6.8
"115","2018-11-28",6.8
"116","2018-11-29",6.86
"117","2018-11-30",6.8
"118","2018-12-03",6.57
"119","2018-12-04",6.44
"120","2018-12-06",5.98
"121","2018-12-07",6.1
"122","2018-12-10",6
"123","2018-12-11",5.65
"124","2018-12-12",5.37
"125","2018-12-13",5.821
"126","2018-12-14",5.873
"127","2018-12-17",5.63
