"","date","SNAP"
"1","2017-03-02",24.48
"2","2017-03-03",27.09
"3","2017-03-06",23.77
"4","2017-03-07",21.440001
"5","2017-03-08",22.809999
"6","2017-03-09",22.709999
"7","2017-03-10",22.07
"8","2017-03-13",21.09
"9","2017-03-14",20.58
"10","2017-03-15",20.77
"11","2017-03-16",19.889999
"12","2017-03-17",19.540001
"13","2017-03-20",19.93
"14","2017-03-21",20.379999
"15","2017-03-22",21.82
"16","2017-03-23",23.129999
"17","2017-03-24",22.74
"18","2017-03-27",23.83
"19","2017-03-28",22.209999
"20","2017-03-29",22.549999
"21","2017-03-30",22.23
"22","2017-03-31",22.530001
"23","2017-04-03",22.35
"24","2017-04-04",22.139999
"25","2017-04-05",20.700001
"26","2017-04-06",20.57
"27","2017-04-07",20.82
"28","2017-04-10",20.969999
"29","2017-04-11",20.700001
"30","2017-04-12",20.219999
"31","2017-04-13",20.190001
"32","2017-04-17",19.940001
"33","2017-04-18",20.549999
"34","2017-04-19",20.620001
"35","2017-04-20",21.15
"36","2017-04-21",20.93
"37","2017-04-24",21.200001
"38","2017-04-25",21.34
"39","2017-04-26",21.58
"40","2017-04-27",22.01
"41","2017-04-28",22.549999
"42","2017-05-01",22.209999
"43","2017-05-02",21.99
"44","2017-05-03",21.82
"45","2017-05-04",22.59
"46","2017-05-05",23.190001
"47","2017-05-08",22.459999
"48","2017-05-09",23.32
"49","2017-05-10",22.98
"50","2017-05-11",18.049999
"51","2017-05-12",19.139999
"52","2017-05-15",20.74
"53","2017-05-16",20.780001
"54","2017-05-17",19.9
"55","2017-05-18",20.27
"56","2017-05-19",20
"57","2017-05-22",20.08
"58","2017-05-23",20.030001
"59","2017-05-24",20.530001
"60","2017-05-25",21.93
"61","2017-05-26",21.219999
"62","2017-05-30",21.450001
"63","2017-05-31",21.209999
"64","2017-06-01",21.34
"65","2017-06-02",21.09
"66","2017-06-05",20.209999
"67","2017-06-06",20.360001
"68","2017-06-07",19.559999
"69","2017-06-08",18.85
"70","2017-06-09",18.08
"71","2017-06-12",18.200001
"72","2017-06-13",18.1
"73","2017-06-14",17.879999
"74","2017-06-15",17
"75","2017-06-16",17.540001
"76","2017-06-19",17.879999
"77","2017-06-20",17.309999
"78","2017-06-21",17.27
"79","2017-06-22",17.639999
"80","2017-06-23",17.540001
"81","2017-06-26",17.290001
"82","2017-06-27",17.34
"83","2017-06-28",17.76
"84","2017-06-29",17.889999
"85","2017-06-30",17.77
"86","2017-07-03",17.59
"87","2017-07-05",17.32
"88","2017-07-06",17.309999
"89","2017-07-07",17.18
"90","2017-07-10",16.99
"91","2017-07-11",15.47
"92","2017-07-12",15.24
"93","2017-07-13",15.69
"94","2017-07-14",15.27
"95","2017-07-17",15.13
"96","2017-07-18",14.73
"97","2017-07-19",14.97
"98","2017-07-20",14.89
"99","2017-07-21",14.48
"100","2017-07-24",14.08
"101","2017-07-25",13.89
"102","2017-07-26",13.4
"103","2017-07-27",14
"104","2017-07-28",13.81
"105","2017-07-31",13.67
"106","2017-08-01",13.1
"107","2017-08-02",12.65
"108","2017-08-03",12.93
"109","2017-08-04",13.52
"110","2017-08-07",13.39
"111","2017-08-08",13.02
"112","2017-08-09",13.56
"113","2017-08-10",13.77
"114","2017-08-11",11.83
"115","2017-08-14",12.6
"116","2017-08-15",12.74
"117","2017-08-16",13.12
"118","2017-08-17",13.35
"119","2017-08-18",14.01
"120","2017-08-21",13.58
"121","2017-08-22",14.53
"122","2017-08-23",15.09
"123","2017-08-24",14.53
"124","2017-08-25",14.78
"125","2017-08-28",15.19
"126","2017-08-29",14.99
"127","2017-08-30",14.96
"128","2017-08-31",14.51
"129","2017-09-01",14.27
"130","2017-09-05",14.49
"131","2017-09-06",14.5
"132","2017-09-07",15.15
"133","2017-09-08",15.34
"134","2017-09-11",15.27
"135","2017-09-12",15.13
"136","2017-09-13",15.03
"137","2017-09-14",14.91
"138","2017-09-15",15.25
"139","2017-09-18",14.92
"140","2017-09-19",14.72
"141","2017-09-20",14.16
"142","2017-09-21",13.77
"143","2017-09-22",13.7
"144","2017-09-25",13.22
"145","2017-09-26",13.91
"146","2017-09-27",14.12
"147","2017-09-28",14.45
"148","2017-09-29",14.54
"149","2017-10-02",14.88
"150","2017-10-03",14.64
"151","2017-10-04",14.53
"152","2017-10-05",14.48
"153","2017-10-06",14.79
"154","2017-10-09",14.71
"155","2017-10-10",14.34
"156","2017-10-11",15.98
"157","2017-10-12",16.549999
"158","2017-10-13",16.5
"159","2017-10-16",16.07
"160","2017-10-17",16.09
"161","2017-10-18",15.75
"162","2017-10-19",15.25
"163","2017-10-20",15.56
"164","2017-10-23",14.97
"165","2017-10-24",14.59
"166","2017-10-25",14.16
"167","2017-10-26",14.39
"168","2017-10-27",15.44
"169","2017-10-30",15.68
"170","2017-10-31",15.34
"171","2017-11-01",14.51
"172","2017-11-02",14.55
"173","2017-11-03",15.27
"174","2017-11-06",14.83
"175","2017-11-07",15.12
"176","2017-11-08",12.91
"177","2017-11-09",12.38
"178","2017-11-10",12.76
"179","2017-11-13",12.4
"180","2017-11-14",12.57
"181","2017-11-15",12.46
"182","2017-11-16",12.56
"183","2017-11-17",12.99
"184","2017-11-20",12.41
"185","2017-11-21",12.34
"186","2017-11-22",12.62
"187","2017-11-24",12.97
"188","2017-11-27",13.06
"189","2017-11-28",13.61
"190","2017-11-29",13.7
"191","2017-11-30",13.78
"192","2017-12-01",13.87
"193","2017-12-04",13.57
"194","2017-12-05",14.94
"195","2017-12-06",14.6
"196","2017-12-07",14.7
"197","2017-12-08",15.07
"198","2017-12-11",16.219999
"199","2017-12-12",15.93
"200","2017-12-13",15.96
"201","2017-12-14",16.040001
"202","2017-12-15",15.75
"203","2017-12-18",16.1
"204","2017-12-19",15.77
"205","2017-12-20",15.5
"206","2017-12-21",15.37
"207","2017-12-22",15.15
"208","2017-12-26",15.01
"209","2017-12-27",14.84
"210","2017-12-28",14.85
"211","2017-12-29",14.61
"212","2018-01-02",14.95
"213","2018-01-03",15.31
"214","2018-01-04",14.59
"215","2018-01-05",14.5
"216","2018-01-08",14.06
"217","2018-01-09",14.1
"218","2018-01-10",14.65
"219","2018-01-11",14.6
"220","2018-01-12",14.11
"221","2018-01-16",13.5
"222","2018-01-17",13.52
"223","2018-01-18",14.01
"224","2018-01-19",14.04
"225","2018-01-22",14.17
"226","2018-01-23",14.25
"227","2018-01-24",14.44
"228","2018-01-25",13.71
