"","date","YY"
"1","2012-11-21",11.31
"2","2012-11-23",11.32
"3","2012-11-26",11.3
"4","2012-11-27",12.2
"5","2012-11-28",13.02
"6","2012-11-29",13.34
"7","2012-11-30",14.17
"8","2012-12-03",14.54
"9","2012-12-04",14.18
"10","2012-12-05",13.16
"11","2012-12-06",12.23
"12","2012-12-07",12.18
"13","2012-12-10",12.34
"14","2012-12-11",12.9
"15","2012-12-12",13.09
"16","2012-12-13",13.31
"17","2012-12-14",13.65
"18","2012-12-17",14.75
"19","2012-12-18",14.66
"20","2012-12-19",13.6
"21","2012-12-20",14.29
"22","2012-12-21",13.93
"23","2012-12-24",14.29
"24","2012-12-26",14.5
"25","2012-12-27",13.99
"26","2012-12-28",14.02
"27","2012-12-31",14.26
"28","2013-01-02",14.31
"29","2013-01-03",14.24
"30","2013-01-04",13.5
"31","2013-01-07",13.85
"32","2013-01-08",13.56
"33","2013-01-09",13.44
"34","2013-01-10",13.3
"35","2013-01-11",13.76
"36","2013-01-14",13.81
"37","2013-01-15",13.75
"38","2013-01-16",13.65
"39","2013-01-17",13.31
"40","2013-01-18",13.36
"41","2013-01-22",13.5
"42","2013-01-23",13.3
"43","2013-01-24",13.26
"44","2013-01-25",13.25
"45","2013-01-28",13.4
"46","2013-01-29",13.54
"47","2013-01-30",13.81
"48","2013-01-31",13.83
"49","2013-02-01",13.9
"50","2013-02-04",13.76
"51","2013-02-05",13.46
"52","2013-02-06",13.52
"53","2013-02-07",13.92
"54","2013-02-08",13.99
"55","2013-02-11",14.06
"56","2013-02-12",14.1
"57","2013-02-13",14.08
"58","2013-02-14",14.92
"59","2013-02-15",15.91
"60","2013-02-19",16.610001
"61","2013-02-20",16.51
"62","2013-02-21",17.040001
"63","2013-02-22",18.77
"64","2013-02-25",19.25
"65","2013-02-26",18.15
"66","2013-02-27",17.65
"67","2013-02-28",18.379999
"68","2013-03-01",19.219999
"69","2013-03-04",18.940001
"70","2013-03-05",19.23
"71","2013-03-06",19.98
"72","2013-03-07",18
"73","2013-03-08",17.34
"74","2013-03-11",17.58
"75","2013-03-12",16.42
"76","2013-03-13",15.98
"77","2013-03-14",16.24
"78","2013-03-15",15.67
"79","2013-03-18",15.75
"80","2013-03-19",15.67
"81","2013-03-20",16.93
"82","2013-03-21",16.959999
"83","2013-03-22",16.91
"84","2013-03-25",17.23
"85","2013-03-26",17.91
"86","2013-03-27",17.549999
"87","2013-03-28",16.9
"88","2013-04-01",16.99
"89","2013-04-02",17.379999
"90","2013-04-03",16.450001
"91","2013-04-04",16.219999
"92","2013-04-05",16.27
"93","2013-04-08",15.96
"94","2013-04-09",15.71
"95","2013-04-10",16
"96","2013-04-11",15.89
"97","2013-04-12",16.370001
"98","2013-04-15",16
"99","2013-04-16",15.95
"100","2013-04-17",15.78
"101","2013-04-18",15.71
"102","2013-04-19",16.290001
"103","2013-04-22",17.790001
"104","2013-04-23",17.43
"105","2013-04-24",17
"106","2013-04-25",17.719999
"107","2013-04-26",17.360001
"108","2013-04-29",17.73
"109","2013-04-30",17.440001
"110","2013-05-01",17.620001
"111","2013-05-02",17.290001
"112","2013-05-03",18.299999
"113","2013-05-06",21.98
"114","2013-05-07",21.799999
"115","2013-05-08",23.950001
"116","2013-05-09",22.709999
"117","2013-05-10",23.950001
"118","2013-05-13",22.639999
"119","2013-05-14",23.620001
"120","2013-05-15",23.91
"121","2013-05-16",23.74
"122","2013-05-17",22.549999
"123","2013-05-20",24.58
"124","2013-05-21",28.809999
"125","2013-05-22",24.07
"126","2013-05-23",24.129999
"127","2013-05-24",24.709999
"128","2013-05-28",26.25
"129","2013-05-29",27.35
"130","2013-05-30",28.65
"131","2013-05-31",28.66
"132","2013-06-03",27.77
"133","2013-06-04",27.5
"134","2013-06-05",27.34
"135","2013-06-06",27.5
"136","2013-06-07",28.780001
