"","date","CGA"
"1","2008-04-16",240
"2","2008-04-17",288
"3","2008-04-18",288
"4","2008-04-21",288
"5","2008-04-22",312
"6","2008-04-23",312
"7","2008-04-24",336
"8","2008-04-25",360
"9","2008-04-28",360
"10","2008-04-29",360
"11","2008-04-30",336
"12","2008-05-01",336
"13","2008-05-02",336
"14","2008-05-05",336
"15","2008-05-06",336
"16","2008-05-07",336
"17","2008-05-08",336
"18","2008-05-09",336
"19","2008-05-12",336
"20","2008-05-13",336
"21","2008-05-14",336
"22","2008-05-15",336
"23","2008-05-16",336
"24","2008-05-19",336
"25","2008-05-20",336
"26","2008-05-21",336
"27","2008-05-22",336
"28","2008-05-23",336
"29","2008-05-27",336
"30","2008-05-28",336
"31","2008-05-29",336
"32","2008-05-30",336
"33","2008-06-02",336
"34","2008-06-03",336
"35","2008-06-04",336
"36","2008-06-05",336
"37","2008-06-06",336
"38","2008-06-09",336
"39","2008-06-10",336
"40","2008-06-11",336
"41","2008-06-12",324
"42","2008-06-13",336
"43","2008-06-16",312
"44","2008-06-17",312
"45","2008-06-18",312
"46","2008-06-19",360
"47","2008-06-20",360
"48","2008-06-23",348
"49","2008-06-24",348
"50","2008-06-25",348
"51","2008-06-26",348
"52","2008-06-27",348
"53","2008-06-30",348
"54","2008-07-01",348
"55","2008-07-02",348
"56","2008-07-03",348
"57","2008-07-07",348
"58","2008-07-08",348
"59","2008-07-09",348
"60","2008-07-10",348
"61","2008-07-11",348
"62","2008-07-14",348
"63","2008-07-15",348
"64","2008-07-16",348
"65","2008-07-17",348
"66","2008-07-18",348
"67","2008-07-21",348
"68","2008-07-22",348
"69","2008-07-23",348
"70","2008-07-24",348
"71","2008-07-25",348
"72","2008-07-28",348
"73","2008-07-29",348
"74","2008-07-30",348
"75","2008-07-31",348
"76","2008-08-01",348
"77","2008-08-04",348
"78","2008-08-05",348
"79","2008-08-06",348
"80","2008-08-07",45
"81","2008-08-08",36
"82","2008-08-11",35.400002
"83","2008-08-12",34.200001
"84","2008-08-13",33.599998
"85","2008-08-14",33
"86","2008-08-15",34.200001
"87","2008-08-18",34.200001
"88","2008-08-19",34.200001
"89","2008-08-20",31.200001
"90","2008-08-21",34.200001
"91","2008-08-22",33.599998
"92","2008-08-25",35.400002
"93","2008-08-26",34.799999
"94","2008-08-27",34.799999
"95","2008-08-28",43.799999
"96","2008-08-29",43.080002
"97","2008-09-02",40.799999
"98","2008-09-03",39.599998
"99","2008-09-04",40.799999
"100","2008-09-05",41.880001
"101","2008-09-08",43.799999
"102","2008-09-09",40.68
"103","2008-09-10",39.48
"104","2008-09-11",38.279999
"105","2008-09-12",39.240002
"106","2008-09-15",39.84
"107","2008-09-16",39.599998
"108","2008-09-17",39
"109","2008-09-18",39.240002
"110","2008-09-19",34.799999
"111","2008-09-22",34.200001
"112","2008-09-23",36
"113","2008-09-24",33.599998
"114","2008-09-25",34.200001
"115","2008-09-26",35.400002
"116","2008-09-29",34.799999
"117","2008-09-30",36.959999
"118","2008-10-01",36
"119","2008-10-02",36
"120","2008-10-03",34.799999
"121","2008-10-06",30.6
"122","2008-10-07",27.6
"123","2008-10-08",27.6
"124","2008-10-09",32.400002
"125","2008-10-10",31.799999
"126","2008-10-13",34.200001
"127","2008-10-14",33
"128","2008-10-15",33
"129","2008-10-16",31.799999
