"","date","MBIN"
"1","2017-10-27",16.799999
"2","2017-10-30",17.1
"3","2017-10-31",17.16
"4","2017-11-01",17.41
"5","2017-11-02",17.99
"6","2017-11-03",17.77
"7","2017-11-06",18.059999
"8","2017-11-07",17.85
"9","2017-11-08",17.940001
"10","2017-11-09",17.65
"11","2017-11-10",17.51
"12","2017-11-13",17.57
"13","2017-11-14",17.690001
"14","2017-11-15",17.549999
"15","2017-11-16",17.530001
"16","2017-11-17",17.629999
"17","2017-11-20",17.68
"18","2017-11-21",17.540001
"19","2017-11-22",17.65
"20","2017-11-24",17.77
"21","2017-11-27",17.809999
"22","2017-11-28",17.75
"23","2017-11-29",17.82
"24","2017-11-30",18.33
"25","2017-12-01",18.75
"26","2017-12-04",19.01
"27","2017-12-05",19.309999
"28","2017-12-06",19.629999
"29","2017-12-07",20
"30","2017-12-08",20.07
"31","2017-12-11",20.950001
"32","2017-12-12",20.969999
"33","2017-12-13",20.65
"34","2017-12-14",20.790001
"35","2017-12-15",20.15
"36","2017-12-18",19.809999
"37","2017-12-19",19.950001
"38","2017-12-20",20.139999
"39","2017-12-21",20.27
"40","2017-12-22",19.780001
"41","2017-12-26",19.85
"42","2017-12-27",19.75
"43","2017-12-28",19.75
"44","2017-12-29",19.68
"45","2018-01-02",19.959999
"46","2018-01-03",19.620001
"47","2018-01-04",19.639999
"48","2018-01-05",19.68
"49","2018-01-08",20.32
"50","2018-01-09",19.76
"51","2018-01-10",20.01
"52","2018-01-11",20.030001
"53","2018-01-12",21.139999
"54","2018-01-16",21.450001
"55","2018-01-17",21.25
"56","2018-01-18",21.34
"57","2018-01-19",21.68
"58","2018-01-22",21.700001
"59","2018-01-23",21.84
"60","2018-01-24",20.9
"61","2018-01-25",20.629999
"62","2018-01-26",20.43
"63","2018-01-29",21.07
"64","2018-01-30",20.41
"65","2018-01-31",20.299999
"66","2018-02-01",21.41
"67","2018-02-02",20.6
"68","2018-02-05",20.040001
"69","2018-02-06",20.4
"70","2018-02-07",20.360001
"71","2018-02-08",19.99
"72","2018-02-09",20.02
"73","2018-02-12",20.1
"74","2018-02-13",20.07
"75","2018-02-14",20.5
"76","2018-02-15",20.549999
"77","2018-02-16",20.85
"78","2018-02-20",20.66
"79","2018-02-21",20.790001
"80","2018-02-22",20.379999
"81","2018-02-23",20.639999
"82","2018-02-26",20.74
"83","2018-02-27",20.51
"84","2018-02-28",20.5
"85","2018-03-01",21.27
"86","2018-03-02",21.549999
"87","2018-03-05",22.66
"88","2018-03-06",22.459999
"89","2018-03-07",22.280001
"90","2018-03-08",22.299999
"91","2018-03-09",22.49
"92","2018-03-12",22.139999
"93","2018-03-13",22.23
"94","2018-03-14",22.25
"95","2018-03-15",22.57
"96","2018-03-16",22.610001
