"","date","YELP"
"1","2012-03-02",24.58
"2","2012-03-05",20.99
"3","2012-03-06",20.5
"4","2012-03-07",20.25
"5","2012-03-08",20
"6","2012-03-09",19.799999
"7","2012-03-12",22.49
"8","2012-03-13",23.299999
"9","2012-03-14",22.32
"10","2012-03-15",21.75
"11","2012-03-16",21.74
"12","2012-03-19",22.99
"13","2012-03-20",22.9
"14","2012-03-21",23.120001
"15","2012-03-22",23.219999
"16","2012-03-23",23.18
"17","2012-03-26",24.6
"18","2012-03-27",27.65
"19","2012-03-28",28.09
"20","2012-03-29",28.01
"21","2012-03-30",26.889999
"22","2012-04-02",27.120001
"23","2012-04-03",26.700001
"24","2012-04-04",26.16
"25","2012-04-05",24.17
"26","2012-04-09",25.219999
"27","2012-04-10",25.809999
"28","2012-04-11",25.43
"29","2012-04-12",26.200001
"30","2012-04-13",26.33
"31","2012-04-16",25.870001
"32","2012-04-17",25.57
"33","2012-04-18",24.99
"34","2012-04-19",24.27
"35","2012-04-20",23.1
"36","2012-04-23",22.27
"37","2012-04-24",21.18
"38","2012-04-25",21.129999
"39","2012-04-26",21.200001
"40","2012-04-27",21.9
"41","2012-04-30",22.860001
"42","2012-05-01",22.57
"43","2012-05-02",23.16
"44","2012-05-03",20.639999
"45","2012-05-04",21.299999
"46","2012-05-07",21.41
"47","2012-05-08",20.809999
"48","2012-05-09",20.98
"49","2012-05-10",20.049999
"50","2012-05-11",20.27
"51","2012-05-14",20.040001
"52","2012-05-15",20.799999
"53","2012-05-16",21.6
"54","2012-05-17",21.27
"55","2012-05-18",18.639999
"56","2012-05-21",19.299999
"57","2012-05-22",18
"58","2012-05-23",18.32
"59","2012-05-24",18.889999
"60","2012-05-25",18.190001
"61","2012-05-29",17.07
"62","2012-05-30",16.610001
"63","2012-05-31",16.709999
"64","2012-06-01",15.69
"65","2012-06-04",15.22
"66","2012-06-05",15.22
"67","2012-06-06",16.459999
"68","2012-06-07",17.52
"69","2012-06-08",19.639999
"70","2012-06-11",18.85
"71","2012-06-12",19.65
"72","2012-06-13",19.780001
"73","2012-06-14",19.85
"74","2012-06-15",21.129999
"75","2012-06-18",21.15
"76","2012-06-19",21.389999
"77","2012-06-20",21.07
"78","2012-06-21",21
