"","date","DMRC"
"1","2007-01-03",8.42
"2","2007-01-04",8.19
"3","2007-01-05",8.17
"4","2007-01-08",8.18
"5","2007-01-09",8.34
"6","2007-01-10",8.78
"7","2007-01-11",8.89
"8","2007-01-12",8.8
"9","2007-01-16",9.1
"10","2007-01-17",8.94
"11","2007-01-18",8.92
"12","2007-01-19",8.9
"13","2007-01-22",8.88
"14","2007-01-23",8.89
"15","2007-01-24",8.93
"16","2007-01-25",8.98
"17","2007-01-26",9.65
"18","2007-01-29",9.66
"19","2007-01-30",9.49
"20","2007-01-31",9.52
"21","2007-02-01",9.58
"22","2007-02-02",11.1
"23","2007-02-05",11.23
"24","2007-02-06",10.9
"25","2007-02-07",11.05
"26","2007-02-08",11.38
"27","2007-02-09",11.35
"28","2007-02-12",11.87
"29","2007-02-13",11.44
"30","2007-02-14",11.88
"31","2007-02-15",12.21
"32","2007-02-16",12.2
"33","2007-02-20",12.27
"34","2007-02-21",12.16
"35","2007-02-22",11.97
"36","2007-02-23",11.77
"37","2007-02-26",11.63
"38","2007-02-27",10.85
"39","2007-02-28",10.86
"40","2007-03-01",10.77
"41","2007-03-02",11.07
"42","2007-03-05",10.87
"43","2007-03-06",10.71
"44","2007-03-07",10.61
"45","2007-03-08",10.56
"46","2007-03-09",10.49
"47","2007-03-12",10.2
"48","2007-03-13",9.6
"49","2007-03-14",9.69
"50","2007-03-15",9.8
"51","2007-03-16",9.84
"52","2007-03-19",10.02
"53","2007-03-20",10
"54","2007-03-21",10.04
"55","2007-03-22",10.09
"56","2007-03-23",10.07
"57","2007-03-26",10.08
"58","2007-03-27",9.81
"59","2007-03-28",10.14
"60","2007-03-29",10.01
"61","2007-03-30",10.11
"62","2007-04-02",10.22
"63","2007-04-03",10.35
"64","2007-04-04",10.46
"65","2007-04-05",10.45
"66","2007-04-09",10.5
"67","2007-04-10",10.27
"68","2007-04-11",11.02
"69","2007-04-12",10.75
"70","2007-04-13",10.86
"71","2007-04-16",10.62
"72","2007-04-17",10.5
"73","2007-04-18",10.51
"74","2007-04-19",10.49
