"","date","ITI"
"1","2007-01-03",2.44
"2","2007-01-04",2.35
"3","2007-01-05",2.4
"4","2007-01-08",2.4
"5","2007-01-09",2.33
"6","2007-01-10",2.3
"7","2007-01-11",2.39
"8","2007-01-12",2.4
"9","2007-01-16",2.39
"10","2007-01-17",2.45
"11","2007-01-18",2.5
"12","2007-01-19",2.5
"13","2007-01-22",2.58
"14","2007-01-23",2.67
"15","2007-01-24",2.6
"16","2007-01-25",2.5
"17","2007-01-26",2.54
"18","2007-01-29",2.54
"19","2007-01-30",2.6
"20","2007-01-31",2.65
"21","2007-02-01",2.7
"22","2007-02-02",2.72
"23","2007-02-05",2.63
"24","2007-02-06",2.7
"25","2007-02-07",2.65
"26","2007-02-08",2.61
"27","2007-02-09",2.6
"28","2007-02-12",2.6
"29","2007-02-13",2.54
"30","2007-02-14",2.4
"31","2007-02-15",2.45
"32","2007-02-16",2.49
"33","2007-02-20",2.55
"34","2007-02-21",2.55
"35","2007-02-22",2.64
"36","2007-02-23",2.65
"37","2007-02-26",2.65
"38","2007-02-27",2.6
"39","2007-02-28",2.62
"40","2007-03-01",2.62
"41","2007-03-02",2.6
"42","2007-03-05",2.61
"43","2007-03-06",2.64
"44","2007-03-07",2.62
"45","2007-03-08",2.67
"46","2007-03-09",2.64
"47","2007-03-12",2.59
"48","2007-03-13",2.59
"49","2007-03-14",2.55
"50","2007-03-15",2.54
"51","2007-03-16",2.4
"52","2007-03-19",2.32
"53","2007-03-20",2.32
"54","2007-03-21",2.28
"55","2007-03-22",2.26
"56","2007-03-23",2.27
"57","2007-03-26",2.29
"58","2007-03-27",2.24
"59","2007-03-28",2.19
"60","2007-03-29",2.2
"61","2007-03-30",2.3
"62","2007-04-02",2.22
"63","2007-04-03",2.28
"64","2007-04-04",2.24
"65","2007-04-05",2.24
"66","2007-04-09",2.21
"67","2007-04-10",2.25
"68","2007-04-11",2.3
"69","2007-04-12",2.21
"70","2007-04-13",2.17
"71","2007-04-16",2.15
"72","2007-04-17",2.15
"73","2007-04-18",2.16
"74","2007-04-19",2.18
"75","2007-04-20",2.18
"76","2007-04-23",2.15
"77","2007-04-24",2.15
"78","2007-04-25",2.15
"79","2007-04-26",2.16
"80","2007-04-27",2.38
"81","2007-04-30",2.4
"82","2007-05-01",2.34
"83","2007-05-02",2.35
"84","2007-05-03",2.3
"85","2007-05-04",2.34
"86","2007-05-07",2.41
"87","2007-05-08",2.33
"88","2007-05-09",2.37
"89","2007-05-10",2.25
"90","2007-05-11",2.29
"91","2007-05-14",2.37
"92","2007-05-15",2.34
"93","2007-05-16",2.27
"94","2007-05-17",2.32
"95","2007-05-18",2.32
"96","2007-05-21",2.5
"97","2007-05-22",2.4
"98","2007-05-23",2.41
"99","2007-05-24",2.35
"100","2007-05-25",2.29
"101","2007-05-29",2.38
"102","2007-05-30",2.4
"103","2007-05-31",2.45
"104","2007-06-01",2.44
"105","2007-06-04",2.64
"106","2007-06-05",2.62
"107","2007-06-06",2.64
"108","2007-06-07",2.63
"109","2007-06-08",2.6
"110","2007-06-11",2.6
"111","2007-06-12",2.53
"112","2007-06-13",2.55
"113","2007-06-14",2.48
"114","2007-06-15",2.5
"115","2007-06-18",2.53
"116","2007-06-19",2.45
"117","2007-06-20",2.45
"118","2007-06-21",2.46
"119","2007-06-22",2.4
"120","2007-06-25",2.4
"121","2007-06-26",2.35
"122","2007-06-27",2.21
"123","2007-06-28",2.28
"124","2007-06-29",2.37
"125","2007-07-02",2.5
"126","2007-07-03",2.4
"127","2007-07-05",2.38
"128","2007-07-06",2.35
"129","2007-07-09",2.34
"130","2007-07-10",2.4
"131","2007-07-11",2.35
"132","2007-07-12",2.27
"133","2007-07-13",2.28
"134","2007-07-16",2.3
"135","2007-07-17",2.25
"136","2007-07-18",2.3
"137","2007-07-19",2.38
"138","2007-07-20",2.37
"139","2007-07-23",2.37
"140","2007-07-24",2.37
"141","2007-07-25",2.4
"142","2007-07-26",2.4
"143","2007-07-27",2.4
"144","2007-07-30",2.42
"145","2007-07-31",2.43
"146","2007-08-01",2.4
"147","2007-08-02",2.4
"148","2007-08-03",2.42
"149","2007-08-06",2.41
"150","2007-08-07",2.42
"151","2007-08-08",2.39
"152","2007-08-09",2.4
"153","2007-08-10",2.37
"154","2007-08-13",2.3
"155","2007-08-14",2.3
"156","2007-08-15",2.27
"157","2007-08-16",2.24
"158","2007-08-17",2.25
"159","2007-08-20",2.23
"160","2007-08-21",2.27
"161","2007-08-22",2.21
"162","2007-08-23",2.22
"163","2007-08-24",2.2
"164","2007-08-27",2.2
"165","2007-08-28",2.16
"166","2007-08-29",2.18
"167","2007-08-30",2.19
"168","2007-08-31",2.2
