"","date","ARCB"
"1","2007-01-03",37.049999
"2","2007-01-04",41.009998
"3","2007-01-05",39.75
"4","2007-01-08",39.540001
"5","2007-01-09",39.59
"6","2007-01-10",38.860001
"7","2007-01-11",38.990002
"8","2007-01-12",39.93
"9","2007-01-16",40.240002
"10","2007-01-17",39.720001
"11","2007-01-18",38.900002
"12","2007-01-19",38.919998
"13","2007-01-22",38.490002
"14","2007-01-23",38.560001
"15","2007-01-24",38.450001
"16","2007-01-25",37.049999
"17","2007-01-26",36.48
"18","2007-01-29",37.189999
"19","2007-01-30",38.290001
"20","2007-01-31",38.220001
"21","2007-02-01",38.84
"22","2007-02-02",39.360001
"23","2007-02-05",39.299999
"24","2007-02-06",39.779999
"25","2007-02-07",39.93
"26","2007-02-08",39.189999
"27","2007-02-09",39.169998
"28","2007-02-12",39.049999
"29","2007-02-13",40.220001
"30","2007-02-14",41.380001
"31","2007-02-15",41.119999
"32","2007-02-16",40.560001
"33","2007-02-20",40.790001
"34","2007-02-21",41.560001
"35","2007-02-22",41.509998
"36","2007-02-23",42.41
"37","2007-02-26",41.810001
"38","2007-02-27",39.580002
"39","2007-02-28",39.470001
"40","2007-03-01",38.900002
"41","2007-03-02",37.639999
"42","2007-03-05",37.41
"43","2007-03-06",37.5
"44","2007-03-07",37.740002
"45","2007-03-08",37.98
"46","2007-03-09",38.02
"47","2007-03-12",37.439999
"48","2007-03-13",36.380001
"49","2007-03-14",36.93
"50","2007-03-15",36.970001
"51","2007-03-16",36.23
"52","2007-03-19",36.119999
"53","2007-03-20",37.610001
"54","2007-03-21",37.830002
"55","2007-03-22",37.080002
"56","2007-03-23",37.130001
"57","2007-03-26",36.650002
"58","2007-03-27",35.900002
"59","2007-03-28",35.48
"60","2007-03-29",35.150002
"61","2007-03-30",35.549999
"62","2007-04-02",35.139999
"63","2007-04-03",36.130001
"64","2007-04-04",35.889999
"65","2007-04-05",36.25
"66","2007-04-09",36.299999
"67","2007-04-10",36.740002
"68","2007-04-11",36.619999
"69","2007-04-12",37.5
"70","2007-04-13",37.669998
"71","2007-04-16",38.650002
"72","2007-04-17",37.599998
"73","2007-04-18",37.41
"74","2007-04-19",38.02
"75","2007-04-20",39
"76","2007-04-23",38.98
"77","2007-04-24",39.200001
"78","2007-04-25",41.52
"79","2007-04-26",39.98
"80","2007-04-27",39.529999
"81","2007-04-30",39.400002
"82","2007-05-01",39.349998
"83","2007-05-02",39.779999
