"","date","CXP"
"1","2013-10-10",22.6
"2","2013-10-11",22.440001
"3","2013-10-14",22.5
"4","2013-10-15",22.5
"5","2013-10-16",22.540001
"6","2013-10-17",22.93
"7","2013-10-18",22.530001
"8","2013-10-21",22.6
"9","2013-10-22",22.42
"10","2013-10-23",22.540001
"11","2013-10-24",22.5
"12","2013-10-25",22.59
"13","2013-10-28",22.52
"14","2013-10-29",22.52
"15","2013-10-30",22.51
"16","2013-10-31",22.549999
"17","2013-11-01",22.57
"18","2013-11-04",22.370001
"19","2013-11-05",22.16
"20","2013-11-06",22.5
"21","2013-11-07",22.49
"22","2013-11-08",22.5
"23","2013-11-11",23.940001
"24","2013-11-12",23.799999
"25","2013-11-13",23.110001
"26","2013-11-14",23
"27","2013-11-15",24.4
"28","2013-11-18",23.1
"29","2013-11-19",23.16
"30","2013-11-20",23.01
"31","2013-11-21",23.32
"32","2013-11-22",23.1
"33","2013-11-25",23.09
"34","2013-11-26",22.959999
"35","2013-11-27",23.209999
"36","2013-11-29",23.1
"37","2013-12-02",23.040001
"38","2013-12-03",22.940001
"39","2013-12-04",22.690001
"40","2013-12-05",22.799999
"41","2013-12-06",22.75
"42","2013-12-09",22.719999
"43","2013-12-10",22.98
"44","2013-12-11",22.879999
"45","2013-12-12",22.950001
"46","2013-12-13",22.809999
"47","2013-12-16",23.66
"48","2013-12-17",23.799999
"49","2013-12-18",24.5
"50","2013-12-19",24.120001
"51","2013-12-20",25.049999
"52","2013-12-23",25.07
"53","2013-12-24",25.049999
"54","2013-12-26",24.799999
"55","2013-12-27",24.809999
"56","2013-12-30",24.68
"57","2013-12-31",25
"58","2014-01-02",24.700001
"59","2014-01-03",24.84
"60","2014-01-06",24.690001
"61","2014-01-07",24.59
"62","2014-01-08",24.16
"63","2014-01-09",23.639999
"64","2014-01-10",23.639999
"65","2014-01-13",23.360001
"66","2014-01-14",23.58
"67","2014-01-15",23.66
"68","2014-01-16",23.51
"69","2014-01-17",24.01
"70","2014-01-21",24.82
"71","2014-01-22",24.9
"72","2014-01-23",24.99
"73","2014-01-24",24.879999
"74","2014-01-27",24.52
"75","2014-01-28",24.719999
"76","2014-01-29",24.459999
"77","2014-01-30",24.370001
"78","2014-01-31",24.299999
"79","2014-02-03",23.59
"80","2014-02-04",23.790001
"81","2014-02-05",23.4
"82","2014-02-06",23.24
"83","2014-02-07",23.120001
"84","2014-02-10",23.41
"85","2014-02-11",23.290001
"86","2014-02-12",23.17
"87","2014-02-13",24.389999
"88","2014-02-14",24.389999
"89","2014-02-18",24.690001
"90","2014-02-19",24.690001
"91","2014-02-20",24.360001
"92","2014-02-21",24.41
"93","2014-02-24",25.719999
"94","2014-02-25",26.190001
"95","2014-02-26",26.190001
"96","2014-02-27",25.969999
"97","2014-02-28",26.540001
"98","2014-03-03",26.469999
"99","2014-03-04",26.58
"100","2014-03-05",26.059999
"101","2014-03-06",26.139999
"102","2014-03-07",25.889999
"103","2014-03-10",26.49
"104","2014-03-11",26.299999
"105","2014-03-12",26.309999
"106","2014-03-13",26.42
"107","2014-03-14",26.01
"108","2014-03-17",26.75
"109","2014-03-18",26.969999
"110","2014-03-19",26.370001
"111","2014-03-20",26.17
"112","2014-03-21",27.73
"113","2014-03-24",27.41
"114","2014-03-25",27.190001
"115","2014-03-26",26.85
"116","2014-03-27",26.82
"117","2014-03-28",26.780001
"118","2014-03-31",27.25
"119","2014-04-01",27.219999
"120","2014-04-02",27.299999
"121","2014-04-03",27.16
"122","2014-04-04",26.709999
"123","2014-04-07",27.08
"124","2014-04-08",26.84
"125","2014-04-09",27.459999
"126","2014-04-10",26.77
"127","2014-04-11",26.440001
"128","2014-04-14",26.889999
"129","2014-04-15",27.110001
"130","2014-04-16",27.139999
"131","2014-04-17",27.24
"132","2014-04-21",27.24
"133","2014-04-22",27.65
"134","2014-04-23",27.790001
"135","2014-04-24",27.92
"136","2014-04-25",27.879999
"137","2014-04-28",28.280001
"138","2014-04-29",28.43
"139","2014-04-30",28.34
"140","2014-05-01",28.620001
"141","2014-05-02",28.76
"142","2014-05-05",28.5
"143","2014-05-06",28.459999
"144","2014-05-07",28.49
"145","2014-05-08",27.940001
"146","2014-05-09",28.68
"147","2014-05-12",29.129999
"148","2014-05-13",29.110001
"149","2014-05-14",28.860001
"150","2014-05-15",27.549999
"151","2014-05-16",27.059999
"152","2014-05-19",27.01
"153","2014-05-20",26.84
"154","2014-05-21",26.91
"155","2014-05-22",26.549999
"156","2014-05-23",26.459999
"157","2014-05-27",26.59
"158","2014-05-28",26.57
"159","2014-05-29",26.17
"160","2014-05-30",26.290001
"161","2014-06-02",26.639999
"162","2014-06-03",26.32
"163","2014-06-04",26.84
"164","2014-06-05",27.25
"165","2014-06-06",27.15
"166","2014-06-09",27.129999
"167","2014-06-10",26.879999
"168","2014-06-11",26.690001
"169","2014-06-12",26.940001
"170","2014-06-13",26.799999
"171","2014-06-16",26.73
"172","2014-06-17",26.52
"173","2014-06-18",26.92
"174","2014-06-19",26.719999
"175","2014-06-20",26.540001
"176","2014-06-23",26.629999
"177","2014-06-24",26.65
"178","2014-06-25",26.6
"179","2014-06-26",26.48
"180","2014-06-27",26.030001
"181","2014-06-30",26.01
"182","2014-07-01",25.780001
"183","2014-07-02",25.76
"184","2014-07-03",25.68
"185","2014-07-07",25.629999
"186","2014-07-08",25.57
"187","2014-07-09",25.559999
"188","2014-07-10",25.450001
"189","2014-07-11",25.709999
"190","2014-07-14",25.959999
