"","date","APXT"
"1","2019-11-05",9.78
"2","2019-11-06",9.78
"3","2019-11-07",9.78
"4","2019-11-08",9.78
"5","2019-11-11",9.78
"6","2019-11-12",9.78
"7","2019-11-13",9.78
"8","2019-11-14",9.78
"9","2019-11-15",9.78
"10","2019-11-18",9.961
"11","2019-11-19",10.059
"12","2019-11-20",10.059
"13","2019-11-21",10.059
"14","2019-11-22",10.059
"15","2019-11-25",10.25
"16","2019-11-26",10.25
"17","2019-11-27",10.25
"18","2019-11-29",10.25
"19","2019-12-02",10.25
"20","2019-12-03",10.25
"21","2019-12-04",9.89
"22","2019-12-05",9.89
"23","2019-12-06",9.89
"24","2019-12-09",9.85
"25","2019-12-10",9.85
"26","2019-12-11",9.85
"27","2019-12-12",9.85
"28","2019-12-13",9.85
"29","2019-12-16",9.85
"30","2019-12-17",10.43
"31","2019-12-18",9.915
"32","2019-12-19",9.915
"33","2019-12-20",9.915
"34","2019-12-23",9.915
"35","2019-12-24",9.915
"36","2019-12-26",9.9
"37","2019-12-27",9.9
"38","2019-12-30",9.87
"39","2019-12-31",9.87
"40","2020-01-02",9.87
"41","2020-01-03",9.9
"42","2020-01-06",9.9
"43","2020-01-07",9.95
"44","2020-01-08",9.95
"45","2020-01-09",9.95
"46","2020-01-10",9.98
"47","2020-01-13",10
"48","2020-01-14",10
"49","2020-01-15",10.012
"50","2020-01-16",10.012
"51","2020-01-17",10.01
"52","2020-01-21",10.03
"53","2020-01-22",10.03
"54","2020-01-23",10.04
"55","2020-01-24",10.05
"56","2020-01-27",10.029
"57","2020-01-28",10.05
"58","2020-01-29",10.055
"59","2020-01-30",10.02
"60","2020-01-31",10.02
"61","2020-02-03",10.03
"62","2020-02-04",10.05
"63","2020-02-05",10.05
"64","2020-02-06",10.02
"65","2020-02-07",10.04
"66","2020-02-10",10.024
"67","2020-02-11",10.04
"68","2020-02-12",10.04
"69","2020-02-13",10.04
"70","2020-02-14",10.03
"71","2020-02-18",10.03
"72","2020-02-19",10.03
"73","2020-02-20",10.04
"74","2020-02-21",10.04
"75","2020-02-24",10.02
"76","2020-02-25",10.04
"77","2020-02-26",10.02
"78","2020-02-27",10.04
"79","2020-02-28",10.04
"80","2020-03-02",10.04
"81","2020-03-03",10.04
"82","2020-03-04",10.04
"83","2020-03-05",10.04
"84","2020-03-06",10.1
"85","2020-03-09",10.1
"86","2020-03-10",10.04
"87","2020-03-11",10.04
"88","2020-03-12",9.9
"89","2020-03-13",9.8
"90","2020-03-16",9.6
"91","2020-03-17",9.55
"92","2020-03-18",9.3
"93","2020-03-19",9.27
"94","2020-03-20",9.35
"95","2020-03-23",9.3
"96","2020-03-24",9.61
"97","2020-03-25",9.63
"98","2020-03-26",9.68
"99","2020-03-27",9.68
"100","2020-03-30",9.66
"101","2020-03-31",9.75
"102","2020-04-01",9.85
"103","2020-04-02",9.83
"104","2020-04-03",9.8
"105","2020-04-06",9.75
"106","2020-04-07",9.8
"107","2020-04-08",9.8
"108","2020-04-09",9.8
"109","2020-04-13",9.8
"110","2020-04-14",9.81
"111","2020-04-15",9.795
"112","2020-04-16",9.8
"113","2020-04-17",9.78
"114","2020-04-20",9.8
"115","2020-04-21",9.72
"116","2020-04-22",9.79
"117","2020-04-23",9.8
"118","2020-04-24",9.81
"119","2020-04-27",9.75
"120","2020-04-28",9.8
"121","2020-04-29",9.8
"122","2020-04-30",9.89
"123","2020-05-01",9.8
"124","2020-05-04",9.8
"125","2020-05-05",9.8
"126","2020-05-06",9.73
"127","2020-05-07",9.8
"128","2020-05-08",9.89
"129","2020-05-11",9.89
"130","2020-05-12",9.75
"131","2020-05-13",9.79
"132","2020-05-14",9.76
"133","2020-05-15",9.8
"134","2020-05-18",9.78
"135","2020-05-19",9.76
"136","2020-05-20",9.85
"137","2020-05-21",9.85
"138","2020-05-22",9.76
"139","2020-05-26",9.76
"140","2020-05-27",9.805
"141","2020-05-28",9.79
"142","2020-05-29",9.79
"143","2020-06-01",9.8
"144","2020-06-02",9.8
"145","2020-06-03",9.825
"146","2020-06-04",9.85
"147","2020-06-05",9.82
"148","2020-06-08",9.88
"149","2020-06-09",9.82
"150","2020-06-10",10.067
"151","2020-06-11",9.95
"152","2020-06-12",9.925
"153","2020-06-15",10.01
"154","2020-06-16",10.08
"155","2020-06-17",10.16
"156","2020-06-18",10.17
"157","2020-06-19",10.25
"158","2020-06-22",10.25
"159","2020-06-23",10.39
"160","2020-06-24",10.25
"161","2020-06-25",10.24
"162","2020-06-26",10.21
"163","2020-06-29",10.25
"164","2020-06-30",10.24
"165","2020-07-01",10.275
"166","2020-07-02",10.3
"167","2020-07-06",10.26
"168","2020-07-07",10.21
"169","2020-07-08",10.22
"170","2020-07-09",10.4
"171","2020-07-10",10.6
"172","2020-07-13",10.7
"173","2020-07-14",10.65
"174","2020-07-15",10.8
"175","2020-07-16",10.8
"176","2020-07-17",10.72
"177","2020-07-20",10.76
"178","2020-07-21",10.85
"179","2020-07-22",10.75
"180","2020-07-23",10.9
"181","2020-07-24",10.75
"182","2020-07-27",10.74
"183","2020-07-28",10.73
"184","2020-07-29",10.7
"185","2020-07-30",10.435
"186","2020-07-31",10.32
"187","2020-08-03",10.35
"188","2020-08-04",10.32
"189","2020-08-05",10.25
"190","2020-08-06",10.25
"191","2020-08-07",10.18
"192","2020-08-10",10.15
"193","2020-08-11",10.19
"194","2020-08-12",10.28
"195","2020-08-13",10.248
"196","2020-08-14",10.22
"197","2020-08-17",10.16
"198","2020-08-18",10.14
"199","2020-08-19",10.08
"200","2020-08-20",10.09
"201","2020-08-21",10.04
"202","2020-08-24",10.05
"203","2020-08-25",10.18
"204","2020-08-26",10.11
"205","2020-08-27",10.14
"206","2020-08-28",10.13
"207","2020-08-31",10.19
"208","2020-09-01",10.15
"209","2020-09-02",10.2
"210","2020-09-03",10.27
"211","2020-09-04",10.25
"212","2020-09-08",10.23
"213","2020-09-09",10.25
"214","2020-09-10",10.25
"215","2020-09-11",10.25
"216","2020-09-14",10.225
"217","2020-09-15",10.18
"218","2020-09-16",10.2
"219","2020-09-17",10.74
"220","2020-09-18",10.71
"221","2020-09-21",10.66
"222","2020-09-22",10.84
"223","2020-09-23",10.71
"224","2020-09-24",10.65
"225","2020-09-25",10.765
"226","2020-09-28",10.75
"227","2020-09-29",10.685
"228","2020-09-30",10.6
"229","2020-10-01",10.7
"230","2020-10-02",10.58
"231","2020-10-05",10.59
"232","2020-10-06",10.53
"233","2020-10-07",10.52
"234","2020-10-08",10.47
"235","2020-10-09",10.5
"236","2020-10-12",10.46
"237","2020-10-13",10.49
"238","2020-10-14",10.475
"239","2020-10-15",10.5
"240","2020-10-16",10.5
"241","2020-10-19",10.46
"242","2020-10-20",10.5
"243","2020-10-21",10.5
"244","2020-10-22",10.37
"245","2020-10-23",10.39
"246","2020-10-26",10.28
"247","2020-10-27",10.27
"248","2020-10-28",10.16
"249","2020-10-29",10.18
"250","2020-10-30",10.06
"251","2020-11-02",10.06
"252","2020-11-03",10.13
"253","2020-11-04",10.11
"254","2020-11-05",10.16
"255","2020-11-06",10.15
"256","2020-11-09",10.2
"257","2020-11-10",10.11
"258","2020-11-11",10.21
"259","2020-11-12",10.2
"260","2020-11-13",10.24
"261","2020-11-16",10.3
"262","2020-11-17",10.28
