"","date","CATM"
"1","2007-12-13",9.89
"2","2007-12-14",10
"3","2007-12-17",9.75
"4","2007-12-18",10
"5","2007-12-19",9.9
"6","2007-12-20",9.94
"7","2007-12-21",9.96
"8","2007-12-24",9.97
"9","2007-12-26",10.13
"10","2007-12-27",10.25
"11","2007-12-28",10
"12","2007-12-31",10.11
"13","2008-01-02",9.91
"14","2008-01-03",9.68
"15","2008-01-04",9.2
"16","2008-01-07",9.17
"17","2008-01-08",9.03
"18","2008-01-09",8.75
"19","2008-01-10",8.64
"20","2008-01-11",8.8
"21","2008-01-14",8.72
"22","2008-01-15",8.5
"23","2008-01-16",8.37
"24","2008-01-17",8.19
"25","2008-01-18",8.42
"26","2008-01-22",8.26
"27","2008-01-23",8.37
"28","2008-01-24",8.29
"29","2008-01-25",8.2
"30","2008-01-28",8.21
"31","2008-01-29",8.24
"32","2008-01-30",8
"33","2008-01-31",7.83
"34","2008-02-01",8.14
"35","2008-02-04",7.9
"36","2008-02-05",7.95
"37","2008-02-06",8
"38","2008-02-07",8
"39","2008-02-08",7.97
"40","2008-02-11",8.07
"41","2008-02-12",8.01
"42","2008-02-13",7.95
"43","2008-02-14",7.88
"44","2008-02-15",7.85
"45","2008-02-19",7.8
"46","2008-02-20",7.69
"47","2008-02-21",7.62
"48","2008-02-22",7.34
"49","2008-02-25",7.03
"50","2008-02-26",7.1
"51","2008-02-27",7.05
"52","2008-02-28",7.46
"53","2008-02-29",7.22
"54","2008-03-03",7.5
"55","2008-03-04",7.32
"56","2008-03-05",6.97
"57","2008-03-06",7.01
"58","2008-03-07",6.95
"59","2008-03-10",7.03
"60","2008-03-11",7.02
"61","2008-03-12",7.08
"62","2008-03-13",6.86
"63","2008-03-14",7.18
"64","2008-03-17",6.8
"65","2008-03-18",7.9
"66","2008-03-19",7.49
"67","2008-03-20",7.36
"68","2008-03-24",7.85
"69","2008-03-25",7.9
"70","2008-03-26",7.81
"71","2008-03-27",7.65
"72","2008-03-28",7.14
"73","2008-03-31",6.97
"74","2008-04-01",7.13
"75","2008-04-02",6.83
"76","2008-04-03",7.15
"77","2008-04-04",7.43
"78","2008-04-07",7.78
"79","2008-04-08",7.88
"80","2008-04-09",7.62
"81","2008-04-10",7.86
"82","2008-04-11",7.05
"83","2008-04-14",7.17
"84","2008-04-15",7.49
"85","2008-04-16",7.53
"86","2008-04-17",7.76
"87","2008-04-18",8.04
"88","2008-04-21",8.1
"89","2008-04-22",8.05
"90","2008-04-23",8
"91","2008-04-24",8.18
"92","2008-04-25",8.64
"93","2008-04-28",8.64
"94","2008-04-29",8.59
"95","2008-04-30",8.29
"96","2008-05-01",8.34
"97","2008-05-02",8.17
"98","2008-05-05",8.3
"99","2008-05-06",8.69
"100","2008-05-07",7.8
"101","2008-05-08",7.79
"102","2008-05-09",8.41
"103","2008-05-12",8.83
"104","2008-05-13",9.06
"105","2008-05-14",8.92
"106","2008-05-15",9.24
"107","2008-05-16",9.34
"108","2008-05-19",9.27
"109","2008-05-20",9.1
"110","2008-05-21",9.25
"111","2008-05-22",9.9
"112","2008-05-23",9.94
"113","2008-05-27",9.99
"114","2008-05-28",10
"115","2008-05-29",10.09
"116","2008-05-30",9.86
"117","2008-06-02",8.85
"118","2008-06-03",8.85
"119","2008-06-04",8.52
"120","2008-06-05",9.31
"121","2008-06-06",9.02
"122","2008-06-09",8.61
"123","2008-06-10",8.31
"124","2008-06-11",7.91
"125","2008-06-12",7.92
"126","2008-06-13",8.15
"127","2008-06-16",8.33
"128","2008-06-17",8.3
"129","2008-06-18",8.3
"130","2008-06-19",8.33
"131","2008-06-20",8.48
"132","2008-06-23",8.51
"133","2008-06-24",8.91
"134","2008-06-25",9.06
"135","2008-06-26",8.83
"136","2008-06-27",9.47
"137","2008-06-30",8.87
"138","2008-07-01",8.82
"139","2008-07-02",8.55
"140","2008-07-03",8.33
"141","2008-07-07",8.7
"142","2008-07-08",8.6
"143","2008-07-09",7.92
"144","2008-07-10",7.98
"145","2008-07-11",8.09
"146","2008-07-14",7.47
"147","2008-07-15",7.48
"148","2008-07-16",7.55
"149","2008-07-17",7.56
"150","2008-07-18",7.49
"151","2008-07-21",7.58
"152","2008-07-22",7.72
"153","2008-07-23",7.78
"154","2008-07-24",7.63
"155","2008-07-25",8.01
"156","2008-07-28",7.86
"157","2008-07-29",8.2
"158","2008-07-30",8.59
"159","2008-07-31",8.6
"160","2008-08-01",8.62
"161","2008-08-04",8.86
"162","2008-08-05",8.99
"163","2008-08-06",9.1
"164","2008-08-07",8.84
"165","2008-08-08",8.98
"166","2008-08-11",9.07
"167","2008-08-12",8.7
"168","2008-08-13",8.46
"169","2008-08-14",8.48
"170","2008-08-15",7.98
"171","2008-08-18",7.47
"172","2008-08-19",7.17
"173","2008-08-20",7.39
"174","2008-08-21",7.51
"175","2008-08-22",7.85
"176","2008-08-25",7.79
"177","2008-08-26",7.79
"178","2008-08-27",7.95
"179","2008-08-28",8.42
"180","2008-08-29",7.82
"181","2008-09-02",8.2
"182","2008-09-03",7.93
"183","2008-09-04",7.81
"184","2008-09-05",8.14
"185","2008-09-08",8.41
"186","2008-09-09",7.72
"187","2008-09-10",7.42
"188","2008-09-11",7.18
"189","2008-09-12",6.74
"190","2008-09-15",6.89
"191","2008-09-16",7.77
"192","2008-09-17",7.2
"193","2008-09-18",7.65
"194","2008-09-19",7.5
"195","2008-09-22",7.42
"196","2008-09-23",7.19
"197","2008-09-24",7.32
