"","date","BRLI"
"1","2020-07-22",9.75
"2","2020-07-23",9.76
"3","2020-07-24",9.81
"4","2020-07-27",9.811
"5","2020-07-28",9.8
"6","2020-07-29",9.85
"7","2020-07-30",9.8
"8","2020-07-31",9.77
"9","2020-08-03",9.78
"10","2020-08-04",9.78
"11","2020-08-05",9.8
"12","2020-08-06",9.77
"13","2020-08-07",9.8
"14","2020-08-10",9.78
"15","2020-08-11",9.8
"16","2020-08-12",9.865
"17","2020-08-13",9.865
"18","2020-08-14",9.95
"19","2020-08-17",9.82
"20","2020-08-18",9.85
"21","2020-08-19",9.79
"22","2020-08-20",9.77
"23","2020-08-21",9.81
"24","2020-08-24",9.77
"25","2020-08-25",9.81
"26","2020-08-26",9.81
"27","2020-08-27",9.81
"28","2020-08-28",9.75
"29","2020-08-31",9.84
"30","2020-09-01",9.84
"31","2020-09-02",9.78
"32","2020-09-03",9.77
"33","2020-09-04",9.781
"34","2020-09-08",9.81
"35","2020-09-09",9.78
"36","2020-09-10",9.851
"37","2020-09-11",9.77
"38","2020-09-14",9.8
"39","2020-09-15",9.77
"40","2020-09-16",9.77
"41","2020-09-17",9.77
"42","2020-09-18",9.8
"43","2020-09-21",9.81
"44","2020-09-22",9.75
"45","2020-09-23",9.76
"46","2020-09-24",9.76
"47","2020-09-25",9.75
"48","2020-09-28",9.774
"49","2020-09-29",9.774
"50","2020-09-30",9.774
"51","2020-10-01",9.774
"52","2020-10-02",9.81
"53","2020-10-05",9.807
"54","2020-10-06",9.81
"55","2020-10-07",9.8
"56","2020-10-08",9.81
"57","2020-10-09",9.81
"58","2020-10-12",9.815
"59","2020-10-13",9.83
"60","2020-10-14",9.83
"61","2020-10-15",9.8
"62","2020-10-16",9.8
"63","2020-10-19",9.8
"64","2020-10-20",9.83
"65","2020-10-21",9.8
"66","2020-10-22",9.78
"67","2020-10-23",9.8
"68","2020-10-26",9.793
"69","2020-10-27",9.793
"70","2020-10-28",9.78
"71","2020-10-29",9.78
"72","2020-10-30",9.78
"73","2020-11-02",9.75
"74","2020-11-03",9.75
"75","2020-11-04",9.75
"76","2020-11-05",9.75
"77","2020-11-06",9.75
"78","2020-11-09",9.75
"79","2020-11-10",9.794
"80","2020-11-11",9.794
"81","2020-11-12",9.794
"82","2020-11-13",9.794
"83","2020-11-16",9.79
"84","2020-11-17",9.8
"85","2020-11-18",9.81
"86","2020-11-19",9.82
"87","2020-11-20",9.82
"88","2020-11-23",9.83
"89","2020-11-24",9.81
"90","2020-11-25",9.81
"91","2020-11-27",9.82
