"","date","IMRA"
"1","2020-03-12",15
"2","2020-03-13",16
"3","2020-03-16",15.5
"4","2020-03-17",15.6
"5","2020-03-18",16
"6","2020-03-19",16.6
"7","2020-03-20",16
"8","2020-03-23",16
"9","2020-03-24",16.120001
"10","2020-03-25",16.18
"11","2020-03-26",16
"12","2020-03-27",15.98
"13","2020-03-30",16
"14","2020-03-31",16.030001
"15","2020-04-01",15.75
"16","2020-04-02",15.75
"17","2020-04-03",15.75
"18","2020-04-06",15.75
"19","2020-04-07",15.99
"20","2020-04-08",16.02
"21","2020-04-09",15.9
"22","2020-04-13",15.7
"23","2020-04-14",15.65
"24","2020-04-15",15.6
"25","2020-04-16",16
"26","2020-04-17",15.9
"27","2020-04-20",16.049999
"28","2020-04-21",16.02
"29","2020-04-22",16
"30","2020-04-23",16.15
"31","2020-04-24",16.02
"32","2020-04-27",17.459999
"33","2020-04-28",17.65
"34","2020-04-29",17.440001
"35","2020-04-30",17.5
"36","2020-05-01",17.27
"37","2020-05-04",18.24
"38","2020-05-05",24
"39","2020-05-06",22.6
"40","2020-05-07",20
"41","2020-05-08",22.85
"42","2020-05-11",24.92
"43","2020-05-12",23.6
"44","2020-05-13",21.709999
"45","2020-05-14",25.950001
"46","2020-05-15",27.25
"47","2020-05-18",26.32
"48","2020-05-19",26.959999
"49","2020-05-20",26.27
"50","2020-05-21",25.75
"51","2020-05-22",26.98
"52","2020-05-26",28
"53","2020-05-27",29.1
"54","2020-05-28",32.959999
"55","2020-05-29",33.490002
"56","2020-06-01",36.57
"57","2020-06-02",36.509998
"58","2020-06-03",44.900002
"59","2020-06-04",52.25
"60","2020-06-05",47.119999
"61","2020-06-08",51.5
"62","2020-06-09",53.290001
"63","2020-06-10",48.700001
"64","2020-06-11",54.869999
"65","2020-06-12",45.75
"66","2020-06-15",38.91
"67","2020-06-16",38
"68","2020-06-17",42.540001
"69","2020-06-18",39.970001
"70","2020-06-19",43.509998
"71","2020-06-22",40.91
"72","2020-06-23",39
"73","2020-06-24",36.650002
"74","2020-06-25",36.900002
"75","2020-06-26",34.23
"76","2020-06-29",28.48
"77","2020-06-30",27.629999
"78","2020-07-01",28.58
"79","2020-07-02",28.459999
"80","2020-07-06",27.129999
"81","2020-07-07",25.799999
"82","2020-07-08",25.040001
"83","2020-07-09",23.030001
"84","2020-07-10",24.950001
"85","2020-07-13",22.1
"86","2020-07-14",21.49
"87","2020-07-15",21.66
"88","2020-07-16",21.620001
"89","2020-07-17",20.360001
"90","2020-07-20",19.51
"91","2020-07-21",18.75
"92","2020-07-22",19.15
"93","2020-07-23",20.1
"94","2020-07-24",20.35
"95","2020-07-27",21.68
"96","2020-07-28",20.129999
"97","2020-07-29",20.01
"98","2020-07-30",20.23
"99","2020-07-31",20.190001
"100","2020-08-03",20.26
"101","2020-08-04",20.52
"102","2020-08-05",20.5
"103","2020-08-06",20.08
"104","2020-08-07",20.459999
"105","2020-08-10",20
"106","2020-08-11",20.01
"107","2020-08-12",20.540001
"108","2020-08-13",20.209999
"109","2020-08-14",20.610001
"110","2020-08-17",23.76
"111","2020-08-18",24.42
"112","2020-08-19",24.219999
"113","2020-08-20",25.83
"114","2020-08-21",26.709999
"115","2020-08-24",25.790001
"116","2020-08-25",25.790001
"117","2020-08-26",24.190001
"118","2020-08-27",24.02
"119","2020-08-28",24.6
"120","2020-08-31",23.24
"121","2020-09-01",23.52
"122","2020-09-02",22.969999
"123","2020-09-03",23.219999
"124","2020-09-04",22.82
"125","2020-09-08",22.23
"126","2020-09-09",22.84
"127","2020-09-10",23
"128","2020-09-11",21.84
"129","2020-09-14",22.290001
"130","2020-09-15",22.66
"131","2020-09-16",22.98
"132","2020-09-17",24.4
"133","2020-09-18",25.25
"134","2020-09-21",22.620001
"135","2020-09-22",23.299999
"136","2020-09-23",23.43
"137","2020-09-24",21.16
"138","2020-09-25",22.25
"139","2020-09-28",22.120001
"140","2020-09-29",21.82
"141","2020-09-30",20.34
"142","2020-10-01",20.370001
"143","2020-10-02",18.889999
"144","2020-10-05",19.219999
"145","2020-10-06",19.219999
"146","2020-10-07",21.459999
"147","2020-10-08",20.309999
"148","2020-10-09",19.84
"149","2020-10-12",19.66
"150","2020-10-13",19.84
"151","2020-10-14",19.75
"152","2020-10-15",19.52
"153","2020-10-16",19.469999
"154","2020-10-19",18.700001
"155","2020-10-20",17.99
"156","2020-10-21",16.629999
"157","2020-10-22",17.83
"158","2020-10-23",17.24
"159","2020-10-26",16.33
"160","2020-10-27",15.94
"161","2020-10-28",16.030001
"162","2020-10-29",16.639999
"163","2020-10-30",15.81
"164","2020-11-02",16.450001
"165","2020-11-03",16.629999
"166","2020-11-04",16.65
"167","2020-11-05",16.299999
"168","2020-11-06",16.09
"169","2020-11-09",18.469999
"170","2020-11-10",18.969999
"171","2020-11-11",19.68
"172","2020-11-12",19.66
"173","2020-11-13",20.049999
"174","2020-11-16",20.82
"175","2020-11-17",20.530001
"176","2020-11-18",20.209999
"177","2020-11-19",20.549999
"178","2020-11-20",20.5
"179","2020-11-23",24.5
"180","2020-11-24",24.02
"181","2020-11-25",27.99
"182","2020-11-27",29
