"","date","JRVR"
"1","2014-12-12",21.25
"2","2014-12-15",20.52
"3","2014-12-16",21.15
"4","2014-12-17",21.17
"5","2014-12-18",21.110001
"6","2014-12-19",22.190001
"7","2014-12-22",22.91
"8","2014-12-23",22.450001
"9","2014-12-24",22.620001
"10","2014-12-26",22.860001
"11","2014-12-29",22.799999
"12","2014-12-30",22.610001
"13","2014-12-31",22.76
"14","2015-01-02",22.280001
"15","2015-01-05",22.82
"16","2015-01-06",22.57
"17","2015-01-07",22.75
"18","2015-01-08",22.879999
"19","2015-01-09",23.139999
"20","2015-01-12",22.959999
"21","2015-01-13",22.379999
"22","2015-01-14",22.49
"23","2015-01-15",22.389999
"24","2015-01-16",22.15
"25","2015-01-20",22.370001
"26","2015-01-21",22.290001
"27","2015-01-22",21.91
"28","2015-01-23",21.59
"29","2015-01-26",21.57
"30","2015-01-27",21.639999
"31","2015-01-28",21.940001
"32","2015-01-29",21.51
"33","2015-01-30",21.4
"34","2015-02-02",21.93
"35","2015-02-03",21.65
"36","2015-02-04",22
"37","2015-02-05",21.59
"38","2015-02-06",21.6
"39","2015-02-09",21.09
"40","2015-02-10",21.209999
"41","2015-02-11",21
"42","2015-02-12",21.26
"43","2015-02-13",21.549999
"44","2015-02-17",21.870001
"45","2015-02-18",21.959999
"46","2015-02-19",21.83
"47","2015-02-20",21.82
"48","2015-02-23",22.120001
"49","2015-02-24",22.4
"50","2015-02-25",22.16
"51","2015-02-26",22.26
"52","2015-02-27",21.969999
"53","2015-03-02",22.309999
"54","2015-03-03",22.139999
"55","2015-03-04",23
"56","2015-03-05",22.719999
"57","2015-03-06",22.040001
"58","2015-03-09",22.09
"59","2015-03-10",21.9
"60","2015-03-11",21.98
"61","2015-03-12",22.76
"62","2015-03-13",22.73
"63","2015-03-16",23
"64","2015-03-17",23.209999
"65","2015-03-18",23.129999
"66","2015-03-19",23
"67","2015-03-20",24.1
"68","2015-03-23",24.49
"69","2015-03-24",24.290001
"70","2015-03-25",23.530001
"71","2015-03-26",22.389999
"72","2015-03-27",22.57
"73","2015-03-30",23.190001
"74","2015-03-31",23.530001
"75","2015-04-01",23.65
"76","2015-04-02",23.83
"77","2015-04-06",24.049999
"78","2015-04-07",23.639999
"79","2015-04-08",23.18
"80","2015-04-09",23.040001
"81","2015-04-10",23.35
"82","2015-04-13",23.85
"83","2015-04-14",23.98
"84","2015-04-15",24.030001
"85","2015-04-16",24.1
"86","2015-04-17",23.620001
"87","2015-04-20",24.059999
"88","2015-04-21",23.639999
"89","2015-04-22",23.51
"90","2015-04-23",24
"91","2015-04-24",23.719999
"92","2015-04-27",23.65
"93","2015-04-28",23.620001
"94","2015-04-29",23.57
"95","2015-04-30",23.639999
"96","2015-05-01",23.76
"97","2015-05-04",23.85
"98","2015-05-05",24.32
"99","2015-05-06",24.26
"100","2015-05-07",23.790001
"101","2015-05-08",24.26
