"","date","XOMA"
"1","2007-01-03",648
"2","2007-01-04",660
"3","2007-01-05",651
"4","2007-01-08",657
"5","2007-01-09",657
"6","2007-01-10",660
"7","2007-01-11",660
"8","2007-01-12",696
"9","2007-01-16",705
"10","2007-01-17",726
"11","2007-01-18",735
"12","2007-01-19",726
"13","2007-01-22",741
"14","2007-01-23",780
"15","2007-01-24",777
"16","2007-01-25",777
"17","2007-01-26",759
"18","2007-01-29",765
"19","2007-01-30",762
"20","2007-01-31",771
"21","2007-02-01",780
"22","2007-02-02",804
"23","2007-02-05",834
"24","2007-02-06",927
"25","2007-02-07",948
"26","2007-02-08",969
"27","2007-02-09",912
"28","2007-02-12",933
"29","2007-02-13",930
"30","2007-02-14",933
"31","2007-02-15",975
"32","2007-02-16",1014
"33","2007-02-20",1032
"34","2007-02-21",1017
"35","2007-02-22",999
"36","2007-02-23",999
"37","2007-02-26",978
"38","2007-02-27",906
"39","2007-02-28",960
"40","2007-03-01",930
"41","2007-03-02",930
"42","2007-03-05",852
"43","2007-03-06",915
"44","2007-03-07",909
"45","2007-03-08",915
"46","2007-03-09",879
"47","2007-03-12",858
"48","2007-03-13",825
"49","2007-03-14",858
"50","2007-03-15",861
"51","2007-03-16",867
"52","2007-03-19",882
"53","2007-03-20",918
"54","2007-03-21",897
"55","2007-03-22",900
"56","2007-03-23",912
"57","2007-03-26",897
"58","2007-03-27",873
"59","2007-03-28",885
"60","2007-03-29",867
"61","2007-03-30",867
"62","2007-04-02",870
"63","2007-04-03",870
"64","2007-04-04",879
"65","2007-04-05",900
"66","2007-04-09",924
"67","2007-04-10",924
"68","2007-04-11",894
"69","2007-04-12",921
"70","2007-04-13",975
"71","2007-04-16",972
"72","2007-04-17",963
"73","2007-04-18",1029
"74","2007-04-19",1005
"75","2007-04-20",999
"76","2007-04-23",1116
"77","2007-04-24",1065
"78","2007-04-25",1068
"79","2007-04-26",1071
"80","2007-04-27",1095
"81","2007-04-30",1020
"82","2007-05-01",1008
"83","2007-05-02",1035
"84","2007-05-03",1020
"85","2007-05-04",999
"86","2007-05-07",999
"87","2007-05-08",999
"88","2007-05-09",978
"89","2007-05-10",963
"90","2007-05-11",948
"91","2007-05-14",960
"92","2007-05-15",951
"93","2007-05-16",942
"94","2007-05-17",948
"95","2007-05-18",990
"96","2007-05-21",1005
"97","2007-05-22",1026
"98","2007-05-23",1041
"99","2007-05-24",984
"100","2007-05-25",1005
"101","2007-05-29",1008
"102","2007-05-30",996
"103","2007-05-31",1020
"104","2007-06-01",1041
"105","2007-06-04",1020
"106","2007-06-05",1056
"107","2007-06-06",1017
"108","2007-06-07",990
"109","2007-06-08",978
"110","2007-06-11",984
"111","2007-06-12",1008
"112","2007-06-13",1005
"113","2007-06-14",999
"114","2007-06-15",1020
"115","2007-06-18",1017
"116","2007-06-19",1011
"117","2007-06-20",1014
"118","2007-06-21",990
"119","2007-06-22",930
"120","2007-06-25",882
"121","2007-06-26",903
"122","2007-06-27",954
"123","2007-06-28",933
"124","2007-06-29",912
"125","2007-07-02",924
"126","2007-07-03",933
"127","2007-07-05",936
"128","2007-07-06",936
"129","2007-07-09",939
