"","date","VNET"
"1","2011-04-21",18.799999
"2","2011-04-25",17.75
"3","2011-04-26",17.559999
"4","2011-04-27",16.25
"5","2011-04-28",16.030001
"6","2011-04-29",15.51
"7","2011-05-02",16.68
"8","2011-05-03",15.74
"9","2011-05-04",14.59
"10","2011-05-05",13.5
"11","2011-05-06",13.75
"12","2011-05-09",14.26
"13","2011-05-10",15.35
"14","2011-05-11",14.93
"15","2011-05-12",14.53
"16","2011-05-13",13.91
"17","2011-05-16",12.55
"18","2011-05-17",12.04
"19","2011-05-18",13.47
"20","2011-05-19",13.47
"21","2011-05-20",12.81
"22","2011-05-23",11.29
"23","2011-05-24",11.61
"24","2011-05-25",11.31
"25","2011-05-26",12.06
"26","2011-05-27",13.28
"27","2011-05-31",12.37
"28","2011-06-01",11.85
"29","2011-06-02",12.61
"30","2011-06-03",11.95
"31","2011-06-06",10.77
"32","2011-06-07",10.46
"33","2011-06-08",10.14
"34","2011-06-09",10.26
"35","2011-06-10",10.01
"36","2011-06-13",9.92
"37","2011-06-14",10.75
"38","2011-06-15",10.6
"39","2011-06-16",11.03
"40","2011-06-17",10.99
"41","2011-06-20",11.2
"42","2011-06-21",12.36
"43","2011-06-22",12
"44","2011-06-23",13
"45","2011-06-24",13.1
"46","2011-06-27",13.04
"47","2011-06-28",12.88
"48","2011-06-29",13.53
"49","2011-06-30",13.74
"50","2011-07-01",14.17
"51","2011-07-05",14.28
"52","2011-07-06",14.28
"53","2011-07-07",14.27
"54","2011-07-08",14.69
"55","2011-07-11",14.73
"56","2011-07-12",14.27
"57","2011-07-13",14.28
"58","2011-07-14",14.35
"59","2011-07-15",14.37
"60","2011-07-18",14.23
"61","2011-07-19",14.24
"62","2011-07-20",13.99
"63","2011-07-21",13.95
"64","2011-07-22",13.69
"65","2011-07-25",13.62
"66","2011-07-26",13.47
"67","2011-07-27",13.05
"68","2011-07-28",12.9
"69","2011-07-29",13.15
"70","2011-08-01",13.53
"71","2011-08-02",13.51
"72","2011-08-03",13.24
"73","2011-08-04",13.23
"74","2011-08-05",12.35
"75","2011-08-08",10.35
"76","2011-08-09",11.33
"77","2011-08-10",11.45
"78","2011-08-11",12.87
"79","2011-08-12",12.29
"80","2011-08-15",12.13
"81","2011-08-16",11.74
"82","2011-08-17",11.19
"83","2011-08-18",10.36
"84","2011-08-19",10.3
"85","2011-08-22",10.55
"86","2011-08-23",11.61
"87","2011-08-24",11.23
"88","2011-08-25",11.1
"89","2011-08-26",10.96
"90","2011-08-29",11.79
"91","2011-08-30",11.45
"92","2011-08-31",12.02
"93","2011-09-01",11.46
"94","2011-09-02",10.78
"95","2011-09-06",10.52
"96","2011-09-07",10.35
"97","2011-09-08",10.37
"98","2011-09-09",9.92
"99","2011-09-12",10.1
"100","2011-09-13",10.09
"101","2011-09-14",10.81
"102","2011-09-15",11.31
"103","2011-09-16",11.65
"104","2011-09-19",11.63
"105","2011-09-20",11.16
"106","2011-09-21",11.35
"107","2011-09-22",10.96
"108","2011-09-23",11.01
"109","2011-09-26",11
"110","2011-09-27",10.61
"111","2011-09-28",10.49
"112","2011-09-29",10.5
"113","2011-09-30",10.15
"114","2011-10-03",10.16
"115","2011-10-04",10.48
"116","2011-10-05",10.5
"117","2011-10-06",10.57
"118","2011-10-07",10.32
"119","2011-10-10",10.96
"120","2011-10-11",10.81
"121","2011-10-12",10.71
"122","2011-10-13",10.25
"123","2011-10-14",10.75
"124","2011-10-17",10.78
"125","2011-10-18",10.37
"126","2011-10-19",10.03
"127","2011-10-20",9.89
"128","2011-10-21",9.98
"129","2011-10-24",9.91
"130","2011-10-25",9.45
"131","2011-10-26",9.45
"132","2011-10-27",9.22
"133","2011-10-28",9.33
"134","2011-10-31",8.87
"135","2011-11-01",8.78
"136","2011-11-02",9
"137","2011-11-03",8.95
"138","2011-11-04",9
"139","2011-11-07",9
"140","2011-11-08",9
"141","2011-11-09",8.59
"142","2011-11-10",8.5
"143","2011-11-11",8.6
"144","2011-11-14",9.27
"145","2011-11-15",10
"146","2011-11-16",10.04
"147","2011-11-17",10
"148","2011-11-18",10.06
"149","2011-11-21",9.53
"150","2011-11-22",9.2
"151","2011-11-23",9.01
"152","2011-11-25",9.37
"153","2011-11-28",10
"154","2011-11-29",9.28
"155","2011-11-30",9.86
"156","2011-12-01",9.47
"157","2011-12-02",9.58
"158","2011-12-05",9.65
